grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2022/89,DMD,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2022/DMD/01 Human resources and Light technical equipment,2615753,2022,Austria,Technical Equipment & Human Resources,Deployment Management Division
2022/158,DMD,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",632868.01,2022,Austria,Human Resources,Deployment Management Division
2022/206,ECRET,Federal Ministry of Interior,"Modecenterstraße 22, A-1030 Vienna, Austria",2022/ECRET/02,215091,2022,Austria,European Centre for Returns,European Centre for Returns
2022/233,DMD,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1088160.7,2022,Austria,Human Resources,Deployment Management Division
2022/344,ECRET,Federal Ministry of Interior,"Modecenterstraße 22, A-1030 Vienna, Austria",2022/ECRET/01,283180,2022,Austria,European Centre for Returns,European Centre for Returns
2021/27,ECRET,Federal Ministry of Interior,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2021/ECRet/01,523942,2021,Austria,European Centre for Returns,European Centre for Returns
2021/55,FDU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2021/FDU/01 Human Resources and light technical equipment,1829266,2021,Austria,Technical Equipment & Human Resources,Field Deployment Unit
2021/180,ECRET,Federal Ministry of Interior,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2021/ECRet/01,10070,2021,Austria,European Centre for Returns,European Centre for Returns
2021/230,ECRET,Federal Ministry of Interior,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2021/ECRet/01,182610,2021,Austria,European Centre for Returns,European Centre for Returns
2021/256,DMD,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",395633.65,2021,Austria,Human Resources,Deployment Management Division
2021/315,DMD,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",891614.38,2021,Austria,Human Resources,Deployment Management Division
2021/353,ECRET,Federal Ministry of Interior,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2021/ECRet/01,449357,2021,Austria,European Centre for Returns,European Centre for Returns
