grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2019/199,FDU,Belarus,State Border Committee,"Republic of Belarus, Minsk, 220050, Volodarskogostr., 24",2019/FDU/01 Human Resources,8767.58,2019,Human Resources,Field Deployment Unit
2019/270,FDU,Belarus,State Border Committee,"Republic of Belarus, Minsk, 220050, Volodarskogostr., 24",2019/FDU/01 Human Resources,13052.93,2019,Human Resources,Field Deployment Unit
2018/265,ORD,Belarus,State Border Committee,"Republic of Belarus,Minsk, 220050,Volodarskogo str., 24",2018/ORD/01 Human Resources,4060.65,2018,Human Resources,Operational Response Division
2016/843,LBS,Belarus,State Border Committee,"'Republic of Belarus,Minsk, 220050,Volodarskogo str., 24",2016/LBS/02 JO Focal Points,25017,2016,Focal Points (Land),Land Borders Sector
2016/906,ABS,Belarus,State Border Committee,"'Republic of Belarus,Minsk, 220050,Volodarskogo str., 24",2016/ABS/03 Focal Points Air,11336,2016,Focal Points (Air),Air Border Sector
2016/1379,LBS,Belarus,State Border Committee,"'Republic of Belarus,Minsk, 220050,Volodarskogo str., 24",2016/LBS/02 JO Focal Points,9876,2016,Focal Points (Land),Land Borders Sector
2015/679,LBS,Belarus,State Border Committee,"Republic of Belarus, Minsk, 220050,Volodarskogo str., 24",2015/LBS/02 Focal Points,8945,2015,Focal Points (Land),Land Borders Sector
2015/754,ABS,Belarus,State Border Committee,"Republic of Belarus, Minsk, 220050,Volodarskogo str., 24",2015/ABS/04 Focal Points Intermediate Managers,4241,2015,Focal Points (Air),Air Border Sector
2011/206/,ABS,Belarus,State Border Committee,NA,2011/ABS/11 Air Border Focal Points 2011,13398.9,2011,Focal Points (Air),Air Border Sector
2011/220/,LBS,Belarus,State Border Committee,NA,2011/LBS/07 JO Jupiter 2011-Phase I,9338.75,2011,Jupiter,Land Borders Sector
2010/662/,LBS,Belarus,State Border Committee,NA,2010/OPS/21 JO Focal Points Land 2010,5557.65,2010,Focal Points (Land),Land Borders Sector
