grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/14,ECRET,Belgium,Belgian Immigration Office,"Pachecolaan 44, 1000 Brussels – Belgium",2024/ECRET/01,231809.14,2024,European Centre for Returns,European Centre for Returns
2024/29,ECRET,Belgium,Fedasil (Federaal agentschap voor de opvang van asielzoekers),"Kartuizersstraat 21, 1000 Brussels – Belgium",2024/ECRET/01,1358,2024,European Centre for Returns,European Centre for Returns
2024/40,ECRET,Belgium,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels – Belgium",2024/ECRET/01,67857,2024,European Centre for Returns,European Centre for Returns
2024/74,DMD,Belgium,Belgian Immigration Office,"Pachecolaan 44, 1000 Brussels – Belgium",2024/DMD/01 Human resources and Light technical equipment,230114,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/103,DMD,Belgium,Federal Police,Koningsstraat 202A - 1000 Brussels,2024/DMD/01 Human resources and Light technical equipment,449614,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/143,ECRET,Belgium,International Returns & Reintegration Assistance (NGO),"Breydelstraat 36, 1040 Brussels, Belgium",2023/CFP/POST/03,159253,2024,Post-Return Assistance,European Centre for Returns
2024/144,ECRET,Belgium,International Returns & Reintegration Assistance (NGO),"Breydelstraat 36, 1040 Brussels, Belgium",2023/CFP/POST/03,16962842,2024,Post-Return Assistance,European Centre for Returns
2024/146,ECRET,Belgium,Caritas International Belgium (NGO),rue de la Charité 43 ; 1210 Brussels,2023/CFP/POST/03,6397575,2024,Post-Return Assistance,European Centre for Returns
2024/147,ECRET,Belgium,Caritas International Belgium (NGO),rue de la Charité 43 ; 1210 Brussels,2023/CFP/POST/03,397570,2024,Post-Return Assistance,European Centre for Returns
2024/149,DMD,Belgium,Federal Police,Koningsstraat 202A - 1000 Brussels,"Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",933363,2024,Human Resources,Deployment Management Division
2024/194,RET,Belgium,Department of Federal Immigration (Dienst Vreemdelingenzaken),NA,2024/ECRET/01,44343,2024,European Centre for Returns,Return Division
2024/202,RET,Belgium,Fedasil (Federaal agentschap voor de opvang van asielzoekers),"Kartuizersstraat 21, 1000 Brussels – Belgium",2024/ECRET/01,2281,2024,European Centre for Returns,Return Division
