grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2022/373,DMD,Border Police of Bosnia and Herzegovina,"Reufa Muhića 2a, 71000 Sarajevo, Bosnia and Herzegovina",JO Focal Points Air 2022,6319.42,2022,Bosnia and Herzegovina,Focal Points,Deployment Management Division
2021/393,DMD,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",Joint Operations Focal Points Air 2021 (JO FP AIR),6319.42,2021,Bosnia and Herzegovina,Focal Points,Deployment Management Division
2021/397,DMD,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",Joint Operations Focal Points Land 2021,7335.92,2021,Bosnia and Herzegovina,Focal Points,Deployment Management Division
2019/305,FDU,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",2019/FDU/01 Human Resources,14913.66,2019,Bosnia and Herzegovina,Human Resources,Field Deployment Unit
2019/326,FDU,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",2019/FDU/01 Human Resources,14211.74,2019,Bosnia and Herzegovina,Human Resources,Field Deployment Unit
2018/340,ORD,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000Sarajevo, Bosnia andHerzegovina",2018/ORD/01 Human Resources,8750.46,2018,Bosnia and Herzegovina,Human Resources,Operational Response Division
2017/699,LBS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo,Bosnia and Herzegovina",2017/LBS/02 Focal Points,5297,2017,Bosnia and Herzegovina,Focal Points,Land Borders Sector
2017/1496,ABS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo,Bosnia and Herzegovina",2017/ABS/03 Focal Points 2017 Air,4713,2017,Bosnia and Herzegovina,Focal Points,Air Border Sector
2016/1145,LBS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000Sarajevo, Bosnia andHerzegovina",2016/LBS/01 FOA,5078,2016,Bosnia and Herzegovina,FOA,Land Borders Sector
2016/1157,LBS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000Sarajevo, Bosnia andHerzegovina",2016/LBS/02 JO Focal Points,5714,2016,Bosnia and Herzegovina,Focal Points,Land Borders Sector
2016/1261,ABS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000Sarajevo, Bosnia andHerzegovina",2016/ABS/03 Focal Points Air,5665,2016,Bosnia and Herzegovina,Focal Points,Air Border Sector
2015/639,LBS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosniaand Herzegovina",2015/LBS/02 Focal Points,4665,2015,Bosnia and Herzegovina,Focal Points,Land Borders Sector
2015/768,ABS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosniaand Herzegovina",2015/ABS/03 Focal Points,4655,2015,Bosnia and Herzegovina,Focal Points,Air Border Sector
2014/281,ABS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",2014/ABS/03 Focal Points,4499.35,2014,Bosnia and Herzegovina,Focal Points,Air Border Sector
2014/363,ABS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",2014/ABS/06 Alexis,6927.18,2014,Bosnia and Herzegovina,Alexis,Air Border Sector
2014/380,LBS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",2014/LBS/02 Flexible Operational Activities,5285,2014,Bosnia and Herzegovina,Flexible Operational Activities,Land Borders Sector
2014/687,LBS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",2014/LBS/04 Focal Points Land,5398,2014,Bosnia and Herzegovina,Focal Points,Land Borders Sector
2014/949,PRU,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",2014/PRU/05 Rex 2014,2989.58,2014,Bosnia and Herzegovina,Rex 2014,Pooled Resources Unit
2013/133,ABS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",2013/ABS/06 JO Flexi Force 2013 Mizar Operational Module,2735.99,2013,Bosnia and Herzegovina,JO Flexi Force 2013 Mizar Operational Module,Air Border Sector
2013/283,LBS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",2013/LBS/02 JO Neptune 2013,5210.9,2013,Bosnia and Herzegovina,Neptune,Land Borders Sector
2013/569,ABS,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",2013/ABS/03 JO Focal Points 2013 Air,5810.1,2013,Bosnia and Herzegovina,Focal Points,Air Border Sector
2012/136,LBS,Border Police of Bosnia and Herzegovina,NA,2012/LBS/02 JO Neptune 2012,4300,2012,Bosnia and Herzegovina,Neptune,Land Borders Sector
2011/506/,LBS,Border Police of Bosnia and Herzegovina,NA,2011/LBS/06 JO Neptune Phase I,4120.28,2011,Bosnia and Herzegovina,Neptune,Land Borders Sector
