grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/48,ECRET,Bulgaria,Bulgarian Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2024/ECRET/01,9651,2024,European Centre for Returns,European Centre for Returns
2024/49,DMD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",12805.74,2024,Human Resources,Deployment Management Division
2024/107,DMD,Bulgaria,Bulgarian Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2024/DMD/01 Human resources and Light technical equipment,500958,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/110,FOU,Bulgaria,Bulgarian Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2024/FOU/01/Heavy Technical Equipment,766638,2024,Technical Equipment,Field Operations Unit
2024/158,DMD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",845178.84,2024,Human Resources,Deployment Management Division
2024/219,RET,Bulgaria,Bulgarian Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2024/ECRET/01,6248,2024,European Centre for Returns,Return Division
2024/236,OSD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",509901.09,2024,Human Resources,Operational Support Division
2024/278,CGS,Bulgaria,Bulgarian Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2024/CGS/01 - MMO-Heavy Technical Equipment,14303,2024,Technical Equipment,Coast Guard Sector
2024/279,OSD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2024/OSD/01 Human resources and Light technical equipment,475000,2024,Technical Equipment & Human Resources,Operational Support Division
2024/327,OSD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2024/CGS/01 - MMO-Heavy Technical Equipment,598574,2024,Technical Equipment,Operational Support Division
