grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2023/41,CGS,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/CGS/01  Baltic Sea Region Border Control Cooperation 2023 / Polish Presidency 2023 of BSRBCC,85557.2,2023,Poland, Baltic Sea Region Border Control Cooperation 2023 / Polish Presidency 2023 of BSRBCC,Coast Guard Sector
2023/314,CGS,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",MMO Black Sea 2023,204115,2023,Poland,Black Sea 2023,Coast Guard Sector
2023/333,CGS,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MMO Western Black Sea 2023,470301,2023,Romania,Western Black Sea 2023,Coast Guard Sector
2023/360,CGS,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",MMO Baltic Sea 2023/Heavy Technical Equipment,87960,2023,Latvia,Technical Equipment,Coast Guard Sector
2023/364,CGS,Estonian Navy,"Juhkentali 58, Tallinn, 15007, Estonia",MMO Baltic Sea 2023/Heavy Technical Equipment,690234,2023,Estonia,Technical Equipment,Coast Guard Sector
2023/365,CGS,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",MMO Baltic Sea 2023/Heavy Technical Equipment,37572,2023,Estonia,Technical Equipment,Coast Guard Sector
2023/368,CGS,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",MMO Baltic Sea 2023/Heavy Technical Equipment,288052,2023,Finland,Technical Equipment,Coast Guard Sector
2023/377,CGS,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MMO Black Sea 2023/Heavy Technical Equipment,237361,2023,Romania,Technical Equipment,Coast Guard Sector
2023/441,CGS,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/CGS/Heavy Technical Equipment,102481,2023,Italy,Technical Equipment,Coast Guard Sector
2023/459,CGS,Border Police,"Illica 335, 10000 Zagreb, Croatia",MMO Adria 2023/Heavy Technical Equipment,123052,2023,Croatia,Technical Equipment,Coast Guard Sector
