grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2022/43,DMD,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2022/DMD/01 Human resources and Light technical equipment,1184260,2022,Croatia,Technical Equipment & Human Resources,Deployment Management Division
2022/54,FOU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2022/FOU/01/Heavy Technical Equipment,380184,2022,Croatia,Technical Equipment,Field Operations Unit
2022/193,DMD,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",877666.02,2022,Croatia,Human Resources,Deployment Management Division
2022/240,DMD,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",570748.87,2022,Croatia,Human Resources,Deployment Management Division
2021/112,FDU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2021/FDU/01/Heavy Technical Equipment,362280,2021,Croatia,Technical Equipment,Field Deployment Unit
2021/151,TF Deploy,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",37900.03,2021,Croatia,Human Resources,Task Force Deployment Management
2021/276,FDU,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",552731,2021,Croatia,Human Resources,Field Deployment Unit
2021/297,DMD,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",555867.11,2021,Croatia,Human Resources,Deployment Management Division
2021/316,DMD,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",495479.73,2021,Croatia,Human Resources,Deployment Management Division
2021/379,ECRET,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2021/ECRet/01,32726,2021,Croatia,European Centre for Returns,European Centre for Returns
