grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/56,ECRET,Cyprus,Civil Registry and Migration Department (CRMD),L-2957 LUXEMBOURG,2024/ECRET/01,115342.4,2024,European Centre for Returns,European Centre for Returns
2024/79,DMD,Cyprus,"Cyprus Police, Police Headquarters","Sotiri Tsagari 9, 1478 Nicosia, Cyprus",2024/DMD/01 Human resources and Light technical equipment,110724,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/175,DMD,Cyprus,"Cyprus Police, Aliens and Immigration Unit","Antistratigou Evangelou Floraki Street Anglantjia, 1478 Nicosia, 1478 Cyprus","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",215606.86,2024,Human Resources,Deployment Management Division
2024/216,RET,Cyprus,Civil Registry and Migration Department (CRMD),"90 Archbishop Makarios,
III Avenue, 1077 Nicosia, Cyprus",2024/ECRET/01,55575,2024,European Centre for Returns,NA
2024/267,OSD,Cyprus,"Cyprus Police, Aliens and Immigration Unit","Antistratigou Evangelou Floraki Street Anglantjia, 1478 Nicosia, 1478 Cyprus","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",46915.03,2024,Human Resources,NA
2024/295,RET,Cyprus,Civil Registry and Migration Department (CRMD),"90 Archbishop Makarios,
III Avenue, 1077 Nicosia, Cyprus",2024/ECRET/01,31512,2024,European Centre for Returns,NA
2024/323,RET,Cyprus,Civil Registry and Migration Department (CRMD),"90 Archbishop Makarios,
III Avenue, 1077 Nicosia, Cyprus",2024/ECRET/01,108704,2024,European Centre for Returns,NA
2023/32,ECRET,Cyprus,Civil Registry and Migration Department (CRMD),"90 Archbishop Makarios,
III Avenue, 1077 Nicosia, Cyprus",2023/ECRET/01,146612,2023,European Centre for Returns,European Centre for Returns
2023/97,DMD,Cyprus,Cyprus Police,"Sotiri Tsagari 9, 1478 Nicosia, Cyprus",2023/DMD/01 Human resources and Light technical equipment,84726,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/216,DMD,Cyprus,"Cyprus Police, Aliens and Immigration Unit","Antistratigou Evangelou Floraki Street Anglantjia, 1478 Nicosia, 1478 Cyprus","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",33325.16,2023,Human Resources,Deployment Management Division
2023/312,ECRET,Cyprus,"Cyprus Police, Aliens and Immigration Unit","Sotiri Tsagari 9, 1478 Nicosia, Cyprus",2023/ECRET/01,97664,2023,European Centre for Returns,European Centre for Returns
2023/419,ECRET,Cyprus,Civil Registry and Migration Department (CRMD),"90 Archbishop Makarios,
III Avenue, 1077 Nicosia, Cyprus",2023/ECRET/01,155540,2023,European Centre for Returns,European Centre for Returns
2023/427,DMD,Cyprus,"Cyprus Police, Aliens and Immigration Unit","Antistratigou Evangelou Floraki Street Anglantjia, 1478 Nicosia, 1478 Cyprus","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps ",150113.3,2023,Human Resources,Deployment Management Division
2023/434,ECRET,Cyprus,Civil Registry and Migration Department (CRMD),"90 Archbishop Makarios,
III Avenue, 1077 Nicosia, Cyprus",2023/ECRET/01,106155,2023,European Centre for Returns,European Centre for Returns
2022/49,DMD,Cyprus,"Cyprus Police, Police Headquarters","Sotiri Tsagari 9, 1478 Nicosia, Cyprus",2022/DMD/01 Human resources and Light technical equipment,30548,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/122,ECRET,Cyprus,Civil Registry and Migration Department (CRMD),"Sotiri Tsagari 9, 1478 Nicosia, Cyprus",2022/ECRET/01,60585,2022,European Centre for Returns,European Centre for Returns
2022/187,DMD,Cyprus,"Cyprus Police, Aliens and Immigration Unit","Antistratigou Evangelou Floraki Street Anglantjia, 1478 Nicosia, 1478 Cyprus","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",13960.32,2022,Human Resources,Deployment Management Division
2022/209,DMD,Cyprus,"Cyprus Police, Aliens and Immigration Unit","Antistratigou Evangelou Floraki Street Anglantjia, 1478 Nicosia, 1478 Cyprus","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",111682.56,2022,Human Resources,Deployment Management Division
2022/243,DMD,Cyprus,"Cyprus Police, Aliens and Immigration Unit","Antistratigou Evangelou Floraki Street Anglantjia, 1478 Nicosia, 1478 Cyprus","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",30991.91,2022,Human Resources,Deployment Management Division
2022/309,ECRET,Cyprus,Civil Registry and Migration Department (CRMD),"Sotiri Tsagari 9, 1478 Nicosia, Cyprus",2022/ECRET/01,78896,2022,European Centre for Returns,European Centre for Returns
2021/121,FDU,Cyprus,"Cyprus Police, Police Headquarters","Sotiri Tsagari 9, 1478 Nicosia, Cyprus",2021/FDU/01 Human Resources and light technical equipment,29523,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/292,DMD,Cyprus,Cyprus Police,"Sotiri Tsagari 9, 1478 Nicosia, Cyprus","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",78200.06,2021,Human Resources,Deployment Management Division
2021/303,DMD,Cyprus,Cyprus Police,"Sotiri Tsagari 9, 1478 Nicosia, Cyprus","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",28934.02,2021,Human Resources,Deployment Management Division
2021/355,ECRET,Cyprus,Civil Registry and Migration Department (CRMD),"90 Archbishop Makarios,III Avenue, 1077 Nicosia, Cyprus",2021/ECRet/01,20534,2021,European Centre for Returns,European Centre for Returns
2020/44,FDU,Cyprus,"Cyprus Police, Police Headquarters","Sotiri Tsagari 9, 1478 Nicosia, Cyprus",2020/FDU/01/Human Resources/Light Technical Technical Equipment,31558,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/327,TF Deploy,Cyprus,"Cyprus Police, Police Headquarters","Sotiri Tsagari 9, 1478 Nicosia, Cyprus",Financial Support Cat.2,78352,2020,Support Cat.2,Task Force Deployment Management
2019/22,FDU,Cyprus,"Cyprus Police, Police Headquarters","1478 Nicosia, Cyprus",2019/FDU/01 Human Resources,70329,2019,Human Resources,Field Deployment Unit
2018/205,ORD,Cyprus,"Cyprus Police, Police Headquarters","1478 Nicosia, Cyprus",2018/ORD/01 Human Resources,75284,2018,Human Resources,Operational Response Division
2017/692,SBS,Cyprus,"Cyprus Police, Police Headquarters","1478 Nicosia, Cyprus",2017/SBS/07 JO Poseidon 2017,12583,2017,Poseidon,Sea Border Sector
2017/695,RSU,Cyprus,"Cyprus Police, Police Headquarters","1478 Nicosia, Cyprus",2017/RSU/03 JO Poseidon,12625,2017,Poseidon,Return Support Unit
2017/919,SBS,Cyprus,"Cyprus Police, Police Headquarters","1478 Nicosia, Cyprus",2017/SBS/07 JO Poseidon 2017,23512,2017,Poseidon,Sea Border Sector
2017/947,RSU,Cyprus,"Cyprus Police, Police Headquarters","1478 Nicosia, Cyprus",2017/RSU/03 Poseidon,9645,2017,Poseidon,Return Support Unit
