grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/53,DMD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2024/DMD/01 Human resources and Light technical equipment,1702763,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/55,ECRET,Czech Republic,Police of the Czech Republic,B.P. 1007,2024/ECRET/01,10951,2024,European Centre for Returns,European Centre for Returns
2024/134,DMD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps ",653092.74,2024,Human Resources,Deployment Management Division
2024/211,RET,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2024/ECRET/01,12460,2024,European Centre for Returns,NA
2024/224,OSD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",810219.17,2024,Human Resources,NA
2024/321,RET,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2024/ECRET/01,13466,2024,European Centre for Returns,NA
2023/36,ECRET,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2023/ECRET/01,24212,2023,European Centre for Returns,European Centre for Returns
2023/90,DMD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2023/DMD/01 Human resources and Light technical equipment,1999687,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/121,DMD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",680690.95,2023,Human Resources,Deployment Management Division
2023/173,DMD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps ",451248.46,2023,Human Resources,Deployment Management Division
