grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/1,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2024,25241.3,2024,Other joint operations,Deployment Management Division
2024/2,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia 2024,373615.2,2024,Other joint operations,Deployment Management Division
2024/3,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Montenegro 2024,7215.01,2024,Other joint operations,Deployment Management Division
2024/6,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2024,185220,2024,Other joint operations,Deployment Management Division
2024/7,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2024,26086.6,2024,Other joint operations,Deployment Management Division
2024/8,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2024,252252.00000000003,2024,Other joint operations,Deployment Management Division
2024/10,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",JO Albania 2024,1515244.5,2024,Other joint operations,Deployment Management Division
2024/15,DMD,Hungary,Hungarian National Police,"1139 Budapest, Teve utca. 4-6. Magyarország, Hungary","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",16184.52,2024,Human Resources,Deployment Management Division
2024/16,DMD,Austria,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",20907.33,2024,Human Resources,Deployment Management Division
2024/42,DMD,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2024/DMD/01 Human resources and Light technical equipment,91670,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/44,DMD,Hungary,Hungarian National Police,"Teve str. 4-6., 1139 Budapest",2024/DMD/01 Human resources and Light technical equipment,3697285,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/45,DMD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",22307.38,2024,Human Resources,Deployment Management Division
2024/49,DMD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",12805.74,2024,Human Resources,Deployment Management Division
2024/50,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",234162.11,2024,Human Resources,Deployment Management Division
2024/51,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2024/DMD/01 Human resources and Light technical equipment,2566660,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/52,DMD,Switzerland,Customs/Border Guard,"Taubenstrasse 16, CH-3003 Bern, Switzerland",2024/DMD/01 Human resources and Light technical equipment,992505,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/53,DMD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2024/DMD/01 Human resources and Light technical equipment,1702763,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/54,DMD,Luxembourg,Police Grand Ducale,"Cité Policière Grand-Duc Henri Complexe A, rue de Trèves, L-2957 Luxembourg",2024/DMD/01 Human resources and Light technical equipment,494416,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/59,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2024/DMD/01 Human resources and Light technical equipment,1425986,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/60,DMD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2024/DMD/01 Human resources and Light technical equipment,1589995,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/61,DMD,Slovakia,Police Force,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2024/DMD/01 Human resources and Light technical equipment,682858,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/62,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2024/DMD/01 Human resources and Light technical equipment,1561545,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/63,DMD,Netherlands,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague",2024/DMD/01 Human resources and Light technical equipment,1818206,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/64,DMD,Denmark,Ministry of Immigration and Integration,2509 LP The Hague,2024/DMD/01 Human resources and Light technical equipment,58736,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/65,DMD,Netherlands,Immigration and Naturalisation Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 16275, 2500 BG The Hague, The Netherlands",2024/DMD/01 Human resources and Light technical equipment,168308,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/66,DMD,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2024/DMD/01 Human resources and Light technical equipment,459863,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/67,DMD,Croatia,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2024/DMD/01 Human resources and Light technical equipment,1014070,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/68,DMD,France,Prefecture de Police,"1 bis rue de Lutèce, 75004 Paris",2024/DMD/01 Human resources and Light technical equipment,149165,2024,Technical Equipment & Human Resources,Deployment Management Division
