grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/9,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2024/FOU/01/Heavy Technical Equipment,464326,2024,Technical Equipment,Field Operations Unit
2024/37,ECRET,Denmark,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2024/ECRET/01,32874,2024,European Centre for Returns,European Centre for Returns
2024/64,DMD,Denmark,Ministry of Immigration and Integration,2509 LP The Hague,2024/DMD/01 Human resources and Light technical equipment,58736,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/80,DMD,Denmark,Danish National Police,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2024/DMD/01 Human resources and Light technical equipment,374715,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/85,DMD,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2024/DMD/01 Human resources and Light technical equipment,394823,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/127,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2024/FOU/01/Heavy Technical Equipment,809334,2024,Technical Equipment,Field Operations Unit
2024/140,DMD,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1177381.44,2024,Human Resources,Deployment Management Division
2024/180,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2024/FOU/01/Heavy Technical Equipment,307213,2024,Technical Equipment,Field Operations Unit
2024/207,RET,Denmark,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2024/ECRET/01,18874,2024,European Centre for Returns,Return Division
2024/251,OSD,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2024/FOU/01/Heavy Technical Equipment,632626,2024,Technical Equipment,Operational Support Division
2024/258,OSD,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1552994.7399999998,2024,Human Resources,Operational Support Division
2024/322,RET,Denmark,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2024/ECRET/01,6428,2024,European Centre for Returns,Return Division
2024/336,OSD,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2024/FOU/01/Heavy Technical Equipment,1255793,2024,Technical Equipment,Operational Support Division
2024/344,OSD,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2024/FOU/01/Heavy Technical Equipment,569717,2024,Technical Equipment,Operational Support Division
2023/39,ECRET,Denmark,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2023/ECRET/01,38499,2023,European Centre for Returns,European Centre for Returns
2023/52,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,449125,2023,Technical Equipment,Field Operations Unit
2023/110,DMD,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/DMD/01 Human resources and Light technical equipment,429820,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/138,DMD,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark",2023/DMD/01 Human resources and Light technical equipment,546737,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/148,DMD,Denmark,Ministry of Immigration and Integration,"Slotsholmsgade 10,  1216 København K",2023/DMD/01 Human resources and Light technical equipment,242027,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/191,DMD,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",930229.74,2023,Human Resources,Deployment Management Division
2023/210,DMD,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1956420.02,2023,Human Resources,Deployment Management Division
2023/248,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,491477,2023,Technical Equipment,Field Operations Unit
2023/307,ECRET,Denmark,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2023/ECRET/01,31038,2023,European Centre for Returns,European Centre for Returns
2023/339,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,1789354,2023,Technical Equipment,Field Operations Unit
2023/341,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,429652,2023,Technical Equipment,Field Operations Unit
2023/347,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,639405,2023,Technical Equipment,Field Operations Unit
2023/395,ECRET,Denmark,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2023/ECRET/01,33363,2023,European Centre for Returns,European Centre for Returns
2023/433,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,574036,2023,Technical Equipment,Field Operations Unit
2022/39,DMD,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark",2022/DMD/01 Human resources and Light technical equipment,892504,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/53,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,504131,2022,Technical Equipment,Field Operations Unit
2022/81,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,481642,2022,Technical Equipment,Field Operations Unit
2022/92,ECRET,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark",2022/ECRET/01,149855,2022,European Centre for Returns,European Centre for Returns
2022/111,DMD,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/DMD/01 Human resources and Light technical equipment,1298451,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/136,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,1068924,2022,Technical Equipment,Field Operations Unit
2022/196,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,475120,2022,Technical Equipment,Field Operations Unit
2022/210,DMD,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",683750.1,2022,Human Resources,Deployment Management Division
2022/227,DMD,Denmark,Danish Immigration Service,"Farimagsvej 51A, 4700 Næstved, Denmark",2022/DMD/01 Human resources and Light technical equipment,79359,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/237,DMD,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1855241.94,2022,Human Resources,Deployment Management Division
2022/266,ECRET,Denmark,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2022/ECRET/01,6293,2022,European Centre for Returns,European Centre for Returns
2022/272,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,1014556,2022,Technical Equipment,Field Operations Unit
2022/275,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,403555,2022,Technical Equipment,Field Operations Unit
2022/329,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,337202,2022,Technical Equipment,Field Operations Unit
2022/342,ECRET,Denmark,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2022/ECRET/01,27874,2022,European Centre for Returns,European Centre for Returns
2022/372,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,528650,2022,Technical Equipment,Field Operations Unit
2021/67,FDU,Denmark,Defence Command,"Holmens Kanal 9DK-1060 Copenhagen K, Denmark",2021/FDU/01/Heavy Technical Equipment,964511,2021,Technical Equipment,Field Deployment Unit
2021/69,FDU,Denmark,"Joint Operations Staff, Defence Command","Holmens Kanal 9DK-1060 Copenhagen K, Denmark",2021/FDU/01 Human Resources and light technical equipment,1862602,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/78,FDU,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark",2021/FDU/01 Human Resources and light technical equipment,404916,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/93,FDU,Denmark,Danish Immigration Service,"Farimagsvej 51A, 4700 NÃ¦stved, Denmark",2021/FDU/01 Human Resources and light technical equipment,52530,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/219,FDU,Denmark,Defence Command,"Holmens Kanal 9DK-1060 Copenhagen K, Denmark",2021/FDU/01/Heavy Technical Equipment,398813,2021,Technical Equipment,Field Deployment Unit
