grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/11,ECRET,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/ECRET/01,2395822,2024,European Centre for Returns,European Centre for Returns
2024/12,ECRET,Norway,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2024/ECRET/01,111431.87,2024,European Centre for Returns,European Centre for Returns
2024/13,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/ECRET/01,144043.97999999998,2024,European Centre for Returns,European Centre for Returns
2024/14,ECRET,Belgium,Belgian Immigration Office,"Pachecolaan 44, 1000 Brussels – Belgium",2024/ECRET/01,231809.14,2024,European Centre for Returns,European Centre for Returns
2024/17,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2024/ECRET/01,237942.87000000002,2024,European Centre for Returns,European Centre for Returns
2024/20,ECRET,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2024/ECRET/01,195276.73,2024,European Centre for Returns,European Centre for Returns
2024/21,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2024/ECRET/01,384150.63,2024,European Centre for Returns,European Centre for Returns
2024/22,ECRET,Finland,Finnish National Police Board,"Asemapäällikönkatu 14, 00521 Helsinki, Finland",2024/ECRET/01,202838.3,2024,European Centre for Returns,European Centre for Returns
2024/23,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2024/ECRET/01,223457.65,2024,European Centre for Returns,European Centre for Returns
2024/24,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/ECRET/01,20968,2024,European Centre for Returns,European Centre for Returns
2024/25,ECRET,Germany,Federal Police Regional Office Koblenz,"Roonstraße 13, 56068 Koblenz",2024/ECRET/01,9933247,2024,European Centre for Returns,European Centre for Returns
2024/27,ECRET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2024/ECRET/01,25265,2024,European Centre for Returns,European Centre for Returns
2024/28,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/ECRET/01,192929,2024,European Centre for Returns,European Centre for Returns
2024/29,ECRET,Belgium,Fedasil (Federaal agentschap voor de opvang van asielzoekers),"Kartuizersstraat 21, 1000 Brussels – Belgium",2024/ECRET/01,1358,2024,European Centre for Returns,European Centre for Returns
2024/30,ECRET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2024/ECRET/01,1833651,2024,European Centre for Returns,European Centre for Returns
2024/31,ECRET,Luxembourg,Ministry of Internal Security,"4, Place de l'Europe
L-1499 Luxembourg
",2024/ECRET/01,13107,2024,European Centre for Returns,European Centre for Returns
2024/32,ECRET,Slovenia,Police,"Štefanova 02, 1000 Ljubljana, Slovenia",2024/ECRET/01,5116,2024,European Centre for Returns,European Centre for Returns
2024/33,ECRET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2024/ECRET/01,16831.1,2024,European Centre for Returns,European Centre for Returns
2024/34,ECRET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2024/ECRET/01,32231,2024,European Centre for Returns,European Centre for Returns
2024/35,ECRET,Slovakia,Ministry of Interior Slovakia,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2024/ECRET/01,4406,2024,European Centre for Returns,European Centre for Returns
2024/36,ECRET,Sweden,Swedish Prison and Probation Service,"SE-601 80 Norrköping, Sweden",2024/ECRET/01,1651155,2024,European Centre for Returns,European Centre for Returns
2024/37,ECRET,Denmark,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2024/ECRET/01,32874,2024,European Centre for Returns,European Centre for Returns
2024/38,ECRET,Hungary,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2024/ECRET/01,4128,2024,European Centre for Returns,European Centre for Returns
2024/39,ECRET,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2024/ECRET/01,22060,2024,European Centre for Returns,European Centre for Returns
2024/40,ECRET,Belgium,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels – Belgium",2024/ECRET/01,67857,2024,European Centre for Returns,European Centre for Returns
2024/41,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/ECRET/01,174131.16,2024,European Centre for Returns,European Centre for Returns
2024/46,ECRET,Norway,National Police Directorate,"P.O.Box. 2090 Vika, 0125 OSLO, Norway",2024/ECRET/01,44094,2024,European Centre for Returns,European Centre for Returns
2024/47,ECRET,Portugal,Polícia de Segurança Pública,"Largo da Penha de França, nº 1, 1199-010 Lisboa",2024/ECRET/01,5612,2024,European Centre for Returns,European Centre for Returns
2024/48,ECRET,Bulgaria,Bulgarian Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2024/ECRET/01,9651,2024,European Centre for Returns,European Centre for Returns
2024/55,ECRET,Czech Republic,Police of the Czech Republic,B.P. 1007,2024/ECRET/01,10951,2024,European Centre for Returns,European Centre for Returns
2024/56,ECRET,Cyprus,Civil Registry and Migration Department (CRMD),L-2957 LUXEMBOURG,2024/ECRET/01,115342.4,2024,European Centre for Returns,European Centre for Returns
2024/57,ECRET,Austria,Federal Ministry of Interior,"Modecenterstraße 22, A-1030 Vienna, Austria",2024/ECRET/01,527742,2024,European Centre for Returns,European Centre for Returns
2024/81,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2024/ECRET/01,562439,2024,European Centre for Returns,European Centre for Returns
2024/87,ECRET,Iceland,Office of the National Commissioner of the Icelandic Police,"Skúlagata 21, IS-101 Reykjavik, Iceland",2024/ECRET/01,83510,2024,European Centre for Returns,European Centre for Returns
2024/89,ECRET,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2024/ECRET/01,4451.2,2024,European Centre for Returns,European Centre for Returns
2024/102,ECRET,France, Ministère de l'intérieur et des Outre-Mer,"Place Beauvau, Paris Cedex 8, France",2024/ECRET/01,213534.19999999998,2024,European Centre for Returns,European Centre for Returns
2024/112,ECRET,Switzerland,State Secretariat for Migration,"Operations Center (OPC)
Postfach 314, CH-8058 Zürich-Flughafen, Switzerland",2024/ECRET/01,3928,2024,European Centre for Returns,European Centre for Returns
2024/116,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2024/ECRET/01,9141,2024,European Centre for Returns,European Centre for Returns
2024/117,ECRET,Moldova,General Inspectorate for Migration,"124, Stefan cel Mare bd, Chisinau MD-2012, Moldova",2024/ECRET/01,3611.25,2024,European Centre for Returns,European Centre for Returns
2024/120,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2024/ECRET/01,9842,2024,European Centre for Returns,European Centre for Returns
2024/133,ECRET,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2024/ECRET/01,3668,2024,European Centre for Returns,European Centre for Returns
2024/137,ECRET,Iraq,European Technology and Training Centre (NGO),"Nawroz Street, PO Box 45     44001, Erbil, Iraq",2023/CFP/POST/03,5222250,2024,2023/CFP/POST/03,European Centre for Returns
2024/138,ECRET,Egypt,Life Makers Foundation (NGO),3 Almashtal street- Elshishiny Devision- Corniche Elnile- Maadi Cairo 567710025,2023/CFP/POST/03,339882,2024,2023/CFP/POST/03,European Centre for Returns
2024/139,ECRET,Pakistan,"Women Empowerment Literacy & Development Organisation, Non-profit Organisation (NGO)","Building 57, Road 26, DHA 1, Sector F, Islamabad 3061066-4",2023/CFP/POST/03,1004746,2024,2023/CFP/POST/03,European Centre for Returns
2024/143,ECRET,Belgium,International Returns & Reintegration Assistance (NGO),"Breydelstraat 36, 1040 Brussels, Belgium",2023/CFP/POST/03,159253,2024,2023/CFP/POST/03,European Centre for Returns
2024/144,ECRET,Belgium,International Returns & Reintegration Assistance (NGO),"Breydelstraat 36, 1040 Brussels, Belgium",2023/CFP/POST/03,16962842,2024,2023/CFP/POST/03,European Centre for Returns
2024/146,ECRET,Belgium,Caritas International Belgium (NGO),rue de la Charité 43 ; 1210 Brussels,2023/CFP/POST/03,6397575,2024,2023/CFP/POST/03,European Centre for Returns
2024/147,ECRET,Belgium,Caritas International Belgium (NGO),rue de la Charité 43 ; 1210 Brussels,2023/CFP/POST/03,397570,2024,2023/CFP/POST/03,European Centre for Returns
2024/150,ECRET,Germany,Federal Office for Migration and Refugees BAMF,"Frankenstr. 210, 90461 Nürnberg, Germany",2024/ECRET/01,32377,2024,European Centre for Returns,European Centre for Returns
2024/151,ECRET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2024/ECRET/01,14257.75,2024,European Centre for Returns,European Centre for Returns
2024/163,ECRET,Moldova,General Inspectorate for Migration,"124, Stefan cel Mare bd, Chisinau MD-2012, Moldova",2024/ECRET/01,3531,2024,European Centre for Returns,European Centre for Returns
2024/173,ECRET,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2024/ECRET/01,63915,2024,European Centre for Returns,European Centre for Returns
2024/178,ECRET,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2024/ECRET/01,4451.2,2024,European Centre for Returns,European Centre for Returns
2023/1,ECRET,Portugal,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  Urbanização Cabanas Golfe, nº 1, 2734-506 Barcarena",2023/ECRET/01,4968,2023,European Centre for Returns,European Centre for Returns
2023/2,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/ECRET/01,40359,2023,European Centre for Returns,European Centre for Returns
2023/3,ECRET,Slovenia,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2023/ECRET/01,15424,2023,European Centre for Returns,European Centre for Returns
2023/4,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/ECRET/01,1026165,2023,European Centre for Returns,European Centre for Returns
2023/5,ECRET,Belgium,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels – Belgium",2023/ECRET/01,91776,2023,European Centre for Returns,European Centre for Returns
2023/6,ECRET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2023/ECRET/01,1496478,2023,European Centre for Returns,European Centre for Returns
