grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/20,ECRET,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2024/ECRET/01,195276.73,2024,European Centre for Returns,European Centre for Returns
2024/43,FOU,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2024/FOU/01/Heavy Technical Equipment,167042,2024,Technical Equipment,Field Operations Unit
2024/133,ECRET,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2024/ECRET/01,3668,2024,European Centre for Returns,European Centre for Returns
2024/135,DMD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2024/DMD/01 Human resources and Light technical equipment,1074852,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/193,OSD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",553857.6,2024,Human Resources,Operational Support Division
2024/241,OSD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",413725.47000000003,2024,Human Resources,Operational Support Division
2024/284,CGS,Estonia,Estonian Navy,Miinisadama 4 10416 Tallinn Estonia,MMO/JO Baltic Sea 2024 Heavy Technical Equipment,275124,2024,Technical Equipment,Coast Guard Sector
2024/285,CGS,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",MMO/JO Baltic Sea 2024 Heavy Technical Equipment,20054,2024,Technical Equipment,Coast Guard Sector
2024/308,RET,Estonia,WELDO - Women Empowerment Literacy & Development Organisation (NGO),"Harju maakond, Tallinn, Haabersti linnaosa, Päevalille tn 6-15, 13517, Estonia",2023/CFP/POST/04,24632,2024,Post-Return Assistance,Return Division
2024/338,OSD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2024/FOU/01/Heavy Technical Equipment,292682,2024,Technical Equipment,Operational Support Division
2024/347,OSD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2024/FOU/01/Heavy Technical Equipment,286369,2024,Technical Equipment,Operational Support Division
2023/23,ECRET,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/ECRET/01,197362.29,2023,European Centre for Returns,European Centre for Returns
2023/44,FOU,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/FOU/01/Heavy Technical Equipment,201705,2023,Technical Equipment,Field Operations Unit
2023/62,DMD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",34202.56,2023,Human Resources,Deployment Management Division
2023/159,DMD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/DMD/01 Human resources and Light technical equipment,1172640,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/228,DMD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",410430.72,2023,Human Resources,Deployment Management Division
2023/229,DMD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",518852.84,2023,Human Resources,Deployment Management Division
2023/313,ECRET,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/ECRET/01,5096,2023,European Centre for Returns,European Centre for Returns
2023/344,RIU,Estonia,Estonian Academy of Security Sciences,"Kase 61   12012 Tallinn, Estonia",2022/CFP/RIU/01,59994.2,2023,Research and Innovation Unit,Research and Innovation Unit
2023/364,CGS,Estonia,Estonian Navy,"Juhkentali 58, Tallinn, 15007, Estonia",MMO Baltic Sea 2023/Heavy Technical Equipment,690234,2023,Technical Equipment,Coast Guard Sector
2023/365,CGS,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",MMO Baltic Sea 2023/Heavy Technical Equipment,37572,2023,Technical Equipment,Coast Guard Sector
