grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2021/8,FDU,Jefatura Fiscal y de Fronteras,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2021/FDU/01 Human Resources and light technical equipment,901160,2021,Spain,Technical Equipment & Human Resources,Field Deployment Unit
2021/10,FDU,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",Joint Operation Flexible Operational Activities Western Balkans in Albania,296950.5,2021,Albania,Operation Flexible Operational Activities Western Balkans in Albania,Field Deployment Unit
2021/17,FDU,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2021,16030.74,2021,Montenegro,Operational Activities in Montenegro 2021,Field Deployment Unit
2021/28,FDU,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2021/FDU/01 Human Resources and light technical equipment,3392772,2021,Poland,Technical Equipment & Human Resources,Field Deployment Unit
2021/30,FDU,Royal Marechaussee,"P.O. Box 906152509 LP The Hague, The Netherlands",2021/FDU/01 Human Resources and light technical equipment,1344037,2021,Netherlands,Technical Equipment & Human Resources,Field Deployment Unit
2021/31,FDU,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2021/FDU/01 Human Resources and light technical equipment,957382,2021,Sweden,Technical Equipment & Human Resources,Field Deployment Unit
2021/32,FDU,"Transport and Support Service, Ministry for Security and Justice","Turfmarkt 147 | 2511 DP | Den Haag, The Netherlands",2021/FDU/01 Human Resources and light technical equipment,184284,2021,Netherlands,Technical Equipment & Human Resources,Field Deployment Unit
2021/33,FDU,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2021/FDU/01 Human Resources and light technical equipment,457110,2021,Bulgaria,Technical Equipment & Human Resources,Field Deployment Unit
2021/34,FDU,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2021/FDU/01 Human Resources and light technical equipment,65376,2021,Bulgaria,Technical Equipment & Human Resources,Field Deployment Unit
2021/35,FDU,Federal Police,"Kroonlaan 145A, 1050 Brussels, Belgium",2021/FDU/01 Human Resources and light technical equipment,501286,2021,Belgium,Technical Equipment & Human Resources,Field Deployment Unit
2021/36,FDU,Comisaría General de Extranjería y Fronteras,"C/ General PardiÃ±as 90 bis, 28006, Madrid, Spain",2021/FDU/01 Human Resources and light technical equipment,1590739,2021,Spain,Technical Equipment & Human Resources,Field Deployment Unit
2021/37,FDU,Jefatura Fiscal y de Fronteras,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2021/FDU/01/Heavy Technical Equipment,133617,2021,Spain,Technical Equipment,Field Deployment Unit
2021/42,FDU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01 Human Resources and light technical equipment,978352,2021,Italy,Technical Equipment & Human Resources,Field Deployment Unit
2021/43,FDU,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2021/FDU/01 Human Resources and light technical equipment,1588326,2021,Czech Republic,Technical Equipment & Human Resources,Field Deployment Unit
2021/44,FDU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01 Human Resources and light technical equipment,1604302,2021,Italy,Technical Equipment & Human Resources,Field Deployment Unit
2021/45,FDU,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2021/FDU/01 Human Resources and light technical equipment,387185,2021,Portugal,Technical Equipment & Human Resources,Field Deployment Unit
2021/46,FDU,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2021/FDU/01 Human Resources and light technical equipment,302151,2021,Greece,Technical Equipment & Human Resources,Field Deployment Unit
2021/47,FDU,Portugese Navy,"Rua do Arsenal1149-001 LisboaPortugal",2021/FDU/01/Heavy Technical Equipment,177624,2021,Portugal,Technical Equipment,Field Deployment Unit
2021/48,FDU,National Police Directorate,"Fr. Nansensvei 14-16, NO 0369 Oslo â€“ Norway",2021/FDU/01 Human Resources and light technical equipment,403009,2021,Norway,Technical Equipment & Human Resources,Field Deployment Unit
2021/49,FDU,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2021/FDU/01/Heavy Technical Equipment,261674,2021,Portugal,Technical Equipment,Field Deployment Unit
