grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2022/291,ECRET,Federal Office for Migration and Refugees BAMF,"Frankenstr. 210, 90461 Nürnberg, Germany",FOA-R 2022 - PRE-RETURN ACTIVITIES,34813,2022,Germany,FOA,European Centre for Returns
2021/336,DMD,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059","JO Focal Points Land, Air; FOA Land",50691.25,2021,Moldova,FOA,Deployment Management Division
2021/338,DMD,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Flexible Operational Activity LAND (FOA - LAND),19073.82,2021,Montenegro,FOA,Deployment Management Division
2021/437,DMD,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",FOA Western Balkans,100868.9,2021,Albania,FOA,Deployment Management Division
2020/76,ECRET,National Police Immigration Service,"Ã˜kern veien 11-13, Postbox 8102 Dep. 0032 Oslo, Norway",2020/ECRet/01-FOA-R 2019 including return and pre-return related activities,192136.46,2020,Norway,FOA,European Centre for Returns
2020/84,ECRET,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2020/ECRet/01-FOA-R 2019 including return and pre-return related activities,41346,2020,Luxembourg,FOA,European Centre for Returns
2020/94,ECRET,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2020/ECRet/01-FOA-R 2019 including return and pre-return related activities,10935,2020,Romania,FOA,European Centre for Returns
2020/104,FDU,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2020/ECRet/01-FOA-R 2019 including return and pre-return related activities,11556,2020,Albania,FOA,Field Deployment Unit
2020/112,ECRET,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box164, 2501 CD, The Hague, The Netherlands",2020/ECRet/01-FOA-R 2019 including return and pre-return related activities,6116.56,2020,Netherlands,FOA,European Centre for Returns
2019/2,ECRET,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,10227,2019,Croatia,FOA,European Centre for Returns
2019/4,ECRET,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels â€“ Belgium",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,621816,2019,Belgium,FOA,European Centre for Returns
2019/5,ECRET,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,986534,2019,France,FOA,European Centre for Returns
2019/7,ECRET,Czech Ministry of Interior,"Nad Stolou 3, 170 34 Prague 7, Czech Republic",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,43788,2019,Czech Republic,FOA,European Centre for Returns
2019/8,ECRET,Customs/Border Guard,"Monbijoustrasse 40, CH-3003 Bern, Switzerland",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,499960,2019,Switzerland,FOA,European Centre for Returns
2019/9,ECRET,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017,Luxembourg",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,69248,2019,Luxembourg,FOA,European Centre for Returns
2019/11,ECRET,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  UrbanizaÃ§Ã£oCabanas Golfe, no 1, 2734-506 Barcarena",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,23356.76,2019,Portugal,FOA,European Centre for Returns
2019/14,ECRET,Immigration and Asylum Office,"1117 Budapest, Budafoki str. 60, Hungary",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,43071,2019,Hungary,FOA,European Centre for Returns
2019/15,ECRET,Federal Office for Immigration and Asylum,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,2464034,2019,Austria,FOA,European Centre for Returns
2019/17,ECRET,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,3640,2019,Greece,FOA,European Centre for Returns
2019/18,ECRET,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,273075,2019,Finland,FOA,European Centre for Returns
2019/19,ECRET,National Police Commissioner,"SkÃºlagata 21, IS-101 Reykjavik, Iceland",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,124696,2019,Iceland,FOA,European Centre for Returns
2019/24,ECRET,Federal Police Regional Office Koblenz,"RoonstraÃŸe 13, 56068 Koblenz",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,5942658,2019,Germany,FOA,European Centre for Returns
2019/25,ECRET,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,1434862,2019,Italy,FOA,European Centre for Returns
