grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/104,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",HR Light TE,135211,2024,Light TE,Frontex Situation Centre
2023/151,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/SAMD/FSC/01,76062,2023,2023/SAMD/FSC/01,Frontex Situation Centre
2023/479,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",HR Light TE,17452,2023,Light TE,Frontex Situation Centre
2021/41,FSC,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2021/FSC/01,48022,2021,2021/FSC/01,Frontex Situation Centre
2021/52,FSC,Estonia,Police and Border Guard Board,"PÃ¤rnu mnt 139, 15060 Tallinn, Estonia",2021/FSC/01 Human resources and Light technical equipment,30391,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/53,FSC,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2021/FSC/01 Human resources and Light technical equipment,20261,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/54,FSC,Netherlands,Sea Port Police,"Meervelderweg 19, 3888NH Uddel, The Netherlands",2021/FSC/01 Human resources and Light technical equipment,10130,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/56,FSC,Netherlands,Royal Marechaussee,"3769ZK SoesterbergMPC 54APO Box 160, The Netherlands",2021/FSC/01 Human resources and Light technical equipment,120632,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/62,FSC,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2021/FSC/01 Human resources and Light technical equipment,21228,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/74,FSC,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FSC/01 Human resources and Light technical equipment,370279,2021,Technical Equipment & Human Resources,Frontex Situation Centre
