grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/45,DMD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",22307.38,2024,Human Resources,Deployment Management Division
2024/68,DMD,France,Prefecture de Police,"1 bis rue de Lutèce, 75004 Paris",2024/DMD/01 Human resources and Light technical equipment,149165,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/76,DMD,France,Direction Centrale de la Police Judiciaire,"11 rue de Saussaies, 75008 Paris, France",2024/DMD/01 Human resources and Light technical equipment,99776,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/77,DMD,France,Direction Centrale des compagnies republicaines de securite,"Place Beauvau - Site Garance - 75800 PARIS Cedex 8, France",2024/DMD/01 Human resources and Light technical equipment,298866,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/81,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2024/ECRET/01,562439,2024,European Centre for Returns,European Centre for Returns
2024/102,ECRET,France, Ministère de l'intérieur et des Outre-Mer,"Place Beauvau, Paris Cedex 8, France",2024/ECRET/01,213534.19999999998,2024,European Centre for Returns,European Centre for Returns
2024/105,DMD,France,Direction Generale de la Gendarmerie nationale,"4 rue Claude Bernard, 92130 Issy-les-Moulineaux",2024/DMD/01 Human resources and Light technical equipment,588680,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/123,DMD,France,Direction Central de la Police aux Frontieres,"Site Garance - Place Beauvau - 75800 PARIS Cedex 8, France",2024/DMD/01 Human resources and Light technical equipment,662219,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/125,DMD,France,Direction nationale de la Sécurité publique,Place Beauvau 75008 Paris,2024/DMD/01 Human resources and Light technical equipment,213725,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/130,DMD,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2024/DMD/01 Human resources and Light technical equipment,63330,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/188,OSD,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2024/FOU/01/Heavy Technical Equipment,138667.59,2024,Technical Equipment,NA
2024/197,OSD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",6290679.75,2024,Human Resources,NA
2024/230,RET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2024/ECRET/01,315856,2024,European Centre for Returns,NA
2024/231,OSD,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2024/FOU/01/Heavy Technical Equipment,456377.01,2024,Technical Equipment,NA
2024/254,OSD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1255942.3900000001,2024,Human Resources,NA
2024/320,RET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2024/ECRET/01,330415,2024,European Centre for Returns,NA
2024/352,OSD,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2024/FOU/01/Heavy Technical Equipment,429846,2024,Technical Equipment,NA
2023/33,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2023/ECRET/01,453271,2023,European Centre for Returns,European Centre for Returns
2023/65,DMD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",42453.34,2023,Human Resources,Deployment Management Division
2023/133,DMD,France,Direction Central de la Police aux Frontieres,"Site Garance - Place Beauvau - 75800 PARIS Cedex 8, France",2023/DMD/01 Human resources and Light technical equipment,1207382,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/144,DMD,France,Direction Centrale des compagnies republicaines de securite,"Place Beauvau - Site Garance - 75800 PARIS Cedex 8, France",2023/DMD/01 Human resources and Light technical equipment,383356,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/154,DMD,France,Direction Generale de la Gendarmerie nationale,"4 rue Claude Bernard, 92130 Issy-les-Moulineaux",2023/DMD/01 Human resources and Light technical equipment,621752,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/156,DMD,France,Direction Centrale de la Police Judiciaire,"11 rue de Saussaies, 75008 Paris, France",2023/DMD/01 Human resources and Light technical equipment,144122,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/163,DMD,France,Direction nationale de la Sécurité publique,Place Beauvau 75008 Paris,2023/DMD/01 Human resources and Light technical equipment,247430,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/164,DMD,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/DMD/01 Human resources and Light technical equipment,283113,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/165,DMD,France,Prefecture de Police,"1 bis rue de Lutèce, 75004 Paris",2023/DMD/01 Human resources and Light technical equipment,172145,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/171,DMD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",1916343.7600000002,2023,Human Resources,Deployment Management Division
2023/206,DMD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",4839680.76,2023,Human Resources,Deployment Management Division
2023/264,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,202173,2023,Technical Equipment,Field Operations Unit
2023/269,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2023/ECRET/01,923346,2023,European Centre for Returns,European Centre for Returns
2023/421,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,313645,2023,Technical Equipment,Field Operations Unit
2023/424,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2023/ECRET/01,511586,2023,European Centre for Returns,European Centre for Returns
2023/440,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,508558,2023,Technical Equipment,Field Operations Unit
2023/466,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,426823,2023,Technical Equipment,Field Operations Unit
2022/6,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2022/ECRET/01,1414500,2022,European Centre for Returns,European Centre for Returns
2022/63,DMD,France,Direction Central de la Police aux Frontieres,"Site Garance - Place Beauvau - 75800 PARIS Cedex 8, France",2022/DMD/01 Human resources and Light technical equipment,743757,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/68,DMD,France,Direction Generale de la Gendarmerie nationale,"4 rue Claude Bernard, 92130 Issy-les-Moulineaux, France",2022/DMD/01 Human resources and Light technical equipment,737603,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/97,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2022/FOU/01/Heavy Technical Equipment,138614,2022,Technical Equipment,Field Operations Unit
2022/130,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2022/FOU/01/Heavy Technical Equipment,555347,2022,Technical Equipment,Field Operations Unit
2022/146,DMD,France,Direction Centrale des compagnies republicaines de securite,"Place Beauvau - Site Garance - 75800 PARIS Cedex 8, France",2022/DMD/01 Human resources and Light technical equipment,181342,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/165,DMD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012, France","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",3380266.3,2022,Human Resources,Deployment Management Division
2022/173,DMD,France,Direction Centrale de la Police Judiciaire,"11 rue de Saussaies, 75008 Paris, France",2022/DMD/01 Human resources and Light technical equipment,89750,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/180,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2022/ECRET/01,1300106,2022,European Centre for Returns,European Centre for Returns
2022/197,DMD,France,Direction nationale de la Sécurité publique,Place Beauvau 75008 Paris,2022/DMD/01 Human resources and Light technical equipment,107610,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/200,DMD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012, France","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",20363.05,2022,Human Resources,Deployment Management Division
2022/219,DMD,France,Prefecture de Police,"1 bis rue de Lutèce, 75004 Paris, France",2022/DMD/01 Human resources and Light technical equipment,59603,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/244,DMD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012, France","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1567140.33,2022,Human Resources,Deployment Management Division
2022/311,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2022/FOU/01/Heavy Technical Equipment,204432,2022,Technical Equipment,Field Operations Unit
2022/353,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2022/ECRET/01,1065382,2022,European Centre for Returns,European Centre for Returns
2022/362,ECRET,France,Direction Central de la Police aux Frontieres,"Site Garance - Place Beauvau - 75800 PARIS Cedex 8, France",2022/ECRET/01,1881,2022,European Centre for Returns,European Centre for Returns
2022/378,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2022/FOU/01/Heavy Technical Equipment,467687,2022,Technical Equipment,Field Operations Unit
2022/402,DMD,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2022/DMD/01 Human resources and Light technical equipment,374242,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/406,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2022/FOU/01/Heavy Technical Equipment,479369,2022,Technical Equipment,Field Operations Unit
2021/29,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2021/ECRet/01,773875,2021,European Centre for Returns,European Centre for Returns
2021/85,FDU,France,Direction Centrale de la Police Judiciaire,"11 rue de Saussaies, 75008 Paris, France",2021/FDU/01 Human Resources and light technical equipment,47947,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/87,FDU,France,Direction Generale de la Gendarmerie nationale,"4 rue Claude Bernard, 92130 Issy-les-Moulineaux, France",2021/FDU/01 Human Resources and light technical equipment,350845,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/95,FDU,France,Direction nationale de la Sécurité publique,"Place Beauvau 75008 Paris, France",2021/FDU/01 Human Resources and light technical equipment,69328,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/110,FDU,France,Direction Centrale des compagnies republicaines de securite,"Place Beauvau - Site Garance - 75800 PARIS Cedex 8,France",2021/FDU/01 Human Resources and light technical equipment,94168,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/111,FDU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil CedexFrance",2021/FDU/01/Heavy Technical Equipment,157339,2021,Technical Equipment,Field Deployment Unit
2021/113,FDU,France,Prefecture de Police,"1 bis rue de LutÃ¨ce, 75004 Paris, France",2021/FDU/01 Human Resources and light technical equipment,76288,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/116,FDU,France,Direction Central de la Police aux Frontieres,"Site Garance - Place Beauvau - 75800 PARIS Cedex 8,France",2021/FDU/01 Human Resources and light technical equipment,503645,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/184,FDU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex 
France","11, rue des Deux communes 93558 Montreuil Cedex  France",613405,2021,rue des Deux communes 93558 Montreuil Cedex  France,Field Deployment Unit
2021/187,FDU,France,French Navy,"60 boulevard du gÃ©nÃ©ral Martial Valin, 75509 Paris Cedex15, France",2021/FDU/01/Heavy Technical Equipment,381329,2021,Technical Equipment,Field Deployment Unit
2021/226,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2021/ECRet/01,779380,2021,European Centre for Returns,European Centre for Returns
2021/273,FDU,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","MinistÃ¨resÃ©conomiquesetfinanciers-139,ruedeBercy, Paris XIIe, 75012, France","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",2249335.13,2021,Human Resources,Field Deployment Unit
2021/304,DMD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","MinistÃ¨resÃ©conomiquesetfinanciers-139,ruedeBercy, Paris XIIe, 75012, France","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",906562.39,2021,Human Resources,Deployment Management Division
2021/372,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2021/ECRet/01,1108339,2021,European Centre for Returns,European Centre for Returns
2021/402,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil CedexFrance",2021/FDU/01/Heavy Technical Equipment,187871,2021,Technical Equipment,Field Operations Unit
2021/408,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil CedexFrance",2021/FDU/01/Heavy Technical Equipment,571640,2021,Technical Equipment,Field Operations Unit
2020/15,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2020/ECRET/01 Return Support,317608.77,2020,European Centre for Returns,European Centre for Returns
2020/38,FDU,France,French Navy,"60 boulevard du gÃ©nÃ©ral Martial Valin, 75509 Paris Cedex 15,France",2020/FDU/01/Heavy Technical Equipment,520264,2020,Technical Equipment,Field Deployment Unit
2020/79,FDU,France,Direction Generale de la Gendarmerie nationale,"4 rue Claude Bernard, 92130 Issy-les-Moulineaux",2020/FDU/01/Human Resources/Light Technical Technical Equipment,450106,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/88,FDU,France,Prefecture de Police,"1 bis rue de LutÃ¨ce, 75004 Paris",2020/FDU/01/Human Resources/Light Technical Equipment,148066,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/91,FDU,France,Direction Centrale des compagnies republicaines de securite,"Place Beauvau - Site Garance - 75800 PARIS Cedex 8, France",2020/FDU/01/Human Resources/Light Technical Equipment,358609,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/100,FDU,France,Direction Central de la Police aux Frontieres,"Site Garance - Place Beauvau - 75800 PARIS Cedex 8, France",2020/FDU/01/Human Resources/Light Technical Equipment,1017690,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/105,FDU,France,Direction Centrale de la Police Judiciaire,"11 rue de Saussaies, 75008 Paris, France",2020/FDU/01/Human Resources/Light Technical Equipment,88584,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/125,FDU,France,Direction nationale de la Sécurité publique,Place Beauvau 75008 Paris,2020/FDU/01/Human Resources/Light Technical Equipment,51648,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/138,FDU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2020/FDU/01/Human Resources/Light Technical Equipment,130976,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/159,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2020/ECRet/01,828519.87,2020,European Centre for Returns,European Centre for Returns
2020/193,ECRET,France,Prefecture de Police,"1 bis rue de LutÃ¨ce, 75004 Paris",2020/ECRet/01,84098.85,2020,European Centre for Returns,European Centre for Returns
2020/207,CGS,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2020/FDU/01/Human Resources,8245,2020,Human Resources,Coast Guard Sector
2020/215,CGS,France,Ministère de la Transition écologique et solidaire,"Grande Arche de La DÃ©fense Paroi SUD 92 055 LA DEFENSECEDEX, France",2020/FDU/01/Human Resources,11997,2020,Human Resources,Coast Guard Sector
2020/252,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2020/ECRet/01,1012794.13,2020,European Centre for Returns,European Centre for Returns
2020/284,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2020/ECRet/01,858.5,2020,European Centre for Returns,European Centre for Returns
2020/289,FDU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2020/FDU/01/Human Resources/Heavy Technical Technical Equipment,260056,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/324,TF Deploy,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","MinistÃ¨res Ã©conomiques et financiers - 139, rue de Bercy, ParisXIIe, 75012",Financial Support Cat.2,1948032,2020,Support Cat.2,Task Force Deployment Management
2019/5,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,986534,2019,FOA,European Centre for Returns
2019/6,FDU,France,French Navy,"60 boulevard du gÃ©nÃ©ral Martial Valin, 75509 ParisCedex 15, France",2018/ORD/01 Technical Equipment,669678,2019,Technical Equipment,Field Deployment Unit
2019/95,FDU,France,Direction Central de la Police aux Frontieres,"Site Garance - Place Beauvau - 75800 PARIS Cedex8, France",2019/FDU/01 Human Resources,1587302,2019,Human Resources,Field Deployment Unit
2019/99,FDU,France,Direction Centrale de la Police Judiciaire,"11 rue de Saussaies, 75008 Paris, France",2019/FDU/01 Human Resources,202425,2019,Human Resources,Field Deployment Unit
2019/100,FDU,France,Direction Centrale des compagnies republicaines de securite,"Place Beauvau - Site Garance - 75800 PARIS Cedex8, France",2019/FDU/01 Human Resources,285215,2019,Human Resources,Field Deployment Unit
2019/101,FDU,France,Direction nationale de la Sécurité publique,Place Beauvau 75008 Paris,2019/FDU/01 Human Resources,195414,2019,Human Resources,Field Deployment Unit
2019/104,FDU,France,Prefecture de Police,"1 bis rue de LutÃ¨ce, 75004 Paris",2019/FDU/01 Human Resources,304576,2019,Human Resources,Field Deployment Unit
2019/106,FDU,France,French Navy,"60 boulevard du gÃ©nÃ©ral Martial Valin, 75509 ParisCedex 15, France",2019/FDU/01 Technical Equipment,342148,2019,Technical Equipment,Field Deployment Unit
2019/110,FDU,France,Direction Generale de la Gendarmerie nationale,"4 rue Claude Bernard, 92130 Issy-les-Moulineaux",2019/FDU/01 Human Resources,459679,2019,Human Resources,Field Deployment Unit
2019/119,FDU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil CedexFrance",2019/FDU/01 Technical Equipment,705515,2019,Technical Equipment,Field Deployment Unit
2019/161,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,733683,2019,FOA,European Centre for Returns
2019/243,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,693637.2,2019,FOA,European Centre for Returns
2019/278,FDU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil CedexFrance",2019/FDU/01 Technical Equipment,504673,2019,Technical Equipment,Field Deployment Unit
2019/331,ECRET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,557749,2019,FOA,European Centre for Returns
2019/347,FDU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil CedexFrance",2019/FDU/01 Technical Equipment,568589,2019,Technical Equipment,Field Deployment Unit
2018/42,RSU,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800PARIS Cedex 8, France",2018/FOA-R 2017,1438948,2018,FOA,Return Support Unit
2018/128,ORD,France,Direction nationale de la Sécurité publique,"Place Beauvau 75008Paris",2018/ORD/01 Human Resources,387643,2018,Human Resources,Operational Response Division
2018/129,ORD,France,Direction Central de la Police aux Frontieres,"Site Garance - PlaceBeauvau - 75800 PARISCedex 8, France",2018/ORD/01 Human Resources,2067632,2018,Human Resources,Operational Response Division
