grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/33,ECRET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2024/ECRET/01,16831.1,2024,European Centre for Returns,European Centre for Returns
2024/151,ECRET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2024/ECRET/01,14257.75,2024,European Centre for Returns,European Centre for Returns
2024/201,RET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2024/ECRET/01,8554.65,2024,European Centre for Returns,NA
2024/270,RET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2024/ECRET/01,17109.3,2024,European Centre for Returns,NA
2024/312,RET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2024/ECRET/01,19960.85,2024,European Centre for Returns,NA
2024/363,RET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2024/ECRET/01,8554.65,2024,European Centre for Returns,NA
2023/16,DMD,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",Joint Operations Focal Points AIR 2023 (JO FP - AIR),5804.75,2023,Focal Points,Deployment Management Division
2023/38,ECRET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2023/ECRET/01,13910,2023,European Centre for Returns,European Centre for Returns
2023/136,DMD,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",Joint Operations Focal Points AIR 2023 (JO FP - AIR),5858.25,2023,Focal Points,Deployment Management Division
2023/157,ECRET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2023/ECRET/01,11128,2023,European Centre for Returns,European Centre for Returns
2023/179,DMD,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",Joint Operations Focal Points AIR 2023 (JO FP - AIR),5858.25,2023,Focal Points,Deployment Management Division
2023/180,DMD,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",Joint Operations Focal Points AIR 2023 (JO FP - AIR),7967.22,2023,Focal Points,Deployment Management Division
2023/181,DMD,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",Joint Operations Focal Points AIR 2023 (JO FP - AIR),5965.25,2023,Focal Points,Deployment Management Division
2023/196,DMD,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",Joint Operations Focal Points AIR 2023,8768.65,2023,Focal Points,Deployment Management Division
2023/202,DMD,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",Joint Operations Focal Points AIR 2023 (JO FP - AIR),5965.25,2023,Focal Points,Deployment Management Division
2023/254,DMD,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",JO Moldova 2023,6949.65,2023,Moldova 2023,Deployment Management Division
2023/267,ECRET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2023/ECRET/01,13910,2023,European Centre for Returns,European Centre for Returns
2023/291,DMD,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",Joint Operations Focal Points AIR 2023 and JO Moldova 2023,13128.899999999998,2023,Focal Points,Deployment Management Division
2023/292,DMD,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",Joint Operations Focal Points AIR 2023 and JO Moldova 2023,13128.899999999998,2023,Focal Points,Deployment Management Division
