grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/50,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",234162.11,2024,Human Resources,Deployment Management Division
2024/104,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",HR Light TE,135211,2024,Light TE,Frontex Situation Centre
2024/118,DMD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2024/DMD/01 Human resources and Light technical equipment,630845,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/131,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2024/DMD/01 Human resources and Light technical equipment,959739,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/152,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2024/FOU/01/Heavy Technical Equipment,512879,2024,Technical Equipment,Field Operations Unit
2024/173,ECRET,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2024/ECRET/01,63915,2024,European Centre for Returns,European Centre for Returns
2024/174,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1404972.66,2024,Human Resources,Deployment Management Division
2024/222,OSD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2024/FOU/01/Heavy Technical Equipment,476130,2024,Technical Equipment,NA
2024/238,CGS,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2024/CGS/01 - MMO-Heavy Technical Equipment,63795,2024,Technical Equipment,Coast Guard Sector
2024/275,OSD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",897239.51,2024,Human Resources,NA
2024/283,OSD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2024/FOU/01/Heavy Technical Equipment,531704,2024,Technical Equipment,NA
