grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2022/38,DMD,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary",2022/DMD/01 Human resources and Light technical equipment,2977410,2022,Hungary,Technical Equipment & Human Resources,Deployment Management Division
2022/79,ECRET,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary",2022/ECRET/01,16404,2022,Hungary,European Centre for Returns,European Centre for Returns
2022/83,DMD,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2022/DMD/01 Human resources and Light technical equipment,6896,2022,Hungary,Technical Equipment & Human Resources,Deployment Management Division
2022/192,DMD,Hungarian National Police,"1139 Budapest, Teve utca 4-6. Magyarország, Hungary","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",12924.34,2022,Hungary,Human Resources,Deployment Management Division
2022/248,DMD,Hungarian National Police,"1139 Budapest, Teve utca 4-6. Magyarország, Hungary","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1243321.03,2022,Hungary,Human Resources,Deployment Management Division
2022/286,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2022/ECRET/01,11799,2022,Hungary,European Centre for Returns,European Centre for Returns
2022/287,DMD,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2022/DMD/01 Human resources and Light technical equipment,22810,2022,Hungary,Technical Equipment & Human Resources,Deployment Management Division
2022/377,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2022/ECRET/01,10029,2022,Hungary,European Centre for Returns,European Centre for Returns
2021/22,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2021/ECRet/01,18009,2021,Hungary,European Centre for Returns,European Centre for Returns
2021/59,FDU,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary",2021/FDU/01 Human Resources and light technical equipment,2375809,2021,Hungary,Technical Equipment & Human Resources,Field Deployment Unit
2021/77,FSC,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary",2021/FSC/01 Human resources and Light technical equipment,41504,2021,Hungary,Technical Equipment & Human Resources,Frontex Situation Centre
2021/169,TF Deploy,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",35950.03,2021,Hungary,Human Resources,Task Force Deployment Management
2021/213,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2021/ECRet/01,12969,2021,Hungary,European Centre for Returns,European Centre for Returns
2021/306,DMD,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",948841.09,2021,Hungary,Human Resources,Deployment Management Division
2021/344,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2021/ECRet/01,33005,2021,Hungary,European Centre for Returns,European Centre for Returns
2021/371,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2021/ECRet/01,6615,2021,Hungary,European Centre for Returns,European Centre for Returns
2020/11,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2020/ECRET/01 Return Support,24698,2020,Hungary,European Centre for Returns,European Centre for Returns
2020/83,FSC,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary",2020/FSC/GA FSC FIMO Deployment,16717,2020,Hungary,FIMO Deployment,Frontex Situation Centre
2020/109,FDU,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary",2020/FDU/01/Human Resources/Light Technical Equipment,938422,2020,Hungary,Technical Equipment & Human Resources,Field Deployment Unit
2020/167,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2020/ECRet/01,91,2020,Hungary,European Centre for Returns,European Centre for Returns
2020/254,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2020/ECRet/01,19377,2020,Hungary,European Centre for Returns,European Centre for Returns
2019/14,ECRET,Immigration and Asylum Office,"1117 Budapest, Budafoki str. 60, Hungary",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,43071,2019,Hungary,FOA,European Centre for Returns
2019/56,FDU,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary",2019/FDU/01 Human Resources,539517,2019,Hungary,Human Resources,Field Deployment Unit
2019/134,FSC,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary",2019/FSC/GA FSC FIMO Deployment,21187,2019,Hungary,FIMO Deployment,Frontex Situation Centre
