grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2023/382,IFC,Norway,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2023/Copernicus/EUROSUR Fusion Services (EFS),38671.08,2023,Fusion Services (EFS),Information Fusion Centre
2023/435,IFC,Portugal,Portuguese Air Force,"Avenida da Força Aérea n.º1, Alfragide 2614-506, Portugal",2023/IFC/01,3066.36,2023,Information Fusion Centre,Information Fusion Centre
2023/436,IFC,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2023/IFC/01,10019.57,2023,Information Fusion Centre,Information Fusion Centre
2023/437,IFC,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2023/IFC/01,6641.76,2023,Information Fusion Centre,Information Fusion Centre
2022/325,IFC,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/Copernicus/EUROSUR Fusion Services (EFS),3852.14,2022,Fusion Services (EFS),Information Fusion Centre
2022/332,IFC,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa, Portugal",2022/Copernicus/EUROSUR Fusion Services (EFS),18044.74,2022,Fusion Services (EFS),Information Fusion Centre
2020/242,IFC,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",Frontex EUROSUR/Copernicus Fusion Services (EFS),47684,2020,EUROSUR/Copernicus Fusion Services (EFS),Information Fusion Centre
2020/260,IFC,Estonia,Police and Border Guard Board,"PÃ¤rnu mnt 139, 15060 Tallinn, Estonia",2020/Copernicus/EUROSUR Fusion Services (EFS),83304,2020,Fusion Services (EFS),Information Fusion Centre
2020/269,IFC,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FI-00131 Helsinki, Finland",2020/Copernicus/EUROSUR Fusion Services (EFS),15067,2020,Fusion Services (EFS),Information Fusion Centre
2019/277,IFC,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",Frontex EUROSUR/Copernicus Fusion Services (EFS),64919.78,2019,EUROSUR/Copernicus Fusion Services (EFS),Information Fusion Centre
