grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2015/64,ROS,Naturalisation and Immigration Service,"13/14 Burgh Quay, Dublin 2, Ireland",2015/ROS/07 JRO to Nigeria,37374,2015,Ireland,Return Operations,Return Operations Sector
2015/145,ROS,Naturalisation and Immigration Service,"13/14 Burgh Quay, Dublin 2, Ireland",2015/ROS/11 JRO to Nigeria,48643,2015,Ireland,Return Operations,Return Operations Sector
2015/516,ROS,Naturalisation and Immigration Service,"13/14 Burgh Quay, Dublin 2, Ireland",2015/ROS/33 JRO to DRC,49947,2015,Ireland,Return Operations,Return Operations Sector
2015/656,ROS,Naturalisation and Immigration Service,"13/14 Burgh Quay, Dublin 2, Ireland",2015/ROS/37 JRO to Nigeria,50737,2015,Ireland,Return Operations,Return Operations Sector
2014/783,ABS,Naturalisation and Immigration Service,"13/14 Burgh Quay, Dublin 2, Ireland",2014/ABS/12 Vega Children,13188.82,2014,Ireland,VEGA Children,Air Border Sector
2013/4,ROS,Naturalisation and Immigration Service,"13/14 Burgh Quay, Dublin 2, Ireland",2013/ROS/02 JRO to Nigeria,36617.66,2013,Ireland,Return Operations,Return Operations Sector
2013/196,ROS,Naturalisation and Immigration Service,"13/14 Burgh Quay, Dublin 2, Ireland",2013/ROS/15 JRO to Nigeria,1705,2013,Ireland,Return Operations,Return Operations Sector
2013/197,ROS,Naturalisation and Immigration Service,"13/14 Burgh Quay, Dublin 2, Ireland",2012/ROS/47 JRO to Pakistan,31706.8,2013,Ireland,Return Operations,Return Operations Sector
2013/266,ROS,Naturalisation and Immigration Service,"13/14 Burgh Quay, Dublin 2, Ireland",2013/ROS/18 JRO to Albania,96900,2013,Ireland,Return Operations,Return Operations Sector
2013/372,ROS,Naturalisation and Immigration Service,"13/14 Burgh Quay, Dublin 2, Ireland",2013/ROS/20 JRO to Nigeria,21464.4,2013,Ireland,Return Operations,Return Operations Sector
2013/406,ROS,Naturalisation and Immigration Service,"13/14 Burgh Quay, Dublin 2, Ireland",2013/ROS/24 JRO to DR of Congo,37784.04,2013,Ireland,Return Operations,Return Operations Sector
2012/97,ROS,Garda National Immigration Bureau,NA,2011/ROS/55 JRO to Nigeria,52719.44,2012,Ireland,Return Operations,Return Operations Sector
2012/237,ROS,Garda National Immigration Bureau,NA,2012/ROS/14 JRO to Nigeria,43872.06,2012,Ireland,Return Operations,Return Operations Sector
2012/387,ABS,Garda National Immigration Bureau,NA,2012/ABS/04 PP Flexi Force - Hubble module,4864.76,2012,Ireland,Hubble,Air Border Sector
2012/497,ROS,Garda National Immigration Bureau,NA,2012/ROS/21 JRO to Nigeria & Ghana,50827.21,2012,Ireland,Return Operations,Return Operations Sector
2012/794,ROS,Garda National Immigration Bureau,NA,2012/ROS/31 JRO to Nigeria,36584.31,2012,Ireland,Return Operations,Return Operations Sector
2011/43/,ROS,Garda National Immigration Bureau,NA,2011/ROS/08 JRO to DRC on 16-18.02.2011,18017.36,2011,Ireland,Return Operations,Return Operations Sector
2011/441/,ROS,Garda National Immigration Bureau,NA,2011/ROS/01 Attica 2011,8176.93,2011,Ireland,Attica,Return Operations Sector
2011/470/,ROS,Garda National Immigration Bureau,NA,2011/ROS/24 JRO to Ukraine and Georgia,37898.46,2011,Ireland,Return Operations,Return Operations Sector
2011/633/,ROS,Garda National Immigration Bureau,NA,2011/ROS/01 Attica 2011,28203.94,2011,Ireland,Attica,Return Operations Sector
2011/659/,ROS,Garda National Immigration Bureau,NA,2011/ROS/01 Attica 2011,6190.38,2011,Ireland,Attica,Return Operations Sector
