grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/11,ECRET,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/ECRET/01,2395822,2024,European Centre for Returns,European Centre for Returns
2024/75,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,186339,2024,Technical Equipment,Field Operations Unit
2024/82,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,861878,2024,Technical Equipment,Field Operations Unit
2024/113,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,1564296,2024,Technical Equipment,Field Operations Unit
2024/121,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,39509,2024,Technical Equipment,Field Operations Unit
2024/124,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/DMD/01 Human resources and Light technical equipment,155061,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/126,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/DMD/01 Human resources and Light technical equipment,363036,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/132,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/DMD/01 Human resources and Light technical equipment,3141910,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/136,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,63758,2024,Technical Equipment,Field Operations Unit
2024/161,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",3733302.56,2024,Human Resources,Deployment Management Division
2024/171,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,509887,2024,Technical Equipment,Field Operations Unit
2024/179,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,191163,2024,Technical Equipment,Field Operations Unit
2024/184,OSD,Italy,Guardia Costiera,"Lisbon, Portugal",2024/FOU/01/Heavy Technical Equipment,157276,2024,Technical Equipment,Operational Support Division
2024/187,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,195003,2024,Technical Equipment,Operational Support Division
2024/212,RET,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/ECRET/01,3642956,2024,European Centre for Returns,Return Division
2024/248,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,310572,2024,Technical Equipment,Operational Support Division
2024/253,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",Support in the development of human resources to secure Member States,2684944.53,2024,Human Resources,Operational Support Division
2024/268,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,346393.89,2024,Technical Equipment,Operational Support Division
2024/280,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,149797,2024,Technical Equipment,Operational Support Division
2024/294,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,865359,2024,Technical Equipment,Operational Support Division
2024/297,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,654942,2024,Technical Equipment,Operational Support Division
2024/319,RET,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/ECRET/01,1571276,2024,European Centre for Returns,Return Division
2024/325,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/DMD/01 Human resources and Light technical equipment,1946404,2024,Technical Equipment & Human Resources,Operational Support Division
2024/326,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/DMD/01 Human resources and Light technical equipment,71525,2024,Technical Equipment & Human Resources,Operational Support Division
2024/329,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/DMD/01 Human resources and Light technical equipment,1921000,2024,Technical Equipment & Human Resources,Operational Support Division
2024/339,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,494921,2024,Technical Equipment,Operational Support Division
2024/343,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,377608,2024,Technical Equipment,Operational Support Division
2024/348,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,669726,2024,Technical Equipment,Operational Support Division
2024/349,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,505909,2024,Technical Equipment,Operational Support Division
2024/356,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,877162,2024,Technical Equipment,Operational Support Division
2023/13,ECRET,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/ECRET/01,3136754,2023,European Centre for Returns,European Centre for Returns
2023/40,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,364195,2023,Technical Equipment,Field Operations Unit
2023/58,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,248088,2023,Technical Equipment,Field Operations Unit
