grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/4,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2024/FOU/01/Heavy Technical Equipment,461344,2024,Technical Equipment,Field Operations Unit
2024/5,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2024/FOU/01/Heavy Technical Equipment,1479671,2024,Technical Equipment,Field Operations Unit
2024/60,DMD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2024/DMD/01 Human resources and Light technical equipment,1589995,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/153,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2024/FOU/01/Heavy Technical Equipment,523487,2024,Technical Equipment,Field Operations Unit
2024/189,OSD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2024/FOU/01/Heavy Technical Equipment,453826,2024,Technical Equipment,Operational Support Division
2024/257,OSD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1086453.28,2024,Human Resources,Operational Support Division
2024/287,CGS,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",MMO/JO Baltic Sea 2024 Heavy Technical Equipment,35073,2024,Technical Equipment,Coast Guard Sector
2024/290,OSD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2024/FOU/01/Heavy Technical Equipment,484346,2024,Technical Equipment,Operational Support Division
2024/296,RET,Latvia,Office of Citizenship and Migration Affairs,"Ciekurkalna 1. Linija 1, k-3, LV-1026, Riga, Latvia",2024/ECRET/01,21412,2024,European Centre for Returns,Return Division
2023/30,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,439164,2023,Technical Equipment,Field Operations Unit
2023/49,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,1606563,2023,Technical Equipment,Field Operations Unit
2023/53,DMD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",31222.11,2023,Human Resources,Deployment Management Division
2023/160,DMD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/DMD/01 Human resources and Light technical equipment,1718808,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/185,DMD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",1085904.99,2023,Human Resources,Deployment Management Division
2023/258,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,457484,2023,Technical Equipment,Field Operations Unit
2023/306,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,1523475,2023,Technical Equipment,Field Operations Unit
2023/360,CGS,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",MMO Baltic Sea 2023/Heavy Technical Equipment,87960,2023,Technical Equipment,Coast Guard Sector
2023/384,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,536319,2023,Technical Equipment,Field Operations Unit
2023/403,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,1033813,2023,Technical Equipment,Field Operations Unit
2022/30,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/Heavy Technical Equipment,420391,2022,Technical Equipment,Field Operations Unit
2022/56,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,1611095,2022,Technical Equipment,Field Operations Unit
2022/76,DMD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/DMD/01 Human resources and Light technical equipment,1417738,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/119,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,307118,2022,Technical Equipment,Field Operations Unit
2022/182,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,410513,2022,Technical Equipment,Field Operations Unit
2022/220,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,1629612,2022,Technical Equipment,Field Operations Unit
2022/265,DMD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1005415.06,2022,Human Resources,Deployment Management Division
2022/269,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,549380,2022,Technical Equipment,Field Operations Unit
2022/302,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,509612,2022,Technical Equipment,Field Operations Unit
2022/355/FOU,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,996051,2022,Technical Equipment,Field Operations Unit
2021/51,FDU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2021/FDU/01/Heavy Technical Equipment,1533138,2021,Technical Equipment,Field Deployment Unit
2021/70,FDU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2021/FDU/01/Heavy Technical Equipment,1112749,2021,Technical Equipment,Field Deployment Unit
2021/136,FDU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2021/FDU/01 Human Resources and light technical equipment,1096045,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/154,TF Deploy,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",77500.06,2021,Human Resources,Task Force Deployment Management
2021/201,FDU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2021/FDU/01/Heavy Technical Equipment,495314,2021,Technical Equipment,Field Deployment Unit
2021/217,FDU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2021/FDU/01/Heavy Technical Equipment,365884,2021,Technical Equipment,Field Deployment Unit
