grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/98,DMD,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania",2024/DMD/01 Human resources and Light technical equipment,2163829,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/167,DMD,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1150724.52,2024,Human Resources,Deployment Management Division
2024/176,FOU,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania",2024/FOU/01/Heavy Technical Equipment,823491,2024,Technical Equipment,Field Operations Unit
2024/217,OSD,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania",2024/FOU/01/Heavy Technical Equipment,352085,2024,Technical Equipment,Operational Support Division
2024/233,RET,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania",2024/ECRET/01,16216,2024,European Centre for Returns,Return Division
2024/259,OSD,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1237200.31,2024,Human Resources,Operational Support Division
2024/288,CGS,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania",MMO/JO Baltic Sea 2024 Heavy Technical Equipment,40127,2024,Technical Equipment,Coast Guard Sector
2024/316,OSD,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania",2024/FOU/01/Heavy Technical Equipment,959556,2024,Technical Equipment,Operational Support Division
2024/346,RET,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania",2024/ECRET/01,13306,2024,European Centre for Returns,Return Division
2024/365,ACADEMY,Lithuania,Mykolas Romeris University  (MRU),"Ateities str. 20, LT-08303, Vilnius, Lithuania",The implementation of Stage 1 of  the 1st iteration of THE EUROPEAN JOINT MASTER’S IN STRATEGIC BORDER MANAGMENT,339781,2024,European Joint Master's programme in Strategic Border Management,Joint Master’s in Strategic Border Management programme
2023/37,ECRET,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/ECRET/01,79833,2023,European Centre for Returns,European Centre for Returns
2023/45,DMD,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",31767.31,2023,Human Resources,Deployment Management Division
2023/114,DMD,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/DMD/01 Human resources and Light technical equipment,1403111,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/174,DMD,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",711111.23,2023,Human Resources,Deployment Management Division
2023/209,DMD,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",825950.06,2023,Human Resources,Deployment Management Division
2023/263,FOU,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/FOU/01/Heavy Technical Equipment,637245,2023,Technical Equipment,Field Operations Unit
2023/315,ECRET,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/ECRET/01,19458,2023,European Centre for Returns,European Centre for Returns
2023/372,FOU,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/FOU/01/Heavy Technical Equipment,663091,2023,Technical Equipment,Field Operations Unit
2023/470,ECRET,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/ECRET/01,5176,2023,European Centre for Returns,European Centre for Returns
2022/1,ECRET,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2022/ECRET/01,30588,2022,European Centre for Returns,European Centre for Returns
2022/72,DMD,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2022/DMD/01 Human resources and Light technical equipment,108654,2022,Technical Equipment & Human Resources,Deployment Management Division
