grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/31,ECRET,Luxembourg,Ministry of Internal Security,"4, Place de l'Europe
L-1499 Luxembourg
",2024/ECRET/01,13107,2024,European Centre for Returns,European Centre for Returns
2024/54,DMD,Luxembourg,Police Grand Ducale,"Cité Policière Grand-Duc Henri Complexe A, rue de Trèves, L-2957 Luxembourg",2024/DMD/01 Human resources and Light technical equipment,494416,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/91,FOU,Luxembourg,General Department of Immigration - Ministry for Home Affairs,"26, route d'Arlon, L-1140 Luxembourg",2024/FOU/01/Heavy Technical Equipment,1676566,2024,Technical Equipment,Field Operations Unit
2024/154,DMD,Luxembourg,Police Grand Ducale,"Direction des Relations Internationales / DRI-CEC, B.P. 1007
L-2957, Luxembourg","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",261341.64,2024,Human Resources,Deployment Management Division
2024/203,RET,Luxembourg,General Department of Immigration - Ministry for Home Affairs,"BP 752, L-2017, Luxembourg",2024/ECRET/01,5613,2024,European Centre for Returns,Return Division
2024/265,OSD,Luxembourg,General Department of Immigration - Ministry for Home Affairs,"26, route d'Arlon, L-1140 Luxembourg",2024/FOU/01/Heavy Technical Equipment,973377,2024,Technical Equipment,Operational Support Division
2024/269,OSD,Luxembourg,Police Grand Ducale,"Direction des Relations Internationales / DRI-CEC, B.P. 1007
L-2957, Luxembourg","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",190054.49,2024,Human Resources,Operational Support Division
2024/293,OSD,Luxembourg,General Department of Immigration - Ministry for Home Affairs,"26, route d'Arlon, L-1140 Luxembourg",2024/FOU/01/Heavy Technical Equipment,1738632,2024,Technical Equipment,Operational Support Division
2024/317,RET,Luxembourg,General Department of Immigration - Ministry for Home Affairs,"BP 752, L-2017, Luxembourg",2024/ECRET/01,29198,2024,European Centre for Returns,Return Division
2023/57,ECRET,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2023/ECRET/01,55074,2023,European Centre for Returns,European Centre for Returns
