grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/39,ECRET,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2024/ECRET/01,22060,2024,European Centre for Returns,European Centre for Returns
2024/101,DMD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2024/DMD/01 Human resources and Light technical equipment,617204,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/106,DMD,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2024/DMD/01 Human resources and Light technical equipment,123030,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/160,DMD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",173978.85,2024,Human Resources,Deployment Management Division
2024/235,RET,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2024/ECRET/01,16163,2024,European Centre for Returns,Return Division
2024/250,OSD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",287958.19,2024,Human Resources,Operational Support Division
2024/355,OSD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2024/FOU/01/Heavy Technical Equipment,253110,2024,Technical Equipment,Operational Support Division
2023/89,ECRET,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2023/ECRET/01,3106,2023,European Centre for Returns,European Centre for Returns
2023/109,DMD,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2023/DMD/01 Human resources and Light technical equipment,124216,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/150,DMD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2023/DMD/01 Human resources and Light technical equipment,651579,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/231,DMD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",272491.55,2023,Human Resources,Deployment Management Division
