grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/1,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2024,25241.3,2024,Other joint operations,Deployment Management Division
2024/8,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2024,252252.00000000003,2024,Other joint operations,Deployment Management Division
2024/117,ECRET,Moldova,General Inspectorate for Migration,"124, Stefan cel Mare bd, Chisinau MD-2012, Moldova",2024/ECRET/01,3611.25,2024,European Centre for Returns,European Centre for Returns
2024/163,ECRET,Moldova,General Inspectorate for Migration,"124, Stefan cel Mare bd, Chisinau MD-2012, Moldova",2024/ECRET/01,3531,2024,European Centre for Returns,European Centre for Returns
2024/186,OSD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2024/DMD/01 Human resources and Light technical equipment,60197.13,2024,Technical Equipment & Human Resources,Operational Support Division
2024/273,RET,Moldova,General Inspectorate for Migration,"124, Stefan cel Mare bd, Chisinau MD-2012, Moldova",2024/ECRET/01,6821.25,2024,European Centre for Returns,Return Division
2024/345,RET,Moldova,General Inspectorate for Migration,"124, Stefan cel Mare bd, Chisinau MD-2012, Moldova",2024/ECRET/01,6821.25,2024,European Centre for Returns,Return Division
2023/9,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2022,6203.86,2023,Other joint operations,Deployment Management Division
2023/18,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2023,7129.41,2023,Other joint operations,Deployment Management Division
2023/21,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2023,71441.76,2023,Other joint operations,Deployment Management Division
2023/70,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2023,12823.95,2023,Other joint operations,Deployment Management Division
2023/182,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Focal Points Air 2023,9227.68,2023,Focal Points (Air),Deployment Management Division
2023/183,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Focal Points Air 2023,10781.32,2023,Focal Points (Air),Deployment Management Division
2023/213,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2023,13797.65,2023,Other joint operations,Deployment Management Division
2023/218,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2023,71441.76,2023,Other joint operations,Deployment Management Division
2023/241,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Focal Points Air 2023,7528.52,2023,Focal Points (Air),Deployment Management Division
2023/243,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059","JO Coordination Points Air, Land and Sea 2023",12605.67,2023,Coordination Points,Deployment Management Division
2023/274,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2023,35578.57,2023,Other joint operations,Deployment Management Division
2023/281,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Terra 2023 and Joint Operations Focal Points AIR 2023,26922.27,2023,Focal Points (Air),Deployment Management Division
2023/283,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Terra 2023,9274.76,2023,Other joint operations,Deployment Management Division
2023/293,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Serbia Land 2023,20396.34,2023,Other joint operations,Deployment Management Division
2023/294,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Terra 2023,18747.47,2023,Other joint operations,Deployment Management Division
2023/295,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2023,23813.92,2023,Other joint operations,Deployment Management Division
2023/297,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Terra 2023 and Joint Operations Focal Points AIR 2023,16365.65,2023,Focal Points (Air),Deployment Management Division
2023/298,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2023,71441.76,2023,Other joint operations,Deployment Management Division
2023/299,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2023,71441.76,2023,Other joint operations,Deployment Management Division
2023/323,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Serbia Land 2023,10198.17,2023,Other joint operations,Deployment Management Division
2023/326,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2022,5543.67,2023,Other joint operations,Deployment Management Division
2023/336,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Focal Points Air 2023,10387.56,2023,Focal Points (Air),Deployment Management Division
2023/337,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059","JO Terra 2023, JO Focal Points Air 2023 2023 and JO Serbia Land 2023",38719.020000000004,2023,Focal Points (Air),Deployment Management Division
2023/381,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Focal Points Air 2023,9227.68,2023,Focal Points (Air),Deployment Management Division
2023/428,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2023,11904.82,2023,Other joint operations,Deployment Management Division
2022/141,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2022,346315.2,2022,Other joint operations,Deployment Management Division
2022/274,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Macedonia 2022,138285,2022,Other joint operations,Deployment Management Division
2022/306,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Focal Points Air 2022,9227.68,2022,Focal Points (Air),Deployment Management Division
2022/327,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2022,113400,2022,Other joint operations,Deployment Management Division
2022/356,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2022,14877.28,2022,Other joint operations,Deployment Management Division
2022/401,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2022,113400,2022,Other joint operations,Deployment Management Division
2021/202,FDU,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Multipurpose Operational Activities LAND (MOA - LAND) and Multipurpose Operational Activities AIR (MOA - AIR),17720.27,2021,Multipurpose Operational Activities (Air),Field Deployment Unit
