grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/3,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Montenegro 2024,7215.01,2024,Montenegro 2024,Deployment Management Division
2024/69,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Montenegro 2024,82699.23,2024,Montenegro 2024,Deployment Management Division
2023/17,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2023,8226.16,2023,Operational Activities in Montenegro 2023,Deployment Management Division
2023/71,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2023,7821.7,2023,Operational Activities in Montenegro 2023,Deployment Management Division
2023/139,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2023,7821.7,2023,Operational Activities in Montenegro 2023,Deployment Management Division
2023/201,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Serbia Land 2023,8416.62,2023,Serbia Land 2023,Deployment Management Division
2023/203,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Terra 2023,7215.01,2023,Terra 2023,Deployment Management Division
2023/204,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Focal Points AIR 2023,8595.31,2023,Focal Points,Deployment Management Division
2023/212,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Montenegro 2023,8130.93,2023,Montenegro 2023,Deployment Management Division
2023/239,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Terra 2023,7493.21,2023,Terra 2023,Deployment Management Division
2023/296,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Terra 2023 and JO Seaport 2023,30125.85,2023,Terra 2023 and JO Seaport 2023,Deployment Management Division
2023/324,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Serbia Land 2023,20481.94,2023,Serbia Land 2023,Deployment Management Division
2023/325,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro","JO Terra 2023, JO Moldova 2023 and JO Albania Land 2023",30209.31,2023,"Terra 2023, JO Moldova 2023 and JO Albania Land 2023",Deployment Management Division
2023/388,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Montenegro 2023,7215.01,2023,Montenegro 2023,Deployment Management Division
2023/443,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Montenegro 2023,7215.01,2023,Montenegro 2023,Deployment Management Division
2023/455,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Montenegro 2023,7215.01,2023,Montenegro 2023,Deployment Management Division
2023/474,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Montenegro 2023,7215.01,2023,Montenegro 2023,Deployment Management Division
2022/70,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2022,7524.24,2022,Operational Activities in Montenegro 2022,Deployment Management Division
2022/84,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2022,8737.62,2022,Operational Activities in Montenegro 2022,Deployment Management Division
2022/114,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2022,7322.01,2022,Operational Activities in Montenegro 2022,Deployment Management Division
2022/149,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2022,7726.47,2022,Operational Activities in Montenegro 2022,Deployment Management Division
2022/207,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2022,7423.66,2022,Operational Activities in Montenegro 2022,Deployment Management Division
2022/228,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2022,17665.7,2022,Operational Activities in Montenegro 2022,Deployment Management Division
2022/292,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",DMD DEPLOYMENTS OF 3RD COUNTRIES HR AND LIGHT TE,9088.58,2022,DEPLOYMENTS OF 3RD COUNTRIES HR AND LIGHT TE,Deployment Management Division
2022/333,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",DMD DEPLOYMENTS OF 3RD COUNTRIES HR AND LIGHT TE,9377.48,2022,DEPLOYMENTS OF 3RD COUNTRIES HR AND LIGHT TE,Deployment Management Division
2022/338,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2022,15441.17,2022,Operational Activities in Montenegro 2022,Deployment Management Division
2022/383,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Joint Operations Focal Points Air 2022,8350.28,2022,Focal Points,Deployment Management Division
2022/405,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2022,15643.4,2022,Operational Activities in Montenegro 2022,Deployment Management Division
2021/17,FDU,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2021,16030.74,2021,Operational Activities in Montenegro 2021,Field Deployment Unit
2021/72,FDU,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2021,30400.84,2021,Operational Activities in Montenegro 2021,Field Deployment Unit
2021/144,FDU,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Multipurpose Operational Activities LAND 2021 (MOA - LAND),9231.96,2021,Operational Activities LAND 2021 (MOA - LAND),Field Deployment Unit
2021/175,FDU,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Multipurpose Operational Activities AIR (MOA - AIR),8206.9,2021,Operational Activities AIR (MOA - AIR),Field Deployment Unit
2021/178,FDU,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2021,6831.95,2021,Operational Activities in Montenegro 2021,Field Deployment Unit
2021/224,FDU,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro","Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",7470.74,2021,"Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Field Deployment Unit
2021/240,FDU,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Maritime Operational Activities in  Montenegro 2021,14507.06,2021,Operational Activities in  Montenegro 2021,Field Deployment Unit
2021/248,FDU,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Multipurpose Operational Activities LAND (MOA - LAND),10077.26,2021,Operational Activities LAND (MOA - LAND),Field Deployment Unit
2021/337,DMD,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",JO Focal Points Land,9192.37,2021,Focal Points,Deployment Management Division
2021/338,DMD,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Flexible Operational Activity LAND (FOA - LAND),19073.82,2021,FOA,Deployment Management Division
2021/343,DMD,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2021,13900.37,2021,Operational Activities in Montenegro 2021,Deployment Management Division
2021/376,DMD,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",JO Focal Points Air 2021,8670.21,2021,Focal Points,Deployment Management Division
2021/404,DMD,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",MOA Montenegro 2021,8844.62,2021,Montenegro 2021,Deployment Management Division
2021/421,DMD,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2021,14144.33,2021,Operational Activities in Montenegro 2021,Deployment Management Division
2020/113,ECRET,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",2020/ECRet/01/ CRO to Montenegro,2696.4,2020,European Centre for Returns,European Centre for Returns
2020/278,FDU,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",2020/FDU/01/Human Resources,6599.76,2020,Human Resources,Field Deployment Unit
2020/288,FDU,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",2020/FDU/01/Human Resources,14688.96,2020,Human Resources,Field Deployment Unit
2020/318,FDU,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",2020/FDU/01/Human Resources,7813.14,2020,Human Resources,Field Deployment Unit
2019/10,ECRET,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica,Montenegro",2019/ECRet/01 CRO to Montenegro,2696.4,2019,European Centre for Returns,European Centre for Returns
2018/121,RSU,Montenegro,Police Directorate,"Bul. Sv. Petra Cetinjskog22, Podgorica,Montenegro",2018/RSU/01 CRO to Montenegro,2621.5,2018,Return Operations,Return Support Unit
2017/1288,ABS,Montenegro,Ministry of Internal Affairs Montenegro,"Bul. Sv. Petra Cetinjskog 22,Podgorica, Montenegro",2017/ABS/03 Focal Points 2017 Air,7426,2017,Focal Points,Air Border Sector
2016/672,LBS,Montenegro,Ministry of Internal Affairs Montenegro,"Bul. Sv. PetraCetinjskog 22,Podgorica, Montenegro",2016/LBS/02 JO Focal Points,5064,2016,Focal Points,Land Borders Sector
2015/947,ABS,Montenegro,Ministry of Internal Affairs Montenegro,"Bul. Sv. Petra Cetinjskog 22, Podgorica,Montenegro",2015/ABS/06 JO Alexis 2015,667,2015,Alexis,Air Border Sector
2012/135,LBS,Montenegro,Police Directorate,NA,2012/LBS/02 JO Neptune 2012,4050.2,2012,Neptune,Land Borders Sector
2012/564,SBS,Montenegro,Police Directorate,NA,2012/SBS/01 EPN-Minerva 2012,5554,2012,Minerva,Sea Border Sector
