grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/6,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2024,185220,2024,Other joint operations,Deployment Management Division
2024/7,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2024,26086.6,2024,Other joint operations,Deployment Management Division
2024/128,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2024,40343.28,2024,Other joint operations,Deployment Management Division
2024/190,OSD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",2024/DMD/01 Human resources and Light technical equipment,132615,2024,Technical Equipment & Human Resources,Operational Support Division
2023/217,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2023,83674,2023,Other joint operations,Deployment Management Division
2023/256,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2023,6905.78,2023,Other joint operations,Deployment Management Division
2023/322,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2023,44283.020000000004,2023,Other joint operations,Deployment Management Division
2023/327,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO Focal Points Air 2023,7068.42,2023,Focal Points (Air),Deployment Management Division
2023/328,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO Terra 2023,31950.2,2023,Other joint operations,Deployment Management Division
2023/379,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2023,137970,2023,Other joint operations,Deployment Management Division
2023/380,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO Focal Points Air 2023,9801.2,2023,Focal Points (Air),Deployment Management Division
2022/151,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO FP Air 2022,7156.16,2022,Other joint operations,Deployment Management Division
2022/314,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO FP Air 2022,8661.65,2022,Other joint operations,Deployment Management Division
2021/272,FDU,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic ofNorth Macedonia",Multipurpose Operational Activities LAND 2021 (MOA - LAND),39670.42,2021,Multipurpose Operational Activities (Land),Field Deployment Unit
2021/325,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic ofNorth Macedonia",Joint Operations Focal Points AIR 2021 (JO FP - AIR),6727.09,2021,Focal Points (Air),Deployment Management Division
2021/350,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic ofNorth Macedonia",Joint Operations Focal Points AIR 2021 (JO FP - AIR) and Multipurpose Operational Activities LAND 2021 (MOA - LAND),14426.66,2021,Multipurpose Operational Activities (Air),Deployment Management Division
2019/114,FDU,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, TheRepublic of North Macedonia",2019/FDU/01 Human Resources,35381.65,2019,Human Resources,Field Deployment Unit
2019/168,FDU,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, TheRepublic of North Macedonia",2019/FDU/01 Human Resources,5489.1,2019,Human Resources,Field Deployment Unit
2019/231,FDU,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, TheRepublic of North Macedonia",2019/FDU/01 Human Resources,22553.72,2019,Human Resources,Field Deployment Unit
2019/292,FDU,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, TheRepublic of North Macedonia",2019/FDU/01 Human Resources,6990.85,2019,Human Resources,Field Deployment Unit
2019/310,FDU,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, TheRepublic of North Macedonia",2019/FDU/01 Human Resources,5944.92,2019,Human Resources,Field Deployment Unit
2018/116,ORD,North Macedonia,Ministry of Internal Affairs Macedonia,"Str. Dimche MirchevNo.9, 1000, Skopje, TheRepublic of NorthMacedonia",2018/ORD/01 Human Resources,5450.11,2018,Human Resources,Operational Response Division
2018/122,ORD,North Macedonia,Ministry of Internal Affairs Macedonia,"Str. Dimche MirchevNo.9, 1000, Skopje, TheRepublic of NorthMacedonia",2018/ORD/01 Human Resources,19322.79,2018,Human Resources,Operational Response Division
2018/182,ORD,North Macedonia,Ministry of Internal Affairs Macedonia,"Str. Dimche MirchevNo.9, 1000, Skopje, TheRepublic of NorthMacedonia",2018/ORD/01 Human Resources,8356.7,2018,Human Resources,Operational Response Division
2018/208,ORD,North Macedonia,Ministry of Internal Affairs Macedonia,"Str. Dimche MirchevNo.9, 1000, Skopje, TheRepublic of NorthMacedonia",2018/ORD/01 Human Resources,29055.17,2018,Human Resources,Operational Response Division
