grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/184,OSD,Italy,Guardia Costiera,"Lisbon, Portugal",2024/FOU/01/Heavy Technical Equipment,157276,2024,Technical Equipment,Operational Support Division
2024/186,OSD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2024/DMD/01 Human resources and Light technical equipment,60197.13,2024,Technical Equipment & Human Resources,Operational Support Division
2024/187,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,195003,2024,Technical Equipment,Operational Support Division
2024/188,OSD,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2024/FOU/01/Heavy Technical Equipment,138667.59,2024,Technical Equipment,Operational Support Division
2024/189,OSD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2024/FOU/01/Heavy Technical Equipment,453826,2024,Technical Equipment,Operational Support Division
2024/190,OSD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",2024/DMD/01 Human resources and Light technical equipment,132615,2024,Technical Equipment & Human Resources,Operational Support Division
2024/192,OSD,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2024/FOU/01/Heavy Technical Equipment,59735,2024,Technical Equipment,Operational Support Division
2024/193,OSD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",553857.6,2024,Human Resources,Operational Support Division
2024/197,OSD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",6290679.75,2024,Human Resources,Operational Support Division
2024/204,OSD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operations Focal Points AIR 2024,21895.41,2024,Focal Points (Air),Operational Support Division
2024/217,OSD,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania",2024/FOU/01/Heavy Technical Equipment,352085,2024,Technical Equipment,Operational Support Division
