grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/1,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2024,25241.3,2024,Other joint operations,Deployment Management Division
2024/2,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia 2024,373615.2,2024,Other joint operations,Deployment Management Division
2024/3,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Montenegro 2024,7215.01,2024,Other joint operations,Deployment Management Division
2024/6,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2024,185220,2024,Other joint operations,Deployment Management Division
2024/7,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2024,26086.6,2024,Other joint operations,Deployment Management Division
2024/8,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",JO Moldova 2024,252252.00000000003,2024,Other joint operations,Deployment Management Division
2024/10,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",JO Albania 2024,1515244.5,2024,Other joint operations,Deployment Management Division
2024/69,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",JO Montenegro 2024,82699.23,2024,Other joint operations,Deployment Management Division
2024/92,CGS,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2024/CGS/01 Finnish Presidency 2024 of the Baltic Sea Region Border Control Cooperation (BSRBCC),89431.06,2024,Finnish Presidency 2024 of the Baltic Sea Region Border Control Cooperation (BSRBCC),Coast Guard Sector
2024/128,DMD,North Macedonia,"Public Security Bureau, Ministry of Internal Affairs","Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2024,40343.28,2024,Other joint operations,Deployment Management Division
2024/183,LES,Portugal,Maritime Analysis and Operations Centre (Narcotics) – MAOC(N),"Avda. Infante Don Henrique, Lisbon, Portugal",2024/LES/01,34561,2024,Law Enforcement Sector,Law Enforcement Sector
2024/185,TRU,Portugal,National Maritime Authority,"Praca do Comercio, 1100-148 Lisbon, Portugal",Actions of common interest to support the implementation of the Basic Training Programme for European Standing Corps Category 1,3248905.59,2024,Trainings standing corps,Training Unit
2024/204,OSD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operations Focal Points AIR 2024,21895.41,2024,Focal Points (Air),Operational Support Division
2024/205,TRU,Spain,National Police School,"Avenida Juan Carlo I, sn, 05004, Avila, Spain",Actions of common interest to support the implementation of the Basic Training Programme for European Standing Corps Category 1,5067767.25,2024,Trainings standing corps,Training Unit
2024/262,OSD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia 2024,2379.68,2024,Other joint operations,Operational Support Division
2024/360,OSD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operations Serbia 2024,2966.04,2024,Other joint operations,Operational Support Division
2024/364,INNOVATE,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",Contribution of the host Member State to Phase 2 of the Prize Contest on the Copernicus Border Surveillance Service Evolution,37073.36,2024,of the host Member State to Phase 2 of the Prize Contest on the Copernicus Border Surveillance Service Evolution,Research and Innovation Unit
2024/365,ACADEMY,Lithuania,Mykolas Romeris University  (MRU),"Ateities str. 20, LT-08303, Vilnius, Lithuania",The implementation of Stage 1 of  the 1st iteration of THE EUROPEAN JOINT MASTER’S IN STRATEGIC BORDER MANAGMENT,339781,2024,European Joint Master's programme in Strategic Border Management,Joint Master’s in Strategic Border Management programme
2024/367,OSSU,Croatia,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2024/OSSU/01/FIELDS implementation,173979.46,2024,FIELDS database,NA
2023/9,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2022,6203.86,2023,Other joint operations,Deployment Management Division
2023/11,IEC,Ukraine,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2023/IEC/01,12000000,2023,International and European Cooperation Division,International and European Cooperation Division
2023/16,DMD,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",Joint Operations Focal Points AIR 2023 (JO FP - AIR),5804.75,2023,Focal Points (Air),Deployment Management Division
2023/17,DMD,Montenegro,Police Directorate,"Bulevar Svetog Petra Cetinjskog 22, 81000 Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2023,8226.16,2023,Maritime Operational Activities,Deployment Management Division
2023/18,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2023,7129.41,2023,Other joint operations,Deployment Management Division
2023/20,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2023,91352.32,2023,Other joint operations,Deployment Management Division
2023/21,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2023,71441.76,2023,Other joint operations,Deployment Management Division
2023/41,CGS,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/CGS/01  Baltic Sea Region Border Control Cooperation 2023 / Polish Presidency 2023 of BSRBCC,85557.2,2023, Baltic Sea Region Border Control Cooperation 2023 / Polish Presidency 2023 of BSRBCC,Coast Guard Sector
2023/43,TRU,Portugal,National Maritime Authority,"Praca do Comercio, 1100-148 Lisbon, Portugal",Actions of common interest to support the implementation of the Basic Training Programme for European Standing Corps Category 1,680468.46,2023,Trainings standing corps,Training Unit
