grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/13,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/ECRET/01,144043.97999999998,2024,European Centre for Returns,European Centre for Returns
2024/24,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/ECRET/01,20968,2024,European Centre for Returns,European Centre for Returns
2024/28,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/ECRET/01,192929,2024,European Centre for Returns,European Centre for Returns
2024/41,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/ECRET/01,174131.16,2024,European Centre for Returns,European Centre for Returns
2024/71,DMD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",75135.73,2024,Human Resources,Deployment Management Division
2024/88,DMD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/DMD/01 Human resources and Light technical equipment,3712172,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/169,DMD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",2494506.07,2024,Human Resources,Deployment Management Division
2024/170,FOU,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/FOU/01/Heavy Technical Equipment,372249,2024,Technical Equipment,Field Operations Unit
2024/200,RET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/ECRET/01,14250,2024,European Centre for Returns,NA
2024/229,OSD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/FOU/01/Heavy Technical Equipment,349724,2024,Technical Equipment,NA
2024/260,OSD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1353221.96,2024,Human Resources,NA
2024/272,OSD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/FOU/01/Heavy Technical Equipment,351740,2024,Technical Equipment,NA
2024/302,RET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/ECRET/01,12486,2024,European Centre for Returns,NA
2023/2,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/ECRET/01,40359,2023,European Centre for Returns,European Centre for Returns
2023/27,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/ECRET/01,148187.69,2023,European Centre for Returns,European Centre for Returns
2023/28,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/ECRET/01,176347.62,2023,European Centre for Returns,European Centre for Returns
2023/41,CGS,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/CGS/01  Baltic Sea Region Border Control Cooperation 2023 / Polish Presidency 2023 of BSRBCC,85557.2,2023, Baltic Sea Region Border Control Cooperation 2023 / Polish Presidency 2023 of BSRBCC,Coast Guard Sector
2023/42,DMD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",39091.25,2023,Human Resources,Deployment Management Division
2023/108,DMD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/DMD/01 Human resources and Light technical equipment,3803581,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/161,DMD,Poland,Border Guard,"Aleja Niepodległości 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",1282453.44,2023,Human Resources,Deployment Management Division
2023/166,FOU,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/FOU/01/Heavy Technical Equipment,372942,2023,Technical Equipment,Field Operations Unit
2023/190,DMD,Poland,Border Guard,"Aleja Niepodległości 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps ",1746075.61,2023,Human Resources,Deployment Management Division
2023/260,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/ECRET/01,46092,2023,European Centre for Returns,European Centre for Returns
2023/314,CGS,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",MMO Black Sea 2023,204115,2023,Black Sea 2023,Coast Guard Sector
2023/393,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/ECRET/01,19022,2023,European Centre for Returns,European Centre for Returns
2023/451,FOU,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/FOU/01/Heavy Technical Equipment,303261,2023,Technical Equipment,Field Operations Unit
2023/477,FOU,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/FOU/01/Heavy Technical Equipment,279749,2023,Technical Equipment,Field Operations Unit
2022/11,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/ECRET/01,115658,2022,European Centre for Returns,European Centre for Returns
2022/12,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/ECRET/01,110838.41,2022,European Centre for Returns,European Centre for Returns
2022/16,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/ECRET/01,130991.62,2022,European Centre for Returns,European Centre for Returns
2022/25,DMD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/DMD/01 Human resources and Light technical equipment,2849312,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/140,DMD,Poland,Border Guard,"Aleja Niepodległości 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",23980.5,2022,Human Resources,Deployment Management Division
2022/167,DMD,Poland,Border Guard,"Aleja Niepodległości 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1199025,2022,Human Resources,Deployment Management Division
2022/199,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/ECRET/01,32221,2022,European Centre for Returns,European Centre for Returns
2022/256,ECRET,Poland,Border Guard,"Aleja Niepodległości 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",949388,2022,Human Resources,European Centre for Returns
2022/284,FOU,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/FOU/01/Heavy Technical Equipment,366986,2022,Technical Equipment,Field Operations Unit
2022/339,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/ECRET/01,25270,2022,European Centre for Returns,European Centre for Returns
2022/365,FOU,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/FOU/01/Heavy Technical Equipment,382417,2022,Technical Equipment,Field Operations Unit
2022/407,FOU,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/FOU/01/Heavy Technical Equipment,385595,2022,Technical Equipment,Field Operations Unit
2021/2,ECRET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2021/ECRet/01,97496.11,2021,European Centre for Returns,European Centre for Returns
