grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/137,ECRET,Iraq,European Technology and Training Centre (NGO),"Nawroz Street, PO Box 45     44001, Erbil, Iraq",2023/CFP/POST/03,5222250,2024,Post-Return Assistance,European Centre for Returns
2024/138,ECRET,Egypt,Life Makers Foundation (NGO),3 Almashtal street- Elshishiny Devision- Corniche Elnile- Maadi Cairo 567710025,2023/CFP/POST/03,339882,2024,Post-Return Assistance,European Centre for Returns
2024/139,ECRET,Pakistan,"Women Empowerment Literacy & Development Organisation, Non-profit Organisation (NGO)","Building 57, Road 26, DHA 1, Sector F, Islamabad 3061066-4",2023/CFP/POST/03,1004746,2024,Post-Return Assistance,European Centre for Returns
2024/143,ECRET,Belgium,International Returns & Reintegration Assistance (NGO),"Breydelstraat 36, 1040 Brussels, Belgium",2023/CFP/POST/03,159253,2024,Post-Return Assistance,European Centre for Returns
2024/144,ECRET,Belgium,International Returns & Reintegration Assistance (NGO),"Breydelstraat 36, 1040 Brussels, Belgium",2023/CFP/POST/03,16962842,2024,Post-Return Assistance,European Centre for Returns
2024/146,ECRET,Belgium,Caritas International Belgium (NGO),rue de la Charité 43 ; 1210 Brussels,2023/CFP/POST/03,6397575,2024,Post-Return Assistance,European Centre for Returns
2024/147,ECRET,Belgium,Caritas International Belgium (NGO),rue de la Charité 43 ; 1210 Brussels,2023/CFP/POST/03,397570,2024,Post-Return Assistance,European Centre for Returns
2024/308,RET,Estonia,WELDO - Women Empowerment Literacy & Development Organisation (NGO),"Harju maakond, Tallinn, Haabersti linnaosa, Päevalille tn 6-15, 13517, Estonia",2023/CFP/POST/04,24632,2024,Post-Return Assistance,Return Division
2024/310,RET,Belgium,International Returns & Reintegration Assistance (NGO),"Breydelstraat 36, 1040 Brussels, Belgium",2023/CFP/POST/04,433379,2024,Post-Return Assistance,Return Division
2023/134,ECRET,Iraq,European Technology and Training Centre (NGO),"Nawroz Street, PO Box 45     44001, Erbil, Iraq",2023/CFP/POST/01,4739850,2023,Post-Return Assistance,European Centre for Returns
2023/141,ECRET,Pakistan,"Women Empowerment Literacy & Development Organisation, Non-profit Organisation (NGO)","Building 57, Road 26, DHA 1, Sector F, Islamabad 3061066-4",2023/CFP/POST/01,1219819,2023,Post-Return Assistance,European Centre for Returns
2023/142,ECRET,Egypt,Life Makers Foundation (NGO),3 Almashtal street- Elshishiny Devision- Corniche Elnile- Maadi Cairo 567710025,2023/CFP/POST/01,132611,2023,Post-Return Assistance,European Centre for Returns
2023/167,ECRET,Belgium,International Returns & Reintegration Assistance,"Breydelstraat 36, 1040 Brussels, Belgium",2023/CFP/POST/01,6332100,2023,Post-Return Assistance,European Centre for Returns
2023/176,ECRET,Belgium,Caritas International Belgium (NGO),rue de la Charité 43 ; 1210 Brussels,2023/CFP/POST/01,5468240,2023,Post-Return Assistance,European Centre for Returns
2023/178,ECRET,Belgium,Caritas International Belgium (NGO),rue de la Charité 43 ; 1210 Brussels,2023/CFP/POST/01,226510,2023,Post-Return Assistance,European Centre for Returns
2022/124,ECRET,Belgium,Caritas International Belgium (NGO),"Rue de la Charite 43, 1210 Brussels, Belgium",2022/CFP/POST/01,1500005,2022,Post-Return Assistance,European Centre for Returns
2022/125,ECRET,Iraq,European Technology and Training Centre (NGO),"F-1214  Nawroz Street, 44001, Erbil, Iraq",2022/CFP/POST/01,1617200,2022,Post-Return Assistance,European Centre for Returns
2022/126,ECRET,Egypt,Life Makers Foundation (NGO),"839/22.04.2018 3 Almashtal street- Elshishiny Devision- Corniche Elnile- Maadi Cairo 567710025, Egypt",2022/CFP/POST/01,108347,2022,Post-Return Assistance,European Centre for Returns
2022/127,ECRET,Pakistan,"Women Empowerment Literacy & Development Organisation, Non-profit Organisation (NGO)","RJSC/DISTT RWP/89 Office 6, 3rd Floor, Block C, Spring North, Bahria Phase 7, Rawalpindi, Pakistan 3061066-4",2022/CFP/POST/01,303960,2022,Post-Return Assistance,European Centre for Returns
2022/129,ECRET,Belgium,International Returns & Reintegration Assistance,"Breydelstraat 36, 1040 Brussels, Belgium",2022/CFP/POST/01,1062440,2022,Post-Return Assistance,European Centre for Returns
