grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/194,RET,Belgium,Department of Federal Immigration (Dienst Vreemdelingenzaken),NA,2024/ECRET/01,44343,2024,European Centre for Returns,NA
2024/195,RET,Slovenia,Police,"Štefanova 02, 1000 Ljubljana, Slovenia",2024/ECRET/01,5116,2024,European Centre for Returns,NA
2024/196,RET,Germany,Federal Police Regional Office Koblenz,"Roonstraße 13, 56068 Koblenz",2024/ECRET/01,9186856,2024,European Centre for Returns,NA
2024/198,RET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2024/ECRET/01,1083641,2024,European Centre for Returns,NA
2024/199,RET,Austria,Federal Ministry of Interior,"Modecenterstraße 22, A-1030 Vienna, Austria",2024/ECRET/01,450716,2024,European Centre for Returns,NA
2024/200,RET,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/ECRET/01,14250,2024,European Centre for Returns,NA
2024/201,RET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2024/ECRET/01,8554.65,2024,European Centre for Returns,NA
2024/202,RET,Belgium,Fedasil (Federaal agentschap voor de opvang van asielzoekers),"Kartuizersstraat 21, 1000 Brussels – Belgium",2024/ECRET/01,2281,2024,European Centre for Returns,NA
2024/203,RET,Luxembourg,General Department of Immigration - Ministry for Home Affairs,"BP 752, L-2017, Luxembourg",2024/ECRET/01,5613,2024,European Centre for Returns,NA
2024/206,RET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2024/ECRET/01,67666,2024,European Centre for Returns,NA
2024/207,RET,Denmark,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2024/ECRET/01,18874,2024,European Centre for Returns,NA
2024/208,RET,Sweden,Swedish Prison and Probation Service,"SE-601 80 Norrköping, Sweden",2024/ECRET/01,621442,2024,European Centre for Returns,NA
2024/209,RET,Hungary,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2024/ECRET/01,5423,2024,European Centre for Returns,NA
2024/210,RET,Germany,Federal Office for Migration and Refugees BAMF,"Frankenstr. 210, 90461 Nürnberg, Germany",2024/ECRET/01,129402,2024,European Centre for Returns,NA
2024/211,RET,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2024/ECRET/01,12460,2024,European Centre for Returns,NA
2024/212,RET,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/ECRET/01,3642956,2024,European Centre for Returns,NA
2024/213,RET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2024/ECRET/01,9202,2024,European Centre for Returns,NA
2024/214,RET,Portugal,Polícia de Segurança Pública,"Largo da Penha de França, nº 1, 1199-010 Lisboa",2024/ECRET/01,21061,2024,European Centre for Returns,NA
2024/215,RET,Slovakia,Ministry of Interior Slovakia,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2024/ECRET/01,5308,2024,European Centre for Returns,NA
2024/216,RET,Cyprus,Civil Registry and Migration Department (CRMD),"90 Archbishop Makarios,
III Avenue, 1077 Nicosia, Cyprus",2024/ECRET/01,55575,2024,European Centre for Returns,NA
2024/218,RET,Norway,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2024/ECRET/01,320704,2024,European Centre for Returns,NA
2024/219,RET,Bulgaria,Bulgarian Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2024/ECRET/01,6248,2024,European Centre for Returns,NA
