grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2023/344,RIU,Estonia,Estonian Academy of Security Sciences,"Kase 61   12012 Tallinn, Estonia",2022/CFP/RIU/01,59994.2,2023,2022/CFP/RIU/01,Research and Innovation Unit
2023/345,RIU,Austria,CAMPUS 02 Fachhochschule der Wirtschaft GmbH,"Körblergasse 126      8010 Graz, Austria",2022/CFP/RIU/01,59868,2023,2022/CFP/RIU/01,Research and Innovation Unit
2023/350,RIU,Italy,Consorzio Nazionale Interuniversitario per le Telecomunicazioni,"Via Tuscolana 1548, 00173 Roma, Italy",2022/CFP/RIU/01,59845.5,2023,2022/CFP/RIU/01,Research and Innovation Unit
2023/352,RIU,Portugal,Escola Superior Náutica Infante D. Henrique,"Avenida Engenheiro Bonneville Franco 2770-058 Paço de Arcos, Portugal",2022/CFP/RIU/01,54073.6,2023,2022/CFP/RIU/01,Research and Innovation Unit
2023/361,RIU,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",Collaboration of RPAS experts,17768.42,2023,of RPAS experts,Research and Innovation Unit
2023/370,RIU,Estonia,Police and Border Guard Board,"1) Pärnu mnt 139, 15060 Tallinn, Estonia and 2) Kase 61, 12012 Tallinn, Estonia",Host MS contribution under Phase 3,31152.38,2023,MS contribution under Phase 3,Research and Innovation Unit
2023/480,RIU,Austria,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",Use of a small RPAS (<25 Kg) for carrying out aerial surveillance and tactical support within Frontex Joint Operation,45280,2023,of a small RPAS (<25 Kg) for carrying out aerial surveillance and tactical support within Frontex Joint Operation,Research and Innovation Unit
2020/335,RIU,Spain,National Police School,"General PardiÃ±as 90 BIS 28006 Madrid, Spain",2020/RIU/04/ENTRY-EXIT-SYSTEM,104590.8,2020,2020/RIU/04/ENTRY-EXIT-SYSTEM,Research and Innovation Unit
2020/336,RIU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202, Bulgaria",2020/RIU/04/ENTRY-EXIT-SYSTEM,76578,2020,2020/RIU/04/ENTRY-EXIT-SYSTEM,Research and Innovation Unit
2019/136,RIU,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2019/FDU/01 Human Resources,91620,2019,Human Resources,Research and Innovation Unit
2019/195,RIU,Portugal,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  UrbanizaÃ§Ã£oCabanas Golfe, no 1, 2734-506 Barcarena",2019/RIU/01 Biometrics on the move,47055,2019,Biometrics on the move,Research and Innovation Unit
