grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2015/1,ROS,Immigration and Naturalisation Service,"P.O. Box 5800, 2280 HV Rijswijk, theNetherlands",2014/ROS/01&2014/LBS/04 Attica and Focal Points,9161,2015,Netherlands,Attica,Return Operations Sector
2015/2,ROS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014Vienna, Austria",2015/ROS/06 JRO to Kosovo,39525,2015,Austria,Return Operations,Return Operations Sector
2015/5,ROS,National Operations Department,"P.O. Box 12256,  SE- 10226, Stockholm,Sweden",2014/ROS/46 JRO to Bosnia&Herzegovina,7784,2015,Sweden,Return Operations,Return Operations Sector
2015/6,ROS,Office of Immigration and Nationality,"1117 Budapest, Budafoki str. 60, Hungary",2015/ROS/06 JRO to Kosovo,744,2015,Hungary,Return Operations,Return Operations Sector
2015/7,ROS,Federal Police Central Office,"Heinrich-Mann-Allee 103, Haus 44, 14473Potsdam, Germany",2015/ROS/06 JRO to Kosovo,46151,2015,Germany,Return Operations,Return Operations Sector
2015/8,ROS,National Operations Department,"P.O. Box 12256,  SE- 10226, Stockholm,Sweden",2015/ROS/06 JRO to Kosovo,1751,2015,Sweden,Return Operations,Return Operations Sector
2015/9,ROS,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8,France",2015/ROS/06 JRO to Kosovo,5332,2015,France,Return Operations,Return Operations Sector
2015/16,ROS,Federal Police Central Office,"Heinrich-Mann-Allee 103, Haus 44, 14473Potsdam, Germany",2014/ROS/45 Collecting JRO to Albania,1484,2015,Germany,Return Operations,Return Operations Sector
2015/17,ROS,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V,Denmark",2014/ROS/45 Collecting JRO to Albania,4743,2015,Denmark,Return Operations,Return Operations Sector
2015/29,ROS,National Police Immigration Service,"Christian Kroghsgate 32, Postbox 8102Dep. 0032 Oslo, Norway",2014/ROS/49 JRO to Nigeria,37461,2015,Norway,Return Operations,Return Operations Sector
