grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2023/217,DMD,Republic of N.North Macedonia,Republic of N.Macedonia - Ministry of Interior – Public Security Bureau,"Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2023,83674,2023,North Macedonia 2023,Deployment Management Division
2023/256,DMD,Republic of N.North Macedonia,Republic of N.Macedonia - Ministry of Interior – Public Security Bureau,"Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2023,6905.78,2023,North Macedonia 2023,Deployment Management Division
2023/322,DMD,Republic of N.North Macedonia,Republic of N.Macedonia - Ministry of Interior – Public Security Bureau,"Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2023,44283.020000000004,2023,North Macedonia 2023,Deployment Management Division
2023/327,DMD,Republic of N.North Macedonia,Republic of N.Macedonia - Ministry of Interior – Public Security Bureau,"Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO Focal Points Air 2023,7068.42,2023,Focal Points,Deployment Management Division
2023/328,DMD,Republic of N.North Macedonia,Republic of N.Macedonia - Ministry of Interior – Public Security Bureau,"Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO Terra 2023,31950.2,2023,Terra 2023,Deployment Management Division
2023/379,DMD,Republic of N.North Macedonia,Republic of N.Macedonia - Ministry of Interior – Public Security Bureau,"Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO North Macedonia 2023,137970,2023,North Macedonia 2023,Deployment Management Division
2023/380,DMD,Republic of N.North Macedonia,Republic of N.Macedonia - Ministry of Interior – Public Security Bureau,"Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO Focal Points Air 2023,9801.2,2023,Focal Points,Deployment Management Division
2022/151,DMD,Republic of N.North Macedonia,Republic of N.Macedonia - Ministry of Interior – Public Security Bureau,"Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO FP Air 2022,7156.16,2022,FP Air 2022,Deployment Management Division
2022/314,DMD,Republic of N.North Macedonia,Republic of N.Macedonia - Ministry of Interior – Public Security Bureau,"Str. Dimche Mirchev No.9, 1000, Skopje, The Republic of North Macedonia",JO FP Air 2022,8661.65,2022,FP Air 2022,Deployment Management Division
2021/272,FDU,Republic of N.North Macedonia,Macedonia - Ministry of Interior â€“ Public Security Bureau,"Str. Dimche Mirchev No.9, 1000, Skopje, The Republic ofNorth Macedonia",Multipurpose Operational Activities LAND 2021 (MOA - LAND),39670.42,2021,Operational Activities LAND 2021 (MOA - LAND),Field Deployment Unit
2021/325,DMD,Republic of N.North Macedonia,Macedonia - Ministry of Interior â€“ Public Security Bureau,"Str. Dimche Mirchev No.9, 1000, Skopje, The Republic ofNorth Macedonia",Joint Operations Focal Points AIR 2021 (JO FP - AIR),6727.09,2021,Focal Points,Deployment Management Division
2021/350,DMD,Republic of N.North Macedonia,Macedonia - Ministry of Interior â€“ Public Security Bureau,"Str. Dimche Mirchev No.9, 1000, Skopje, The Republic ofNorth Macedonia",Joint Operations Focal Points AIR 2021 (JO FP - AIR) and Multipurpose Operational Activities LAND 2021 (MOA - LAND),14426.66,2021,Focal Points,Deployment Management Division
