grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/27,ECRET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2024/ECRET/01,25265,2024,European Centre for Returns,European Centre for Returns
2024/42,DMD,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2024/DMD/01 Human resources and Light technical equipment,91670,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/51,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2024/DMD/01 Human resources and Light technical equipment,2566660,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/58,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2024/FOU/01/Heavy Technical Equipment,618129,2024,Technical Equipment,Field Operations Unit
2024/83,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2024/FOU/01/Heavy Technical Equipment,1633956,2024,Technical Equipment,Field Operations Unit
2024/96,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",194960.85,2024,Human Resources,Deployment Management Division
2024/145,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2024/FOU/01/Heavy Technical Equipment,9339,2024,Technical Equipment,Field Operations Unit
2024/172,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2024/DMD/01 Human resources and Light technical equipment/ MMO JO Romania,99960,2024,Technical Equipment & Human Resources,Field Operations Unit
2024/181,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2024/FOU/01/Heavy Technical Equipment,32372,2024,Technical Equipment,Field Operations Unit
2024/191,CGS,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MMO/ JO Romania 2024 Heavy Technical Equipment,100838,2024,Technical Equipment,Coast Guard Sector
2024/213,RET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2024/ECRET/01,9202,2024,European Centre for Returns,NA
2024/221,OSD,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2024/FOU/01/Heavy Technical Equipment,613867,2024,Technical Equipment,NA
2024/239,CGS,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2024/CGS/01 - MMO-Heavy Technical Equipment,253698,2024,Technical Equipment,Coast Guard Sector
2024/261,OSD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1796346.06,2024,Human Resources,NA
2024/271,OSD,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2024/FOU/01/Heavy Technical Equipment,594323,2024,Technical Equipment,NA
2024/274,OSD,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2024/FOU/01/Heavy Technical Equipment,1648943,2024,Technical Equipment,NA
2024/314,RET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2024/ECRET/01,11222,2024,European Centre for Returns,NA
2024/324,OSD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2024/DMD/01 Human resources and Light technical equipment,362120,2024,Technical Equipment & Human Resources,NA
2024/357,OSD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2024/FOU/01/Heavy Technical Equipment,12501,2024,Technical Equipment,NA
2024/364,INNOVATE,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",Contribution of the host Member State to Phase 2 of the Prize Contest on the Copernicus Border Surveillance Service Evolution,37073.36,2024,of the host Member State to Phase 2 of the Prize Contest on the Copernicus Border Surveillance Service Evolution,NA
2023/8,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/DMD/01 Human resources and Light technical equipment,4151487,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/10,DMD,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2023/DMD/01 Human resources and Light technical equipment,136768,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/31,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/DMD/01 Human resources and Light technical equipment,943172,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/47,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/FOU/01/Heavy Technical Equipment,156504,2023,Technical Equipment,Field Operations Unit
2023/50,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,893082,2023,Technical Equipment,Field Operations Unit
2023/63,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",293011.72,2023,Human Resources,Deployment Management Division
2023/78,ECRET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2023/ECRET/01,24080,2023,European Centre for Returns,European Centre for Returns
2023/98,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,940191,2023,Technical Equipment,Field Operations Unit
2023/186,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",2102295.39,2023,Human Resources,Deployment Management Division
2023/226,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/FOU/01/Heavy Technical Equipment,156252,2023,Technical Equipment,Field Operations Unit
2023/255,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,2332447,2023,Technical Equipment,Field Operations Unit
2023/257,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,1248530,2023,Technical Equipment,Field Operations Unit
2023/265,DMD,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MMO Western Black Sea 2023,47550,2023,Western Black Sea 2023,Deployment Management Division
2023/333,CGS,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MMO Western Black Sea 2023,470301,2023,Western Black Sea 2023,Coast Guard Sector
2023/362,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/FOU/01/Heavy Technical Equipment,91457,2023,Technical Equipment,Field Operations Unit
2023/363,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,1029330,2023,Technical Equipment,Field Operations Unit
2023/377,CGS,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MMO Black Sea 2023/Heavy Technical Equipment,237361,2023,Technical Equipment,Coast Guard Sector
2023/398,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,329357,2023,Technical Equipment,Field Operations Unit
2023/426,ECRET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2023/ECRET/01,29299,2023,European Centre for Returns,European Centre for Returns
2023/439,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/FOU/01/Heavy Technical Equipment,97206,2023,Technical Equipment,Field Operations Unit
2023/471,CGS,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MMO Western Black Sea 2023/Heavy Technical Equipment,241903,2023,Technical Equipment,Coast Guard Sector
2022/28,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2022/DMD/01 Human resources and Light technical equipment,4187706,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/80,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2022/DMD/01 Human resources and Light technical equipment,661411,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/143,DMD,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest, Romania",2022/DMD/01 Human resources and Light technical equipment,84736,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/153,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",279206.4,2022,Human Resources,Deployment Management Division
2022/258,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1463506.89,2022,Human Resources,Deployment Management Division
2022/271,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2022/FOU/01/Heavy Technical Equipment,1266756,2022,Technical Equipment,Field Operations Unit
2022/288,ECRET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest, Romania",2022/ECRET/01,24141,2022,European Centre for Returns,European Centre for Returns
2022/310,CGS,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MOA Black Sea 2022,600470,2022,Black Sea 2022,Coast Guard Sector
2022/320,DMD,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2022/DMD/01 Human resources and Light technical equipment,31416,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/411,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2022/FOU/01/Heavy Technical Equipment,152104,2022,Technical Equipment,Field Operations Unit
2021/21,ECRET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5,Bucharest, Romania",2021/ECRet/01,32254,2021,European Centre for Returns,European Centre for Returns
2021/80,FSC,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2021/FSC/01 Human resources and Light technical equipment,60172,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/96,FDU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2021/FDU/01 Human Resources and light technical equipment,3221611,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/139,CGS,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2021/FDU/01 Human Resources and light technical equipment,30816,2021,Technical Equipment & Human Resources,Coast Guard Sector
2021/141,CGS,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2021/CGS/01/Heavy Technical Equipment,478938,2021,Technical Equipment,Coast Guard Sector
2021/143,FDU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2021/FDU/01/Heavy Technical Equipment,1102109,2021,Technical Equipment,Field Deployment Unit
2021/164,TF Deploy,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",632700.51,2021,Human Resources,Task Force Deployment Management
2021/220,ECRET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5,Bucharest, Romania",2021/ECRet/01,19440,2021,European Centre for Returns,European Centre for Returns
2021/238,FDU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2021/FDU/01/Heavy Technical Equipment,17114,2021,Technical Equipment,Field Deployment Unit
2021/313,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",1363525.09,2021,Human Resources,Deployment Management Division
2021/329,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",Themis deployment of technical equipment,1633766,2021,Technical Equipment,Field Operations Unit
2021/399,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2021/FDU/01 Human Resources and light technical equipment,160815,2021,Technical Equipment & Human Resources,Deployment Management Division
2020/27,FSC,Romania,Romanian Police,"SOS Stefan Cel Mare 13 Sector 2, Bucharest",2020/FSC/GA FSC FIMO Deployment,245813,2020,FIMO Deployment,Frontex Situation Centre
2020/94,ECRET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2020/ECRet/01-FOA-R 2019 including return and pre-return related activities,10935,2020,FOA,European Centre for Returns
2020/99,FDU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2020/FDU/01/Human Resources/Light Technical Equipment,2941595,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/129,FDU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2020/FDU/01/Heavy Technical Equipment Rapid Border Intervention,554921,2020,Technical Equipment,Field Deployment Unit
2020/131,CGS,Romania,Romanian Police,"SOS Stefan Cel Mare 13 Sector 2, Bucharest",2020/CGS/01/Heavy Technical Equipment CGS MMO Black Sea,246658,2020,Technical Equipment,Coast Guard Sector
2020/153,FDU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2020/FDU/01/Human Resources/Heavy Technical Equipment,739880,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/203,FDU,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2020/FDU/01/Human Resources,91761,2020,Human Resources,Field Deployment Unit
2020/210,FDU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2020/FDU/01/Human Resources/Heavy Technical Technical Equipment,759489,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/211,CGS,Romania,General Inspectorate of Aviation,"Calea Ion Zavoi 14, Sector 1, Bucharest",2020/FDU/01/Human Resources/Heavy Technical Technical Equipment,30128.59,2020,Technical Equipment & Human Resources,Coast Guard Sector
2020/230,ECRET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2020/ECRET/01,11462,2020,European Centre for Returns,European Centre for Returns
2019/75,FDU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest,Romania",2019/FDU/01 Human Resources,1971960.16,2019,Human Resources,Field Deployment Unit
2019/81,FSC,Romania,General Inspectorate of Aviation,"Calea Ion Zavoi 14, Sector 1, Bucharest",2019/FSC/GA FSC FIMO Deployment,6699,2019,FIMO Deployment,Frontex Situation Centre
2019/87,FDU,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5,Bucharest",2019/FDU/01 Human Resources,119074,2019,Human Resources,Field Deployment Unit
2019/97,FSC,Romania,Romanian Police,"SOS Stefan Cel Mare 13 Sector 2, Bucharest",2019/FSC/GA FSC FIMO Deployment,119949,2019,FIMO Deployment,Frontex Situation Centre
2019/121a,FDU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2019/FDU/01 Technical Equipment,675037,2019,Technical Equipment,Field Deployment Unit
2019/149,ECRET,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5,Bucharest",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,9293,2019,FOA,European Centre for Returns
2019/174,CGS,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2019/CGS/01 Technical Equipment,253758,2019,Technical Equipment,Coast Guard Sector
2019/213,FDU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2019/FDU/01 Technical Equipment,735152,2019,Technical Equipment,Field Deployment Unit
