grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/2,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia 2024,373615.2,2024,Operation Serbia 2024,Deployment Management Division
2024/204,OSD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operations Focal Points AIR 2024,21895.41,2024,Focal Points,NA
2024/262,OSD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia 2024,2379.68,2024,Operation Serbia 2024,NA
2024/360,OSD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operations Serbia 2024,2966.04,2024,Operations Serbia 2024,NA
2023/20,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2023,91352.32,2023,Operation Serbia Land 2023,Deployment Management Division
2023/69,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2023,3062.34,2023,Operation Serbia Land 2023,Deployment Management Division
2023/214,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2023,92734.76,2023,Operation Serbia Land 2023,Deployment Management Division
2023/242,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Focal Points Air 2023,8360.98,2023,Focal Points,Deployment Management Division
2023/249,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2023,3841.3,2023,Operation Serbia Land 2023,Deployment Management Division
2023/290,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2023,211797.6,2023,Operation Serbia Land 2023,Deployment Management Division
2023/431,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",JO Serbia 2023,3745,2023,Serbia 2023,Deployment Management Division
2022/29,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2022,64200,2022,Operation Serbia Land 2022,Deployment Management Division
2022/116,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2022,70465.92,2022,Operation Serbia Land 2022,Deployment Management Division
2022/172,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2022,3795.29,2022,Operation Serbia Land 2022,Deployment Management Division
2022/202,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2022,67332.96,2022,Operation Serbia Land 2022,Deployment Management Division
2022/283,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2022,68411.52,2022,Operation Serbia Land 2022,Deployment Management Division
2022/307,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2022,2915.75,2022,Operation Serbia Land 2022,Deployment Management Division
2022/330,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2022,76288.86,2022,Operation Serbia Land 2022,Deployment Management Division
2022/403,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",JO Serbia Land 2022,62582.16,2022,Serbia Land 2022,Deployment Management Division
2021/236,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2021,3312.72,2021,Operation Serbia Land 2021,Field Deployment Unit
2021/364,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2021,2966.04,2021,Operation Serbia Land 2021,Deployment Management Division
2021/365,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2021,86688,2021,Operation Serbia Land 2021,Deployment Management Division
2021/366,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2021,170536.8,2021,Operation Serbia Land 2021,Deployment Management Division
2021/407,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",JO Serbia Land 2021,30028.48,2021,Serbia Land 2021,Deployment Management Division
2021/411,FOU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2021,78683.52,2021,Operation Serbia Land 2021,Field Operations Unit
2021/426,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2021,3062.34,2021,Operation Serbia Land 2021,Deployment Management Division
2020/103,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",2020/FDU/01/Human Resources/Light Technical Equipment,12504.13,2020,Technical Equipment & Human Resources,Field Deployment Unit
