grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2022/2,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2022/ECRET/01,10017,2022,Slovenia,European Centre for Returns,European Centre for Returns
2022/73,DMD,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2022/DMD/01 Human resources and Light technical equipment,991149,2022,Slovenia,Technical Equipment & Human Resources,Deployment Management Division
2022/170,DMD,Police,"Stefanova 2, 1501 Ljubljana, Slovenia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",519079.5,2022,Slovenia,Human Resources,Deployment Management Division
2022/260,DMD,Slovenian Ministry of Interior,"Štefanova 02, 1000 Ljubljana, Slovenia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",458808.61,2022,Slovenia,Human Resources,Deployment Management Division
2022/323,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2022/ECRET/01,346632,2022,Slovenia,European Centre for Returns,European Centre for Returns
2022/326,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2022/ECRET/01,15597,2022,Slovenia,European Centre for Returns,European Centre for Returns
2021/6,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2021/ECRet/01,35195,2021,Slovenia,European Centre for Returns,European Centre for Returns
2021/97,FDU,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2021/FDU/01 Human Resources and light technical equipment,705471,2021,Slovenia,Technical Equipment & Human Resources,Field Deployment Unit
2021/166,TF Deploy,Slovenian Ministry of Interior,"Å tefanova 02, 1000 Ljubljana, Slovenia","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",14350.01,2021,Slovenia,Human Resources,Task Force Deployment Management
2021/259,DMD,Slovenian Ministry of Interior,"Å tefanova 02, 1000 Ljubljana, Slovenia","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",344400.28,2021,Slovenia,Human Resources,Deployment Management Division
2021/312,DMD,Slovenian Ministry of Interior,"Å tefanova 02, 1000 Ljubljana, Slovenia","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",297332.24,2021,Slovenia,Human Resources,Deployment Management Division
2020/2,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2020/ECRET/01 Return Support,11343,2020,Slovenia,European Centre for Returns,European Centre for Returns
