grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/26,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2024/FOU/01/Heavy Technical Equipment,591542,2024,Technical Equipment,Field Operations Unit
2024/30,ECRET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2024/ECRET/01,1833651,2024,European Centre for Returns,European Centre for Returns
2024/66,DMD,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2024/DMD/01 Human resources and Light technical equipment,459863,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/78,DMD,Spain,General Directorate for International Relations and Immigration,"Calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",106067.37,2024,Human Resources,Deployment Management Division
2024/90,DMD,Spain,Cuerpo Nacional de Policia,"C/ General Pardiñas 90 bis, 28006, Madrid",2024/DMD/01 Human resources and Light technical equipment,452214,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/156,DMD,Spain,General Directorate for International Relations and Immigration,"Calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",3288088.47,2024,Human Resources,Deployment Management Division
2024/177,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2024/FOU/01/Heavy Technical Equipment,598618,2024,Technical Equipment,Field Operations Unit
2024/198,RET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2024/ECRET/01,1083641,2024,European Centre for Returns,NA
2024/205,TRU,Spain,National Police School,"Avenida Juan Carlo I, sn, 05004, Avila, Spain",Actions of common interest to support the implementation of the Basic Training Programme for European Standing Corps Category 1,5067767.25,2024,Trainings standing corps,Training Unit
2024/246,OSD,Spain,General Directorate for International Relations and Immigration,"Calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",710769.23,2024,Human Resources,NA
2024/247,OSD,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2024/FOU/01/Heavy Technical Equipment,512708,2024,Technical Equipment,NA
2024/305,RET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2024/ECRET/01,875748,2024,European Centre for Returns,NA
2024/328,OSD,Spain,Cuerpo Nacional de Policia,"C/ General Pardiñas 90 bis, 28006, Madrid",2024/DMD/01 Human resources and Light technical equipment,1608129,2024,Technical Equipment & Human Resources,NA
2024/331,OSD,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2024/DMD/01 Human resources and Light technical equipment,924110,2024,Technical Equipment & Human Resources,NA
2023/6,ECRET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2023/ECRET/01,1496478,2023,European Centre for Returns,European Centre for Returns
2023/68,DMD,Spain,General Directorate for International Relations and Immigration,"Calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",212412.12,2023,Human Resources,Deployment Management Division
2023/75,ORD,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,610726,2023,Technical Equipment,Operational Response Division
2023/80,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,286674,2023,Technical Equipment,Field Operations Unit
2023/82,DMD,Spain,Cuerpo Nacional de Policia,"C/ General Pardiñas 90 bis, 28006, Madrid",2023/DMD/01 Human resources and Light technical equipment,191524,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/86,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,568224,2023,Technical Equipment,Field Operations Unit
2023/92,DMD,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/DMD/01 Human resources and Light technical equipment,915537,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/129,DMD,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/DMD/01 Human resources and Light technical equipment,871069,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/135,DMD,Spain,General Directorate for International Relations and Immigration,"Calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",753177.98,2023,Human Resources,Deployment Management Division
2023/169,DMD,Spain,Cuerpo Nacional de Policia,"C/ General Pardiñas 90 bis, 28006, Madrid",2023/DMD/01 Human resources and Light technical equipment,1710000,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/170,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,259710,2023,Technical Equipment,Field Operations Unit
2023/193,DMD,Spain,General Directorate for International Relations and Immigration,"Calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",2619749.48,2023,Human Resources,Deployment Management Division
2023/225,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,289439,2023,Technical Equipment,Field Operations Unit
2023/233,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,139726,2023,Technical Equipment,Field Operations Unit
2023/273,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,446847,2023,Technical Equipment,Field Operations Unit
2023/277,ECRET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2023/ECRET/01,1385606,2023,European Centre for Returns,European Centre for Returns
2023/320,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,294867,2023,Technical Equipment,Field Operations Unit
2023/329,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,444766,2023,Technical Equipment,Field Operations Unit
2023/340,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,332490,2023,Technical Equipment,Field Operations Unit
2023/376,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,678444,2023,Technical Equipment,Field Operations Unit
2023/390,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,269516,2023,Technical Equipment,Field Operations Unit
2023/391,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,544504,2023,Technical Equipment,Field Operations Unit
2023/405,ECRET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2023/ECRET/01,1237868,2023,European Centre for Returns,European Centre for Returns
2023/450,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,94181,2023,Technical Equipment,Field Operations Unit
2023/467,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,269992,2023,Technical Equipment,Field Operations Unit
2022/5,TRU,Spain,National Police School,"Avenida Juan Carlos I, sn, 05004 Avila, Spain",Implementation of the Extended Basic Training Programme for European Standing Corps Category 1,6877162,2022,Trainings standing corps,Training Unit
2022/21,ECRET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2022/ECRET/01,742509,2022,European Centre for Returns,European Centre for Returns
2022/27,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/Heavy Technical Equipment,888613,2022,Technical Equipment,Field Operations Unit
2022/42,DMD,Spain,Jefatura Fiscal y de Fronteras,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/DMD/01 Human resources and Light technical equipment,517678,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/87,DMD,Spain,Jefatura Fiscal y de Fronteras,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/DMD/01 Human resources and Light technical equipment,779561,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/107,DMD,Spain,Cuerpo Nacional de Policia,"C/ General Pardiñas 90 bis, 28006, Madrid",2022/DMD/01 Human resources and Light technical equipment,688903,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/115,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,69977,2022,Technical Equipment,Field Operations Unit
2022/121,DMD,Spain,Cuerpo Nacional de Policia,"C/ General Pardiñas 90 bis, 28006, Madrid",2022/DMD/01 Human resources and Light technical equipment,2097858,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/154,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,357600,2022,Technical Equipment,Field Operations Unit
2022/186,DMD,Spain,General Directorate for International Relations and Immigration,"Directorate General for International Relations and Migration – Ministry of Interior, calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1831757.2,2022,Human Resources,Deployment Management Division
2022/194,DMD,Spain,General Directorate for International Relations and Immigration,"Directorate General for International Relations and Migration – Ministry of Interior, calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",114484.83,2022,Human Resources,Deployment Management Division
2022/205,ECRET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2022/ECRET/01,1087229,2022,European Centre for Returns,European Centre for Returns
2022/222,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,583924,2022,Technical Equipment,Field Operations Unit
2022/254,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,363926,2022,Technical Equipment,Field Operations Unit
2022/267,DMD,Spain,General Directorate for International Relations and Immigration,"Directorate General for International Relations and Migration – Ministry of Interior, calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",653544.8,2022,Human Resources,Deployment Management Division
2022/278,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,132074,2022,Technical Equipment,Field Operations Unit
2022/300,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,226868,2022,Technical Equipment,Field Operations Unit
2022/325,IFC,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/Copernicus/EUROSUR Fusion Services (EFS),3852.14,2022,Fusion Services (EFS),Information Fusion Centre
2022/343,ECRET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2022/ECRET/01,197145,2022,European Centre for Returns,European Centre for Returns
2022/357,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,109340,2022,Technical Equipment,Field Operations Unit
2022/386,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,156212,2022,Technical Equipment,Field Operations Unit
2022/414,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,192676,2022,Technical Equipment,Field Operations Unit
2021/8,FDU,Spain,Jefatura Fiscal y de Fronteras,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2021/FDU/01 Human Resources and light technical equipment,901160,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/18,ECRET,Spain,Comisaría General de Extranjería y Fronteras,"C/ General PardiÃ±as 90 bis, 28006, Madrid, Spain",2021/ECRet/01,851401,2021,European Centre for Returns,European Centre for Returns
2021/36,FDU,Spain,Comisaría General de Extranjería y Fronteras,"C/ General PardiÃ±as 90 bis, 28006, Madrid, Spain",2021/FDU/01 Human Resources and light technical equipment,1590739,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/37,FDU,Spain,Jefatura Fiscal y de Fronteras,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2021/FDU/01/Heavy Technical Equipment,133617,2021,Technical Equipment,Field Deployment Unit
2021/71,FDU,Spain,Jefatura Fiscal y de Fronteras,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2021/FDU/01/Heavy Technical Equipment,91925,2021,Technical Equipment,Field Deployment Unit
2021/75,FSC,Spain,Comisaría General de Extranjería y Fronteras,"C/ General PardiÃ±as 90 bis, 28006, Madrid, Spain",2021/FSC/01 Human resources and Light technical equipment,55591,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/91,FDU,Spain,Comisaría General de Extranjería y Fronteras,"C/ General PardiÃ±as 90 bis, 28006, Madrid, Spain",2021/FDU/01 Human Resources and light technical equipment,247649,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/94,FDU,Spain,Jefatura Fiscal y de Fronteras,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2021/FDU/01 Human Resources and light technical equipment,951949,2021,Technical Equipment & Human Resources,Field Deployment Unit
