grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/17,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2024/ECRET/01,237942.87000000002,2024,European Centre for Returns,European Centre for Returns
2024/18,FOU,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2024/FOU/01/Heavy Technical Equipment,572410,2024,Technical Equipment,Field Operations Unit
2024/21,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2024/ECRET/01,384150.63,2024,European Centre for Returns,European Centre for Returns
2024/36,ECRET,Sweden,Swedish Prison and Probation Service,"SE-601 80 Norrköping, Sweden",2024/ECRET/01,1651155,2024,European Centre for Returns,European Centre for Returns
2024/59,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2024/DMD/01 Human resources and Light technical equipment,1425986,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/116,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2024/ECRET/01,9141,2024,European Centre for Returns,European Centre for Returns
2024/168,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1210534.36,2024,Human Resources,Deployment Management Division
2024/208,RET,Sweden,Swedish Prison and Probation Service,"SE-601 80 Norrköping, Sweden",2024/ECRET/01,621442,2024,European Centre for Returns,Return Division
2024/242,OSD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",944184.38,2024,Human Resources,Operational Support Division
2024/298,RET,Sweden,Swedish Prison and Probation Service,"SE-601 80 Norrköping, Sweden",2024/ECRET/01,2242168,2024,European Centre for Returns,Return Division
2024/335,OSD,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2024/FOU/01/Heavy Technical Equipment,669586,2024,Technical Equipment,Operational Support Division
2024/342,RET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2024/ECRET/01,12123,2024,European Centre for Returns,Return Division
2023/4,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/ECRET/01,1026165,2023,European Centre for Returns,European Centre for Returns
2023/25,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/ECRET/01,242556.55,2023,European Centre for Returns,European Centre for Returns
2023/26,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/ECRET/01,364096.9,2023,European Centre for Returns,European Centre for Returns
2023/48,FOU,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/FOU/01/Heavy Technical Equipment,687401,2023,Technical Equipment,Field Operations Unit
2023/59,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/DMD/01 Human resources and Light technical equipment,2098917,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/74,ECRET,Sweden,Swedish Migration Agency,"Slottsgatan 82, 601 70 Norrköping, Sweden",2023/ECRET/01,274140.67999999993,2023,European Centre for Returns,European Centre for Returns
2023/184,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",1360561.58,2023,Human Resources,Deployment Management Division
2023/198,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1044141.35,2023,Human Resources,Deployment Management Division
2023/285,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/ECRET/01,818910,2023,European Centre for Returns,European Centre for Returns
2023/406,ECRET,Sweden,Swedish Prison and Probation Service,"SE-601 80 Norrköping, Sweden",2023/ECRET/01,1236877,2023,European Centre for Returns,European Centre for Returns
2023/438,FOU,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2023/FOU/01/Heavy Technical Equipment,635996,2023,Technical Equipment,Field Operations Unit
2023/447,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/ECRET/01,8363,2023,European Centre for Returns,European Centre for Returns
2022/13,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2022/ECRET/01,182035.33,2022,European Centre for Returns,European Centre for Returns
2022/14,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2022/ECRET/01,753448,2022,European Centre for Returns,European Centre for Returns
2022/17,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2022/ECRET/01,201115.21,2022,European Centre for Returns,European Centre for Returns
2022/52,FOU,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2022/FOU/01/Heavy Technical Equipment,1518955,2022,Technical Equipment,Field Operations Unit
2022/75,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2022/DMD/01 Human resources and Light technical equipment,796540,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/152,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",22129.32,2022,Human Resources,Deployment Management Division
2022/171,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm, Sweden","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",752396.88,2022,Human Resources,Deployment Management Division
2022/191,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2022/ECRET/01,348320,2022,European Centre for Returns,European Centre for Returns
2022/268,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",720530.66,2022,Human Resources,Deployment Management Division
2022/324,ECRET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2022/ECRET/01,714221,2022,European Centre for Returns,European Centre for Returns
2022/366,FOU,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2022/FOU/01/Heavy Technical Equipment,652066,2022,Technical Equipment,Field Operations Unit
2021/20,ECRET,Sweden,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2021/ECRet/01,2070377,2021,European Centre for Returns,European Centre for Returns
2021/24,ECRET,Sweden,Swedish Migration Agency,"601 70 NorrkÃ¶ping, Sweden",2021/ECRet/01,199047.46,2021,European Centre for Returns,European Centre for Returns
2021/31,FDU,Sweden,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2021/FDU/01 Human Resources and light technical equipment,957382,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/53,FSC,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2021/FSC/01 Human resources and Light technical equipment,20261,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/124,FDU,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2021/FDU/01/Heavy Technical Equipment,552349,2021,Technical Equipment,Field Deployment Unit
