grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2021/151,TF Deploy,Croatia,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",37900.03,2021,Human Resources,Task Force Deployment Management
2021/153,TF Deploy,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",92600.07,2021,Human Resources,Task Force Deployment Management
2021/154,TF Deploy,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",77500.06,2021,Human Resources,Task Force Deployment Management
2021/155,TF Deploy,Lithuania,State Border Guard Service Lithuania,"SAVANORIÅ² PR. 2, Vilnius LT-03116, Lithuania","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",127666.77,2021,Human Resources,Task Force Deployment Management
2021/156,TF Deploy,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",15783.35,2021,Human Resources,Task Force Deployment Management
2021/157,TF Deploy,Belgium,Federal Police,"Koningsstraat 202A - 1000 Brussels, Belgium","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",33333.36,2021,Human Resources,Task Force Deployment Management
2021/158,TF Deploy,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",68950.06,2021,Human Resources,Task Force Deployment Management
2021/159,TF Deploy,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland","Support in the development of human  resources to secure Member States’  contributions to the standing corps, in  relation to category 1 of the standing  corps",106350.09,2021,Human Resources,Task Force Deployment Management
2021/160,TF Deploy,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",366300.29,2021,Human Resources,Task Force Deployment Management
2021/161,TF Deploy,Estonia,Police and Border Guard Board,"PÃ¤rnu mnt 139, 15060 Tallinn, Estonia","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",27433.36,2021,Human Resources,Task Force Deployment Management
2021/162,TF Deploy,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",19733.35,2021,Human Resources,Task Force Deployment Management
2021/163,TF Deploy,Portugal,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  UrbanizaÃ§Ã£o CabanasGolfe, no 1, 2734-506 Barcarena, Portugal","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",288483.56,2021,Human Resources,Task Force Deployment Management
2021/164,TF Deploy,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",632700.51,2021,Human Resources,Task Force Deployment Management
2021/165,TF Deploy,Spain,General Directorate for International Relations and Immigration,"Calle Amador de los RÃ­os no 8, 28071 Madrid, Spain","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",266900.21,2021,Human Resources,Task Force Deployment Management
