grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/185,TRU,Portugal,National Maritime Authority,"Praca do Comercio, 1100-148 Lisbon, Portugal",Actions of common interest to support the implementation of the Basic Training Programme for European Standing Corps Category 1,3248905.59,2024,Trainings standing corps,Training Unit
2024/205,TRU,Spain,National Police School,"Avenida Juan Carlo I, sn, 05004, Avila, Spain",Actions of common interest to support the implementation of the Basic Training Programme for European Standing Corps Category 1,5067767.25,2024,Trainings standing corps,Training Unit
2023/43,TRU,Portugal,National Maritime Authority,"Praca do Comercio, 1100-148 Lisbon, Portugal",Actions of common interest to support the implementation of the Basic Training Programme for European Standing Corps Category 1,680468.46,2023,Trainings standing corps,Training Unit
2023/453,TRU,Portugal,National Maritime Authority,"Praça do Comércio, 1100-148 Lisboa, Portugal",Engagement of technical equipment in Frontex EFS Exercise,11665.5,2023,Technical Equipment,Training Unit
2022/5,TRU,Spain,National Police School,"Avenida Juan Carlos I, sn, 05004 Avila, Spain",Implementation of the Extended Basic Training Programme for European Standing Corps Category 1,6877162,2022,Trainings standing corps,Training Unit
2022/208,TRU,Portugal,National Maritime Authority,"Praca do Comercio, 1100-148 Lisboa, Portugal",Actions of common interest to support the implementation of the Basic Training Programme for European Standing Corps Category 1,3263994.71,2022,Trainings standing corps,Training Unit
2022/369,TRU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",The engagement of technical equipment in Frontex EFS Exercise.,238360,2022,Technical Equipment,Training Unit
2021/196,TRU,Spain,National Police School,"Avenida Juan Carlos I, sn, 05004 Avila, Spain",Basic training in relation to category 1 of the standing corps,233159.43,2021,Trainings standing corps,Training Unit
2021/197,TRU,Italy,Guardia di Finanza,"Via Tuscolana 1548, 00173 Roma, Italy",Basic training in relation to category 1 of the standing corps,281354.66,2021,Trainings standing corps,Training Unit
2021/231,TRU,Spain,National Police School,"Avenida Juan Carlos I, sn, 05004 Avila, Spain",Basic training in relation to category 1 of the standing corps,3677600,2021,Trainings standing corps,Training Unit
2020/233,TRU,Poland,"Border Guard Training Centre, Koszalin","Marszalka Pilsudskiego 92, 75-531 Koszalin, Poland",2020/CFP/TRU/03,1215123.67,2020,Training Unit,Training Unit
2020/234,TRU,Poland,"Border Guard Training Centre, Ketrzyn","Gen. Wladyslawa Sikorskiego 78, 11-400 Ketrzyn, Poland",2020/CFP/TRU/03,1061362,2020,Training Unit,Training Unit
2020/261,TRU,Spain,National Police School,"Place of establishment: Avenida Juan Carlos I, sn, 05004 Avila,Spain. Official address: Plaza de Carabanchel 5, 28025 Madrid,Spain.",2020/CFP/TRU/01,1235213,2020,Training Unit,Training Unit
2020/264,TRU,Italy,Guardia di Finanza,"Viale Europa 97, 70132 Bari, Italy",2020/CFP/TRU/01,3695630,2020,Training Unit,Training Unit
2019/294,TRU,Romania,School for Training of Border Police,"Str. George Cosbuc nr 3-5, 700469 Iasi, Romania",2019/CFP/TRU/01 Safe use of firearms in border and coast guarding,59579.4,2019,Training Unit,Training Unit
2019/295,TRU,Romania,School for Training of Border Police,"Str. George Cosbuc nr 3-5, 700469 Iasi, Romania",2019/CFP/TRU/01 Enhancing student learning motivation and ownership in border and coast guard education and training as part of the European border and coast guard organisational culture,59311.9,2019,Training Unit,Training Unit
2019/296,TRU,Croatia,"Police Academy, Ministry of Interior","Avenija Gojka Suska 1, 10000 Zagreb, Croatia",2019/CFP/TRU/01Together on EU-southeastern external border: efficiency with high ethical standards - land border surveillance training with implication on fundamental rights. An EU and non-EU training initiative.,55500,2019,Training Unit,Training Unit
2019/297,TRU,Hungary,Law Enforcement School of Szeged,"Bajai ut 14, 6728 Szeged, Hungary",2019/CFP/TRU/01 4 essential Schengen compatible trainings delivery in the Western Balkan based on CCC and SQF,56999.22,2019,Training Unit,Training Unit
2019/298,TRU,Hungary,Law Enforcement School of Szeged,"Bajai ut 14, 6728 Szeged, Hungary",2019/CFP/TRU/01 Staff mobility programme for best practice exchange between Hungarian and Romanian law enforcement - border guard - training institutions,56999.22,2019,Training Unit,Training Unit
2019/299,TRU,Romania,School for Improvement of Training of Border Police,"No. 3-5 Serpentina Rosiori Street, Drobeta TurnuSeverin, Mehedinti county, Romania",2019/CFP/TRU/01 Course on application of coercive measures in carrying out specific missions related to the state border control,59932.84,2019,Training Unit,Training Unit
2019/300,TRU,Estonia,Tallinn University of Technology,"Ehitajate tee 5, 19086 Tallinn, Estonia",2019/CFP/TRU/01 Maritime Situational Awareness Course for Coast Guards,49320.58,2019,Training Unit,Training Unit
2019/301,TRU,Latvia,State Border Guard,"Zavoloko 8, Rezekne, Latvia",2019/CFP/TRU/01 Development of communication skills in English language for border guards,56290,2019,Training Unit,Training Unit
2018/325,TRU,Lithuania,State Border Guard Service Lithuania,"Savanoriou Ave. 2,Vilnius LT-03116,Lithuania","2018/CFP/TRU/01 Study: The use of drones for border conrol - tactics, methodological recommendations, best practice",56566.32,2018,Training Unit,Training Unit
2018/326,TRU,France,Ecole Nationale Superieure de la Police,"9 rue Carnot 69450 SaintCyr au Mont dâ€™ Or,France",2018/CFP/TRU/01 Training on electronic storage of data in electronic Machine Readable Travel Documents,43435,2018,Training Unit,Training Unit
2018/327,TRU,Hungary,Law Enforcement School of Szeged,"14 Bajai ut 6728 Szeged,",2018/CFP/TRU/01 Six Eusnsgeanrtyial Trainings for Border Guards,56999.22,2018,Training Unit,Training Unit
2018/328,TRU,Hungary,Law Enforcement School of Szeged,"14 Bajai ut 6728 Szeged,","2018/CFP/TRU/01 Increasing the efficiency of border police measures in the Western Balkan countries with ruegnigoanraylly unified, Schengen compatible, and harmonised training courses by developing a joint curriculum on profiling and screening",56999.22,2018,Training Unit,Training Unit
2018/329,TRU,Romania,Romanian Border Police / Coast Guard,"42.C, GeniuluiBoulevard, Sector 6,Bucharest, Romania",2018/CFP/TRU/01 Intelligence enhancement training tool for the Romanian Border Police,59548.6,2018,Training Unit,Training Unit
2017/726,TRU,Germany,Federal Police Central Office,"Heinrich-Mann-Allee 103, Haus 44,14473 Potsdam, Germany",2017/TRU/E3 COASTEX17,11930,2017,Training Unit,Training Unit
2017/743,TRU,Spain,Jefatura Fiscal y de Fronteras,"C/ Guzman el Bueno, 110, 28003Madrid, Spain",2017/TRU/E3 COASTEX17,29215,2017,Training Unit,Training Unit
2017/744,TRU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma,Italy",2017/TRU/E3 COASTEX17,134004,2017,Training Unit,Training Unit
2017/1540,TRU,Hungary,Law Enforcement School of Szeged,"14 Bajai ut, 6728 Szeged, Hungary",2017/TRU/D3 Seven Essential Trainings for Border Guards,53696,2017,Training Unit,Training Unit
2017/1541,TRU,Hungary,Law Enforcement School of Szeged,"14 Bajai ut, 6728 Szeged, Hungary",2017/TRU/D3 Delivery of Seven Essential Trainings for Border Guards,56999,2017,Training Unit,Training Unit
2017/1542,TRU,Lithuania,State Border Guard Service Lithuania,"Savanoriou Ave. 2, Vilnius LT-03116, Lithuania",2017/TRU/D3 Profiling and 2nd Line Interview during Border Checks,56836,2017,Training Unit,Training Unit
2017/1570,TRU,Estonia,Tallinn University of Technology,"Kopli 101, 11712 Tallinn, HarjuCounty, Estonia",2017/TRU/D3 Search Mission Coordinator (SMC) and On- Scene Commander (OSC) courses for international use,51933,2017,Training Unit,Training Unit
2017/1634,TRU,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2017/TRU/D3 EUBG Course for Canine Teams in the field of General use,60000,2017,Training Unit,Training Unit
2017/1637,TRU,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2017/TRU/D3 EUBG Course for Canine Teams in the field of Product Scent,59881,2017,Training Unit,Training Unit
2017/1653,TRU,Romania,School for Training of Border Police,"George Cosbuc street, no 3-5,700469, Iasi, Romania",2017/TRU/D3 Border Guard Interventions in Special Situations at the EU External Border,39531,2017,Training Unit,Training Unit
2017/1699,TRU,Germany,"School and Training Centre for Maritime Policing, German Federal Police","Raaberg 6, 24576 Bad Bramstedt,Germany",2017/TRU/D3 Development and delivery of a pre- deployment training course for maritime Frontex operations for European coast guards,60000,2017,Training Unit,Training Unit
2017/1700,TRU,Germany,Federal Police Central Office,"Heinrich-Mann-Allee 103, Haus 44,14473 Potsdam, Germany",2017/TRU/D3 Joint European Cross Border Cooperation Study Module (JECBCSM),59967,2017,Training Unit,Training Unit
2016/1386,TRU,Croatia,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/TRU/UM Securing Europe's External Borders:EBCG,117321,2016,Training Unit,Training Unit
