grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2023/30,FOU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,439164,2023,Latvia,Technical Equipment,Field Operations Unit
2023/40,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,364195,2023,Italy,Technical Equipment,Field Operations Unit
2023/44,FOU,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/FOU/01/Heavy Technical Equipment,201705,2023,Estonia,Technical Equipment,Field Operations Unit
2023/47,FOU,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/FOU/01/Heavy Technical Equipment,156504,2023,Romania,Technical Equipment,Field Operations Unit
2023/48,FOU,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/FOU/01/Heavy Technical Equipment,687401,2023,Sweden,Technical Equipment,Field Operations Unit
2023/49,FOU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,1606563,2023,Latvia,Technical Equipment,Field Operations Unit
2023/50,FOU,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,893082,2023,Romania,Technical Equipment,Field Operations Unit
2023/51,FOU,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2023/FOU/01/Heavy Technical Equipment,526135,2023,Portugal,Technical Equipment,Field Operations Unit
2023/52,FOU,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,449125,2023,Denmark,Technical Equipment,Field Operations Unit
2023/58,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,248088,2023,Italy,Technical Equipment,Field Operations Unit
2023/64,FOU,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,408247,2023,Germany,Technical Equipment,Field Operations Unit
2023/75,ORD,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,610726,2023,Spain,Technical Equipment,Operational Response Division
2023/76,ORD,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,686321,2023,Italy,Technical Equipment,Operational Response Division
2023/77,FOU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,703360,2023,Greece,Technical Equipment,Field Operations Unit
2023/79,FOU,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2023/FOU/01/Heavy Technical Equipment,1861123,2023,Iceland,Technical Equipment,Field Operations Unit
2023/80,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,286674,2023,Spain,Technical Equipment,Field Operations Unit
2023/84,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,348636,2023,Italy,Technical Equipment,Field Operations Unit
2023/85,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,328168,2023,Italy,Technical Equipment,Field Operations Unit
2023/86,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,568224,2023,Spain,Technical Equipment,Field Operations Unit
2023/96,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,944705,2023,Italy,Technical Equipment,Field Operations Unit
2023/98,FOU,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,940191,2023,Romania,Technical Equipment,Field Operations Unit
2023/99,FOU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,2657738,2023,Greece,Technical Equipment,Field Operations Unit
2023/112,FOU,General Department of Immigration - Ministry for Home Affairs,"26, route d'Arlon, L-1140 Luxembourg",2023/FOU/01/Heavy Technical Equipment,1503434,2023,Luxembourg,Technical Equipment,Field Operations Unit
2023/143,FOU,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2023/FOU/01/Heavy Technical Equipment,927227,2023,Portugal,Technical Equipment,Field Operations Unit
2023/146,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,1537600,2023,Italy,Technical Equipment,Field Operations Unit
2023/166,FOU,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/FOU/01/Heavy Technical Equipment,372942,2023,Poland,Technical Equipment,Field Operations Unit
2023/170,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,259710,2023,Spain,Technical Equipment,Field Operations Unit
2023/175,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,74521,2023,Italy,Technical Equipment,Field Operations Unit
2023/187,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,160558,2023,Italy,Technical Equipment,Field Operations Unit
2023/188,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,165692,2023,Italy,Technical Equipment,Field Operations Unit
2023/194,FOU,Portugese Air Force,"Avenida da Força Aérea n.º1, Alfragide 2614-506, Portugal",2023/FOU/01/Heavy Technical Equipment,3132409,2023,Portugal,Technical Equipment,Field Operations Unit
2023/225,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,289439,2023,Spain,Technical Equipment,Field Operations Unit
2023/226,FOU,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/FOU/01/Heavy Technical Equipment,156252,2023,Romania,Technical Equipment,Field Operations Unit
2023/232,FOU,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,547117,2023,Germany,Technical Equipment,Field Operations Unit
2023/233,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,139726,2023,Spain,Technical Equipment,Field Operations Unit
2023/235,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,344637,2023,Italy,Technical Equipment,Field Operations Unit
2023/238,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,126048,2023,Italy,Technical Equipment,Field Operations Unit
2023/246,FOU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,781600,2023,Greece,Technical Equipment,Field Operations Unit
2023/248,FOU,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,491477,2023,Denmark,Technical Equipment,Field Operations Unit
2023/250,FOU,Police Force,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2023/FOU/01/Heavy Technical Equipment,112660,2023,Slovakia,Technical Equipment,Field Operations Unit
2023/255,FOU,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,2332447,2023,Romania,Technical Equipment,Field Operations Unit
2023/257,FOU,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,1248530,2023,Romania,Technical Equipment,Field Operations Unit
2023/258,FOU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,457484,2023,Latvia,Technical Equipment,Field Operations Unit
2023/262,FOU,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2023/FOU/01/Heavy Technical Equipment,227741,2023,Malta,Technical Equipment,Field Operations Unit
2023/263,FOU,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/FOU/01/Heavy Technical Equipment,637245,2023,Lithuania,Technical Equipment,Field Operations Unit
2023/264,FOU,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,202173,2023,France,Technical Equipment,Field Operations Unit
2023/271,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,814921,2023,Italy,Technical Equipment,Field Operations Unit
2023/273,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,446847,2023,Spain,Technical Equipment,Field Operations Unit
2023/306,FOU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,1523475,2023,Latvia,Technical Equipment,Field Operations Unit
2023/308,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,284276,2023,Italy,Technical Equipment,Field Operations Unit
2023/309,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,241698,2023,Italy,Technical Equipment,Field Operations Unit
2023/316,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,67749,2023,Italy,Technical Equipment,Field Operations Unit
2023/317,FOU,General Department of Immigration - Ministry for Home Affairs,"26, route d'Arlon, L-1140 Luxembourg",2023/FOU/01/Heavy Technical Equipment,1384895,2023,Luxembourg,Technical Equipment,Field Operations Unit
2023/319,FOU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,1382659,2023,Greece,Technical Equipment,Field Operations Unit
2023/320,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,294867,2023,Spain,Technical Equipment,Field Operations Unit
2023/329,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,444766,2023,Spain,Technical Equipment,Field Operations Unit
2023/330,FOU,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,484308,2023,Germany,Technical Equipment,Field Operations Unit
2023/331,FOU,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2023/FOU/01/Heavy Technical Equipment,363988,2023,Portugal,Technical Equipment,Field Operations Unit
2023/332,FOU,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2023/FOU/01/Heavy Technical Equipment,396169,2023,Portugal,Technical Equipment,Field Operations Unit
2023/339,FOU,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,1789354,2023,Denmark,Technical Equipment,Field Operations Unit
2023/340,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,332490,2023,Spain,Technical Equipment,Field Operations Unit
2023/341,FOU,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,429652,2023,Denmark,Technical Equipment,Field Operations Unit
2023/342,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,946753,2023,Italy,Technical Equipment,Field Operations Unit
2023/347,FOU,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,639405,2023,Denmark,Technical Equipment,Field Operations Unit
2023/348,FOU,Portugese Air Force,"Avenida da Força Aérea n.º1, Alfragide 2614-506, Portugal",2023/FOU/01/Heavy Technical Equipment,2359647,2023,Portugal,Technical Equipment,Field Operations Unit
2023/357,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,220382,2023,Italy,Technical Equipment,Field Operations Unit
2023/358,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,219825,2023,Italy,Technical Equipment,Field Operations Unit
2023/359,FOU,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2023/FOU/01/Heavy Technical Equipment,678903,2023,Portugal,Technical Equipment,Field Operations Unit
2023/360,CGS,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",MMO Baltic Sea 2023/Heavy Technical Equipment,87960,2023,Latvia,Technical Equipment,Coast Guard Sector
2023/362,FOU,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/FOU/01/Heavy Technical Equipment,91457,2023,Romania,Technical Equipment,Field Operations Unit
2023/363,FOU,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,1029330,2023,Romania,Technical Equipment,Field Operations Unit
2023/364,CGS,Estonian Navy,"Juhkentali 58, Tallinn, 15007, Estonia",MMO Baltic Sea 2023/Heavy Technical Equipment,690234,2023,Estonia,Technical Equipment,Coast Guard Sector
2023/365,CGS,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",MMO Baltic Sea 2023/Heavy Technical Equipment,37572,2023,Estonia,Technical Equipment,Coast Guard Sector
2023/368,CGS,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",MMO Baltic Sea 2023/Heavy Technical Equipment,288052,2023,Finland,Technical Equipment,Coast Guard Sector
2023/369,FOU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,1815909,2023,Greece,Technical Equipment,Field Operations Unit
2023/371,FOU,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague",2023/FOU/01/Heavy Technical Equipment,180085,2023,Netherlands,Technical Equipment,Field Operations Unit
2023/372,FOU,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/FOU/01/Heavy Technical Equipment,663091,2023,Lithuania,Technical Equipment,Field Operations Unit
2023/374,FOU,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,465312,2023,Germany,Technical Equipment,Field Operations Unit
2023/376,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,678444,2023,Spain,Technical Equipment,Field Operations Unit
2023/377,CGS,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MMO Black Sea 2023/Heavy Technical Equipment,237361,2023,Romania,Technical Equipment,Coast Guard Sector
2023/384,FOU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,536319,2023,Latvia,Technical Equipment,Field Operations Unit
2023/386,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,1122611,2023,Italy,Technical Equipment,Field Operations Unit
2023/387,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,324081,2023,Italy,Technical Equipment,Field Operations Unit
2023/390,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,269516,2023,Spain,Technical Equipment,Field Operations Unit
2023/391,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,544504,2023,Spain,Technical Equipment,Field Operations Unit
2023/398,FOU,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,329357,2023,Romania,Technical Equipment,Field Operations Unit
2023/401,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,834148,2023,Italy,Technical Equipment,Field Operations Unit
2023/403,FOU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,1033813,2023,Latvia,Technical Equipment,Field Operations Unit
2023/409,FOU,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2023/FOU/01/Heavy Technical Equipment,1488281,2023,Iceland,Technical Equipment,Field Operations Unit
2023/412,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,67749,2023,Italy,Technical Equipment,Field Operations Unit
2023/414,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,2124387,2023,Italy,Technical Equipment,Field Operations Unit
2023/420,FOU,General Department of Immigration - Ministry for Home Affairs,"26, route d'Arlon, L-1140 Luxembourg",2023/FOU/01/Heavy Technical Equipment,1021824.35,2023,Luxembourg,Technical Equipment,Field Operations Unit
2023/421,FOU,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,313645,2023,France,Technical Equipment,Field Operations Unit
2023/422,FOU,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,517413,2023,Germany,Technical Equipment,Field Operations Unit
2023/423,FOU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,913524,2023,Greece,Technical Equipment,Field Operations Unit
2023/425,FOU,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/FOU/01/Heavy Technical Equipment,301746,2023,Estonia,Technical Equipment,Field Operations Unit
2023/432,FOU,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2023/FOU/01/Heavy Technical Equipment,632564,2023,Bulgaria,Technical Equipment,Field Operations Unit
2023/433,FOU,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,574036,2023,Denmark,Technical Equipment,Field Operations Unit
2023/438,FOU,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2023/FOU/01/Heavy Technical Equipment,635996,2023,Sweden,Technical Equipment,Field Operations Unit
2023/439,FOU,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/FOU/01/Heavy Technical Equipment,97206,2023,Romania,Technical Equipment,Field Operations Unit
2023/440,FOU,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,508558,2023,France,Technical Equipment,Field Operations Unit
2023/441,CGS,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/CGS/Heavy Technical Equipment,102481,2023,Italy,Technical Equipment,Coast Guard Sector
2023/442,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,516779,2023,Italy,Technical Equipment,Field Operations Unit
