grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/42,DMD,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2024/DMD/01 Human resources and Light technical equipment,91670,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/44,DMD,Hungary,Hungarian National Police,"Teve str. 4-6., 1139 Budapest",2024/DMD/01 Human resources and Light technical equipment,3697285,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/51,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2024/DMD/01 Human resources and Light technical equipment,2566660,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/52,DMD,Switzerland,Customs/Border Guard,"Taubenstrasse 16, CH-3003 Bern, Switzerland",2024/DMD/01 Human resources and Light technical equipment,992505,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/53,DMD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2024/DMD/01 Human resources and Light technical equipment,1702763,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/54,DMD,Luxembourg,Police Grand Ducale,"Cité Policière Grand-Duc Henri Complexe A, rue de Trèves, L-2957 Luxembourg",2024/DMD/01 Human resources and Light technical equipment,494416,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/59,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2024/DMD/01 Human resources and Light technical equipment,1425986,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/60,DMD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2024/DMD/01 Human resources and Light technical equipment,1589995,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/61,DMD,Slovakia,Police Force,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2024/DMD/01 Human resources and Light technical equipment,682858,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/62,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2024/DMD/01 Human resources and Light technical equipment,1561545,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/63,DMD,Netherlands,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague",2024/DMD/01 Human resources and Light technical equipment,1818206,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/64,DMD,Denmark,Ministry of Immigration and Integration,2509 LP The Hague,2024/DMD/01 Human resources and Light technical equipment,58736,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/65,DMD,Netherlands,Immigration and Naturalisation Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 16275, 2500 BG The Hague, The Netherlands",2024/DMD/01 Human resources and Light technical equipment,168308,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/66,DMD,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2024/DMD/01 Human resources and Light technical equipment,459863,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/67,DMD,Croatia,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2024/DMD/01 Human resources and Light technical equipment,1014070,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/68,DMD,France,Prefecture de Police,"1 bis rue de Lutèce, 75004 Paris",2024/DMD/01 Human resources and Light technical equipment,149165,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/74,DMD,Belgium,Belgian Immigration Office,"Pachecolaan 44, 1000 Brussels – Belgium",2024/DMD/01 Human resources and Light technical equipment,230114,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/76,DMD,France,Direction Centrale de la Police Judiciaire,"11 rue de Saussaies, 75008 Paris, France",2024/DMD/01 Human resources and Light technical equipment,99776,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/77,DMD,France,Direction Centrale des compagnies republicaines de securite,"Place Beauvau - Site Garance - 75800 PARIS Cedex 8, France",2024/DMD/01 Human resources and Light technical equipment,298866,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/79,DMD,Cyprus,"Cyprus Police, Police Headquarters","Sotiri Tsagari 9, 1478 Nicosia, Cyprus",2024/DMD/01 Human resources and Light technical equipment,110724,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/80,DMD,Denmark,Danish National Police,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2024/DMD/01 Human resources and Light technical equipment,374715,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/84,DMD,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2024/DMD/01 Human resources and Light technical equipment,332082,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/85,DMD,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2024/DMD/01 Human resources and Light technical equipment,394823,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/86,DMD,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2024/DMD/01 Human resources and Light technical equipment,380500,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/88,DMD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/DMD/01 Human resources and Light technical equipment,3712172,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/90,DMD,Spain,Cuerpo Nacional de Policia,"C/ General Pardiñas 90 bis, 28006, Madrid",2024/DMD/01 Human resources and Light technical equipment,452214,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/93,DMD,Netherlands,"Transport and Support Service, Ministry for Security and Justice",Turfmarkt 147 | 2511 DP | Den Haag,2024/DMD/01 Human resources and Light technical equipment,645933,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/94,DMD,Netherlands,National Police,"Nieuwe Uitleg 1, 2514 BP Den Haag",2024/DMD/01 Human resources and Light technical equipment,460100,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/95,DMD,Portugal,Portuguese Navy,"Rua do Arsenal
1149-001 Lisboa
Portugal",2024/DMD/01 Human resources and Light technical equipment,56965,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/97,DMD,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2024/DMD/01 Human resources and Light technical equipment,11365187,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/98,DMD,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania",2024/DMD/01 Human resources and Light technical equipment,2163829,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/99,DMD,Norway,National Police Directorate,"P.O.Box. 2090 Vika, 0125 OSLO, Norway",2024/DMD/01 Human resources and Light technical equipment,1158491,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/101,DMD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2024/DMD/01 Human resources and Light technical equipment,617204,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/103,DMD,Belgium,Federal Police,Koningsstraat 202A - 1000 Brussels,2024/DMD/01 Human resources and Light technical equipment,449614,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/104,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",HR Light TE,135211,2024,Technical Equipment & Human Resources,Frontex Situation Centre
2024/105,DMD,France,Direction Generale de la Gendarmerie nationale,"4 rue Claude Bernard, 92130 Issy-les-Moulineaux",2024/DMD/01 Human resources and Light technical equipment,588680,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/106,DMD,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2024/DMD/01 Human resources and Light technical equipment,123030,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/107,DMD,Bulgaria,Bulgarian Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2024/DMD/01 Human resources and Light technical equipment,500958,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/108,DMD,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2024/DMD/01 Human resources and Light technical equipment,1013940,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/109,DMD,Portugal,National Maritime Authority,"Av. António Augusto de Aguiar, nº 20, 4º Piso, 1050-016 Lisboa – Portugal",2024/DMD/01 Human resources and Light technical equipment,760386,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/114,DMD,Slovenia,Police,"Štefanova 02, 1000 Ljubljana, Slovenia",2024/DMD/01 Human resources and Light technical equipment,1046349,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/115,DMD,Iceland,Office of the National Commissioner of the Icelandic Police,"Skúlagata 21, IS-101 Reykjavik, Iceland",2024/DMD/01 Human resources and Light technical equipment,21590,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/118,DMD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2024/DMD/01 Human resources and Light technical equipment,630845,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/119,DMD,Hungary,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2024/DMD/01 Human resources and Light technical equipment,135096,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/123,DMD,France,Direction Central de la Police aux Frontieres,"Site Garance - Place Beauvau - 75800 PARIS Cedex 8, France",2024/DMD/01 Human resources and Light technical equipment,662219,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/124,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/DMD/01 Human resources and Light technical equipment,155061,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/125,DMD,France,Direction nationale de la Sécurité publique,Place Beauvau 75008 Paris,2024/DMD/01 Human resources and Light technical equipment,213725,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/126,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/DMD/01 Human resources and Light technical equipment,363036,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/129,DMD,Austria,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2024/DMD/01 Human resources and Light technical equipment,3232189,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/130,DMD,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2024/DMD/01 Human resources and Light technical equipment,63330,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/131,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2024/DMD/01 Human resources and Light technical equipment,959739,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/132,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/DMD/01 Human resources and Light technical equipment,3141910,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/135,DMD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2024/DMD/01 Human resources and Light technical equipment,1074852,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/172,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2024/DMD/01 Human resources and Light technical equipment/ MMO JO Romania,99960,2024,Technical Equipment & Human Resources,Field Operations Unit
2024/186,OSD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2024/DMD/01 Human resources and Light technical equipment,60197.13,2024,Technical Equipment & Human Resources,Operational Support Division
