grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2023/11,IEC,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2023/IEC/01,12000000,2023,Ukraine,2023/IEC/01,International and European Cooperation Division
2023/244,DMD,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",JO Terra 2023,9138.87,2023,Ukraine,Terra 2023,Deployment Management Division
2023/276,DMD,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",JO Terra 2023,9138.87,2023,Ukraine,Terra 2023,Deployment Management Division
2023/279,DMD,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",JO Terra 2023,26512.46,2023,Ukraine,Terra 2023,Deployment Management Division
2023/302,DMD,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",JO Terra 2023,9259.78,2023,Ukraine,Terra 2023,Deployment Management Division
2023/354,DMD,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",JO Terra 2023 and Joint Operations Focal Points AIR 2023,38110.19,2023,Ukraine,Focal Points,Deployment Management Division
2022/397,DMD,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",JO Terra 2022,38028.87,2022,Ukraine,Terra 2022,Deployment Management Division
2021/172,FDU,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",Multipurpose Operational Activities LAND (MOA - LAND) and Multipurpose Operational Activities AIR (MOA - AIR),54899.56,2021,Ukraine,Operational Activities LAND (MOA - LAND) and Multipurpose Operational Activities AIR (MOA - AIR),Field Deployment Unit
2021/291,FDU,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",Multipurpose Operational Activities AIR (MOA - AIR),74473.07,2021,Ukraine,Operational Activities AIR (MOA - AIR),Field Deployment Unit
2021/378,DMD,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",Joint Operations Focal Points Air 2021 (JO FP AIR),8211.18,2021,Ukraine,Focal Points,Deployment Management Division
2021/401,DMD,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",Joint Operations Focal Points Air 2021 (JO FP AIR),9184.88,2021,Ukraine,Focal Points,Deployment Management Division
2019/133,FDU,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2019/FDU/01 Human Resources,39242.25,2019,Ukraine,Human Resources,Field Deployment Unit
2019/164,FDU,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2019/FDU/01 Human Resources,30634.1,2019,Ukraine,Human Resources,Field Deployment Unit
2019/201,FDU,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2019/FDU/01 Human Resources,32078.6,2019,Ukraine,Human Resources,Field Deployment Unit
2019/259,FDU,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2019/FDU/01 Human Resources,46745.09,2019,Ukraine,Human Resources,Field Deployment Unit
2019/311,FDU,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2019/FDU/01 Human Resources,8093.48,2019,Ukraine,Human Resources,Field Deployment Unit
2019/327,ECRET,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2019/ECRet/01-FOA-R 2019,5189.5,2019,Ukraine,FOA,European Centre for Returns
2018/125,ORD,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2018/ORD/01 Human Resources,9163.48,2018,Ukraine,Human Resources,Operational Response Division
2018/126,ORD,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2018/ORD/01 Human Resources,32450.96,2018,Ukraine,Human Resources,Operational Response Division
2018/187,ORD,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2018/ORD/01 Human Resources,23000,2018,Ukraine,Human Resources,Operational Response Division
2018/188,ORD,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2018/ORD/01 Human Resources,12097.42,2018,Ukraine,Human Resources,Operational Response Division
2018/199,ORD,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2018/ORD/01 Human Resources,17672.12,2018,Ukraine,Human Resources,Operational Response Division
2018/276,ORD,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2018/ORD/01 Human Resources,22987.88,2018,Ukraine,Human Resources,Operational Response Division
2018/286,ORD,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2018/ORD/01 Human Resources,18817.02,2018,Ukraine,Human Resources,Operational Response Division
2018/287,ORD,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2018/ORD/01 Human Resources,15794.27,2018,Ukraine,Human Resources,Operational Response Division
2018/306,ORD,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2018/ORD/01 Human Resources,5061.1,2018,Ukraine,Human Resources,Operational Response Division
2018/338,ORD,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2018/ORD/01 Human Resources,5676.35,2018,Ukraine,Human Resources,Operational Response Division
