grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2015/181a,ROS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/ROS/01 FOA-R 2015,27695,2015,FOA,Return Operations Sector
2015/230,LBS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/LBS/01 Flexible Operational Activities,6427,2015,Flexible Operational Activities,Land Borders Sector
2015/259,ABS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/ABS/06 JO Alexis 2015,16996,2015,Alexis,Air Border Sector
2015/293,ROS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/ROS/01 FOA-R 2015,43232,2015,FOA,Return Operations Sector
2015/385,ABS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/ABS/04 Focal Points Intermediate Managers,4378,2015,Focal Points,Air Border Sector
2015/452,LBS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/LBS/01 Flexible Operational Activities,7014,2015,Flexible Operational Activities,Land Borders Sector
2015/491,ABS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/ABS/11 JO VEGA Children,7759,2015,VEGA Children,Air Border Sector
2015/583,SBS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/SBS/05 EPN-Triton,66641,2015,Triton,Sea Border Sector
2015/589,ROS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/ROS/01 FOA-R 2015,68927,2015,FOA,Return Operations Sector
2015/593,SBS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/SBS/07 EPN-Poseidon Sea,8817,2015,Poseidon,Sea Border Sector
2015/849,SBS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/SBS/05 EPN-Triton,27585,2015,Triton,Sea Border Sector
2015/983,SBS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/SBS/05 EPN-Triton,9922,2015,Triton,Sea Border Sector
2015/1048,ROS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/ROS/01 FOA-R 2015,40647,2015,FOA,Return Operations Sector
2015/1052,ROS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/ROS/01 FOA-R 2015,19538,2015,FOA,Return Operations Sector
2015/1114,ABS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/ABS/03 Focal Points,7846,2015,Focal Points,Air Border Sector
2015/1136,ABS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/ABS/05 JO Pegasus,6492,2015,JO Pegasus,Air Border Sector
2015/1185,ABS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/ABS/03 Focal Points,1071,2015,Focal Points,Air Border Sector
2015/1187,ROS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, MarshamSt. London SW1P 4DF, UK",2015/ROS/64 JRO to Albania,18003,2015,Return Operations,Return Operations Sector
2014/198,ROS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, Marsham St. London SW1P4DF, UK",2014/ROS/01 Attica 2014,59920,2014,Attica,Return Operations Sector
2014/271,ABS,United Kingdom,Border Force,"2nd Floor, Seacole Building, 2, Marsham St. London SW1P4DF, UK",2014/ABS/06 Alexis,8166.24,2014,Alexis,Air Border Sector
