grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/10,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",JO Albania 2024,1515244.5,2024,Other joint operations,Deployment Management Division
2023/19,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",Joint Operation Flexible Operational Activities Western Balkans in Albania 2022,314590.5,2023,Flexible Operational Activities,Deployment Management Division
2023/215,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",JO Albania Land 2023,314590.5,2023,Other joint operations,Deployment Management Division
2023/335,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",JO Albania Land 2023,314590.5,2023,Other joint operations,Deployment Management Division
2022/71,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",Joint Operation Flexible Operational Activities Western Balkans in Albania,299766.99,2022,Flexible Operational Activities,Deployment Management Division
2022/183,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",Joint Operation Flexible Operational Activities Western Balkans in Albania 2022,296950.5,2022,Flexible Operational Activities,Deployment Management Division
2022/277,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",Joint Operation Flexible Operational Activities Western Balkans in Albania,296950.5,2022,Flexible Operational Activities,Deployment Management Division
2021/10,FDU,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",Joint Operation Flexible Operational Activities Western Balkans in Albania,296950.5,2021,Flexible Operational Activities,Field Deployment Unit
2021/145,FDU,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",Joint Operation Flexible Operational Activities Western Balkans in Albania 2021,296950.5,2021,Flexible Operational Activities,Field Deployment Unit
2021/247,FDU,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",Joint Operation Flexible Operational Activities Western Balkans in Albania 2021,296950.5,2021,Flexible Operational Activities,Field Deployment Unit
2021/382,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",Joint Operation Flexible Operational Activities Western Balkans in Albania,296950.5,2021,Flexible Operational Activities,Deployment Management Division
2020/286,FDU,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2020/FDU/01/Human Resources,242046,2020,Human Resources,Field Deployment Unit
2023/321,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",JO Albania Land 2023,234297,2023,Other joint operations,Deployment Management Division
2023/334,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",JO Albania Land 2023,234297,2023,Other joint operations,Deployment Management Division
2022/404,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",Joint Operation Flexible Operational Activities Western Balkans in Albania 2022,206787,2022,Flexible Operational Activities,Deployment Management Division
2019/333,FDU,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA,Albania",2019/FDU/01 Human Resources,201462.79,2019,Human Resources,Field Deployment Unit
2022/328,DMD,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",Joint Operation Flexible Operational Activities Western Balkans in Albania 2022,197967,2022,Flexible Operational Activities,Deployment Management Division
2020/231,FDU,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2020/FDU/01/Human Resources,180432,2020,Human Resources,Field Deployment Unit
2020/192,FDU,Albania,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2020/FDU/01/Human Resources,170310,2020,Human Resources,Field Deployment Unit
