country,beneficiary,eur
Germany,Federal Police Central Office,141213123.12
Germany,Federal Police Regional Office Koblenz,64379399.61
Germany,Federal Police Regional Office Bad Bramstedt,25287337.3
Germany,Federal Border Police Headquarters,19066521.81
Germany,German Federal Police,13199176.85
Germany,Federal Office for Migration and Refugees BAMF,659116.97
Germany,"School and Training Centre for Maritime Policing, German Federal Police",60000
Germany,Federal Police Regional Office,39058.65
Germany,Regierungspräsidium Darmstadt,1836
Germany,Regierungspräsidium Kassel,1832
Germany,"Kreis Coesfeld, Zentrale Ausländerbehörde",1608
Germany,Ministerium der Justiz und für Migration Baden-Württemberg,1596
Germany,"Stadt Bielefeld, Zentrale Ausländerbehörde",1301
Italy,Guardia Costiera,240432877.74
Italy,Guardia di Finanza,3976984.66
Italy,Italian Ministry of Interior,475047.76
Spain,Jefatura Fiscal y de Fronteras,42780815.25
Spain,Comisaría General de Extranjería y Fronteras,31987362.15
Spain,Guardia Civil,26900780.12
Spain,Cuerpo Nacional de Policia,15025160.92
Spain,National Police School,12127725.23
Spain,Direccion General de la Policia y de la Guardia Civil,10805507.7
Spain,General Directorate for International Relations and Immigration,4783658.57
Spain,Ministry of Interior Spain,4669866.25
Spain,Direccion General de la Policia,2359495.5
Spain,Spanish Ministry of Interior,1271773.15
Greece,Hellenic Coast Guard,80019000.13
Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection",35211846.88
Greece,Ministry of Mercantile Marine,3637280.92
Greece,"Hellenic Police, Aliens Division",1242592.8900000001
Greece,Ministry of Interior Greece,6680
Portugal,Foreigners and Borders Service,49144047.23
Portugal,Portugese Air Force,13608581.79
Portugal,Guarda Nacional Republicana,10488653.18
Portugal,Maritime Police,9358132.95
Portugal,Portugese Navy,7433092.93
Portugal,National Maritime Authority,6338578.71
Portugal,Maritime Analysis and Operations Centre (Narcotics) – MAOC(N),48096.2
Netherlands,Immigration and Naturalisation Service,39218350.17
Netherlands,Royal Marechaussee,37078729.45
Netherlands,Repatriation and Departure Service,7364814.86
Netherlands,"Transport and Support Service, Ministry for Security and Justice",2139997
Netherlands,Ministry of Justice Netherlands,161124.69
Netherlands,NA,23765.54
Netherlands,Sea Port Police,10130
France,"Ministère de l'intérieur, Direction générale des étrangers en France",20503427.4
France,Direction Central de la Police aux Frontieres,16267988.13
France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer",10071699.2
France,Direction Generale des Douanes et Droits Indirects,9622922.43
France,French Navy,8659275.51
France,Direction Generale de la Gendarmerie nationale,5496887
France,Prefecture de Police,2758112.85
France,Direction Centrale des compagnies republicaines de securite,2617314
France,"Ministere de l'Immigration, de l'Integration, de l'Identite Nationale et du Developpement Solidaire",2038411.64
France,Direction Centrale de la Securite Publique,1832991
France,Direction Centrale de la Police Judiciaire,1751700
France,Ecole Nationale Superieure de la Police,43435
France,Ministère de la Transition écologique et solidaire,11997
Austria,Federal Ministry of Interior,65539622.31
Austria,Federal Office for Immigration and Asylum,10715983.54
Latvia,State Border Guard,71616955.15
Romania,Romanian Border Police / Coast Guard,56928643.55
Romania,General Inspectorate of Aviation,2468912.2600000002
Romania,Romanian Police,1070824.42
Romania,General Inspectorate for Immigration,766221
Romania,Romanian Office for Immigration,329322.48
Romania,School for Training of Border Police,158422.3
Romania,School for Improvement of Training of Border Police,59932.84
Sweden,Swedish Police Authority,24063056.17
Sweden,National Operations Department,17952156.16
Sweden,Swedish Coast Guard,10294156.28
Sweden,National Criminal Police,3573038.7600000002
Sweden,National Bureau of Investigation,3178632.83
Sweden,Swedish Migration Agency,773743.66
Iceland,Icelandic Coast Guard,44131685.23
Iceland,National Police Commissioner,5180336.11
Iceland,Ministry of Justice Iceland,414828.07
Iceland,Sudurnes Police District,47521.18
Iceland,Police department at Keflavík Airport,26315.920000000002
Denmark,Danish National Police,21882265.37
Denmark,Defence Command,21207076.03
Denmark,"Joint Operations Staff, Defence Command",1862602
Denmark,Danish Emergency Management Agency,452838.06
Denmark,Danish Immigration Service,131889
Denmark,Danish Return Agency,36042
Poland,Border Guard,41053758.99
Poland,"Border Guard Training Centre, Koszalin",1215123.67
Poland,"Border Guard Training Centre, Ketrzyn",1061362
Norway,National Police Directorate,32981387.14
Norway,National Police Immigration Service,8323053.34
Luxembourg,Ministry of Internal Security,17276222
Luxembourg,Police Grand Ducale,14043998.77
Luxembourg,Ministry of Justice Luxembourg,5065175.2700000005
Luxembourg,Ministry of Foreign Affairs,764886.45
Luxembourg,The Government of Grand Duchy of Luxembourg,98585.69
Finland,Finnish Border Guard,28779586.62
Finland,Helsinki Police Department,7044708.75
Finland,Finnish National Police Board,708224.47
Finland,Finnish Immigration Service,138622.5
Finland,Finnish Ministry of Interior,29026.15
Finland,Finnish Customs,14793
Lithuania,State Border Guard Service Lithuania,27396116.13
Lithuania,"Migration Department, Ministry of Interior",203111
Bulgaria,Chief Directorate Border Police - Ministry of Interior,21933135.67
Bulgaria,Bulgarian Ministry of Interior,132750.9
Bulgaria,National Police Service - Ministry of Interior,7141.7
Belgium,Department of Federal Immigration (Dienst Vreemdelingenzaken),9267488.63
Belgium,Federal Police,6838121.36
Belgium,"Caritas International Belgium, Non-profit association",1628505
Belgium,Belgian Defence Staff Operations and Training Departement,1504988
Belgium,International Returns & Reintegration Assistance,1062440
Belgium,FOD Financiën,45360
Belgium,Fedasil (Federaal agentschap voor de opvang van asielzoekers),31921.28
Belgium,Belgian Immigration Office,19101.32
Czech Republic,Police of the Czech Republic,17560442.58
Czech Republic,"International Police Cooperation Directorate, Police of the Czech Republic",616137.85
Czech Republic,"Directorate of Alien and Border Police, Police of the Czech Republic",419025.12
Czech Republic,Czech Ministry of Interior,122221.42
Estonia,Police and Border Guard Board,17447149.7
Estonia,Tallinn University of Technology,101253.58
Hungary,Hungarian National Police,13729414.06
Hungary,Immigration and Asylum Office,863506.88
Hungary,Office of Immigration and Nationality,563322.71
Hungary,Law Enforcement School of Szeged,338691.88
Hungary,National Directorate-General for Aliens Policing,200575
Malta,Armed Forces of Malta,14464935.45
Malta,Malta Police Force,948540.06
Croatia,"Directorate for Financial-Material Affairs, Ministry of Interior",7871774.5
Croatia,Croatian Ministry of Interior,7002250.47
Croatia,"Police Academy, Ministry of Interior",55500
Switzerland,Customs/Border Guard,12138293.05
Switzerland,State Secretariat for Migration,1651021.97
Slovakia,Bureau of Border and Alien Police,6907517.86
Slovakia,Slovak Ministry of Interior,1972625
Slovakia,Police Force,1210920
Slovakia,Border and Alien Police Directorate,320959.76
Slovakia,Border and Alien Police Directorate Presov,99864.99
Slovakia,Ministry of Interior Slovakia,13124.51
Slovakia,Police Detention Centre for Foreigners,10636
Slovakia,Ministry of Interior Economical Section,8746.94
Slovenia,Police,5558202.5
Slovenia,Slovenian Ministry of Interior,2970038.27
Albania,Aparati i Drejtorisë së Policisë së Shtetit,5853197.6
United Kingdom,Border Agency,2395871.87
United Kingdom,Border Force,1207020.07
United Kingdom,"Home office, Immigration and Nationality Directorate",25498.79
Ireland,Garda National Immigration Bureau,1330659.09
Ireland,Naturalisation and Immigration Service,432975.64
Iraq,European Technology and Training Centre (NGO),1617200
