year,country,European Centre for Returns,Flexible Operational Activities,Human Resources,Other,Poseidon,Post-Return Assistance,Return Operations,Technical Equipment,Technical Equipment & Human Resources,Triton,Aeneas,Alexis,Attica,Black Sea 2022,Eurocup,FIELDS database,FIMO Deployment,Financial Support (Cat. 2) Task Force Deployment Management,Focal Points (Air),Focal Points (Land),Hammer,Hera,Hermes,Hubble,Indalo,International and European Cooperation Division,Jupiter,Maritime Operational Activities,Mixed crew proof of concept,Montenegro 2021,Multipurpose Operational Activities (Air),Multipurpose Operational Activities (Land),Multipurpose Operational Activities LAND,Nautilus,Neptune,Other joint operations,Return Support Unit,Rex 2014,Training Unit,Trainings standing corps
2008,All countries,0,0,0,26302268.96,8153391.23,0,2550051.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,All countries,0,0,0,26839465.28,12139448.02,0,5076819.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,All countries,0,0,0,28213951.95,16457042.469999999,0,8054203.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,All countries,0,0,0,44322124.76,19655329.64,0,9521371.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,All countries,0,0,0,26753752.93,18133186.7,0,8194110.399999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,All countries,0,0,0,24396408.68,9467471.8,0,7080617.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,All countries,0,662334.49,0,23157230.529999997,10452104.959999999,0,7172476.03,1538.39,0,9289497.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,All countries,0,7065644,0,15013651,21611894,0,8854554,0,0,38106980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,All countries,0,9106903,0,17496183,67472122,0,32272941,12000,0,46361884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,All countries,0,11536286,0,27160263,63677722,0,46338915,0,0,45810000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,All countries,1531470.85,29822784.08,58046651.62,11099063.39,71549.82,0,16955829.35,61503320,0,12743.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,All countries,825115.91,56820665.08,57709408.91,3516169.35,0,0,0,60469512.6,299458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,All countries,28365126.65,220744.02,8252525.21,19711111.28,0,0,0,17259087.5,80030847.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,All countries,44322065.15,1345437.61,42106460.45,9028305.74,0,0,0,63688884.5,50169112.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,All countries,44015553.03,1333234.99,48930959.46,15831371.790000001,0,4591952,0,70646003,57179645.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,All countries,50982350.99,314590.5,64084166.59,20469946.44,0,18119130,0,75996299.85,70244956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,All countries,49953251.64,0,70468889.35,14685428.35,0,30917497,0,51530271.67,67774483.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Albania,0,0,0,33896.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Albania,0,0,0,65460.689999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Albania,0,0,0,21617.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6658.11,0,0,0,0
2012,Albania,0,0,0,32686.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Albania,0,0,0,11486.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6093.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10836.96,0,0,0,0
2014,Albania,0,12632.42,0,33203.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11086.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Albania,0,0,0,36128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
