year,country,Air Border Sector,Centre of Excellence in Combatting Document Fraud,Coast Guard Sector,Deployment Management Division,European Centre for Returns,Field Deployment Unit,Field Operations Unit,Frontex Situation Centre,Information Fusion Centre,International and European Cooperation Division,Joint Master’s in Strategic Border Management programme,Land Borders Sector,Land Borders Sector / Return Operations Sector,Law Enforcement Sector,Operational Response Division,Operational Support Division,Pooled Resources Unit,Public Regulated Service,Research and Development Unit,Research and Innovation Unit,Return Division,Return Operations Sector,Return Support Unit,Risk Analysis Unit,Sea Border Sector,Task Force Deployment Management,Training Unit,n.a.
2008,All countries,2483979.69,0,0,0,0,0,0,0,0,0,0,3050316.23,0,0,0,0,0,59202.57000000001,0,0,0,2562839.86,0,61176.58,28788196.28,0,0,0
2009,All countries,2695934.34,0,0,0,0,0,0,0,0,0,0,5813092.28,0,0,0,0,0,267145.51,0,0,0,5309353.46,0,24488.64,29945718.61,0,0,0
2010,All countries,1519499.27,0,0,0,0,0,0,0,0,0,0,6524082.5,0,0,0,0,3347777.68,0,0,0,0,9378321.81,0,0,31955517.02,0,0,0
2011,All countries,2147256.64,0,0,0,0,0,0,0,0,0,0,10658708.31,44602.58,0,0,0,2682319.92,0,0,0,0,11653039.39,0,0,46312898.87,0,0,0
2012,All countries,2037187.37,0,0,0,0,0,0,251376.32,0,0,0,11695059.81,0,0,0,0,0,0,21087.27,0,0,10752367.17,0,0,28323972.09,0,0,0
2013,All countries,1568466.28,0,0,0,0,0,0,285108.89,0,0,0,7110628.04,0,0,0,0,193651.85,0,0,0,0,8371322.22,0,0,23415320.84,0,0,0
2014,All countries,1484410.47,0,0,0,0,0,0,339909.02,0,0,0,7307421.12,0,0,0,0,177379.91,0,0,0,0,8792783.03,0,0,32633278.67,0,0,0
2015,All countries,1520139,0,0,0,0,0,0,580336,0,0,0,8431350,0,0,0,0,344098,0,0,0,0,11935950,0,0,67840850,0,0,0
2016,All countries,2196107,0,0,0,0,0,0,873381,0,0,0,14188780,0,0,0,0,12000,0,0,0,0,0,42475111,0,112859333,0,117321,0
2017,All countries,2434204,0,0,0,0,0,0,1189901,0,0,0,15906501,0,0,0,0,679156,0,532943,0,0,0,54917693,0,118188796,0,673992,0
