country,project_clean,beneficiary,max_year,grant_no,unit_sector_long,eur,min_year,display_width
Albania,Albania 2024,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2024/10,Deployment Management Division,1515244.5,178925.1912,1663864.8012
Albania,Albania Land 2023,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2023/215,Deployment Management Division,314590.5,178925.1912,487223.8812
Albania,Albania Land 2023,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2023/335,Deployment Management Division,314590.5,178925.1912,487223.8812
Albania,Operation Flexible Operational Activities Western Balkans in Albania 2022,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2023/19,Deployment Management Division,314590.5,178925.1912,487223.8812
Albania,Operation Flexible Operational Activities Western Balkans in Albania,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2022/71,Deployment Management Division,299766.99,178925.1912,472696.8414
Albania,Operation Flexible Operational Activities Western Balkans in Albania,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2021/10,Field Deployment Unit,296950.5,178925.1912,469936.6812
Albania,Operation Flexible Operational Activities Western Balkans in Albania,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2021/382,Deployment Management Division,296950.5,178925.1912,469936.6812
Albania,Operation Flexible Operational Activities Western Balkans in Albania,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2022/277,Deployment Management Division,296950.5,178925.1912,469936.6812
Albania,Operation Flexible Operational Activities Western Balkans in Albania 2021,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2021/145,Field Deployment Unit,296950.5,178925.1912,469936.6812
Albania,Operation Flexible Operational Activities Western Balkans in Albania 2021,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2021/247,Field Deployment Unit,296950.5,178925.1912,469936.6812
Albania,Operation Flexible Operational Activities Western Balkans in Albania 2022,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2022/183,Deployment Management Division,296950.5,178925.1912,469936.6812
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2020/286,Field Deployment Unit,242046,178925.1912,416130.2712
Albania,Albania Land 2023,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2023/321,Deployment Management Division,234297,178925.1912,408536.25120000006
Albania,Albania Land 2023,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2023/334,Deployment Management Division,234297,178925.1912,408536.25120000006
Albania,Operation Flexible Operational Activities Western Balkans in Albania 2022,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2022/404,Deployment Management Division,206787,178925.1912,381576.4512
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2019/333,Field Deployment Unit,201462.79,178925.1912,376358.7254
Albania,Operation Flexible Operational Activities Western Balkans in Albania 2022,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2022/328,Deployment Management Division,197967,178925.1912,372932.85120000003
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2020/231,Field Deployment Unit,180432,178925.1912,355748.5512
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2020/192,Field Deployment Unit,170310,178925.1912,345828.99120000005
Albania,Technical Equipment & Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2020/157,Field Deployment Unit,145491.02,178925.1912,321506.3908
Albania,Technical Equipment & Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2020/18,Field Deployment Unit,134308.52,178925.1912,310547.5408
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2020/139,Field Deployment Unit,133201.81,178925.1912,309462.965
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2019/180,Field Deployment Unit,132308.58,178925.1912,308587.59959999996
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2019/221,Field Deployment Unit,132308.58,178925.1912,308587.59959999996
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2019/273,Field Deployment Unit,129835.52,178925.1912,306164.00080000004
Albania,FOA,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,2021/437,Deployment Management Division,100868.9,178925.1912,277776.7132
Albania,various projects,Aparati i Drejtorisë së Policisë së Shtetit,8946259.56,Multiple smaller grants,various,1829851.85,178925.1912,1972180.0042000003
Austria,Technical Equipment & Human Resources,Federal Ministry of Interior,90416657.4,2023/104,Deployment Management Division,3363108,1808333.148,5104178.988
Austria,FOA,Federal Office for Immigration and Asylum,90416657.4,2018/268,European Centre for Returns,3355711,1808333.148,5096929.927999999
Austria,Technical Equipment & Human Resources,Federal Ministry of Interior,90416657.4,2024/129,Deployment Management Division,3232189,1808333.148,4975878.368
Austria,Technical Equipment & Human Resources,Federal Ministry of Interior,90416657.4,2020/28,Field Deployment Unit,3088412.2,1808333.148,4834977.104
Austria,Return Operations,Federal Office for Immigration and Asylum,90416657.4,2018/93,Return Support Unit,3030526,1808333.148,4778248.6280000005
Austria,Human Resources,Federal Ministry of Interior,90416657.4,2019/41,Field Deployment Unit,2653756,1808333.148,4409014.028
Austria,Technical Equipment & Human Resources,Federal Ministry of Interior,90416657.4,2022/89,Deployment Management Division,2615753,1808333.148,4371771.0879999995
Austria,Human Resources,Federal Ministry of Interior,90416657.4,2018/11,Operational Response Division,2571339,1808333.148,4328245.368
Austria,FOA,Federal Office for Immigration and Asylum,90416657.4,2019/15,European Centre for Returns,2464034,1808333.148,4223086.468
Austria,FOA,Federal Ministry of Interior,90416657.4,2019/244,European Centre for Returns,1989838,1808333.148,3758374.3880000003
Austria,FOA,Federal Ministry of Interior,90416657.4,2019/152,European Centre for Returns,1941786,1808333.148,3711283.4280000003
Austria,2017/RSU/01,Federal Office for Immigration and Asylum,90416657.4,2018/189,European Centre for Returns,1864248.54,1808333.148,3635296.7172
Austria,Technical Equipment & Human Resources,Federal Ministry of Interior,90416657.4,2021/55,Field Deployment Unit,1829266,1808333.148,3601013.8279999997
Austria,Human Resources,Federal Ministry of Interior,90416657.4,2024/237,NA,1485256.72,1808333.148,3263884.7336
Austria,Human Resources,Federal Ministry of Interior,90416657.4,2023/101,Deployment Management Division,1331499.68,1808333.148,3113202.8344
Austria,Human Resources,Federal Ministry of Interior,90416657.4,2024/159,Deployment Management Division,1170810.48,1808333.148,2955727.4184
Austria,FOA,Federal Ministry of Interior,90416657.4,2019/324,European Centre for Returns,1107132,1808333.148,2893322.508
Austria,Human Resources,Federal Ministry of Interior,90416657.4,2022/233,Deployment Management Division,1088160.7,1808333.148,2874730.634
Austria,Human Resources,Federal Ministry of Interior,90416657.4,2023/195,Deployment Management Division,909548.34,1808333.148,2699690.5212
Austria,2022/CFP/RIU/01,CAMPUS 02 Fachhochschule der Wirtschaft GmbH,90416657.4,Multiple smaller grants,Research and Innovation Unit,59868,1808333.148,1867003.788
Austria,European Centre for Returns,Federal Office for Immigration and Asylum,90416657.4,Multiple smaller grants,European Centre for Returns,1464,1808333.148,1809767.868
Austria,various projects,Federal Ministry of Interior,90416657.4,Multiple smaller grants,various,49262950.74,1808333.148,50086024.8732
Belarus,Focal Points,State Border Committee,113591.46,2016/843,Land Borders Sector,25017,2271.8292,26788.489200000004
Belarus,Focal Points,State Border Committee,113591.46,2011/206/,Air Border Sector,13398.9,2271.8292,15402.7512
Belarus,Human Resources,State Border Committee,113591.46,2019/270,Field Deployment Unit,13052.93,2271.8292,15063.700600000002
Belarus,Focal Points,State Border Committee,113591.46,2016/906,Air Border Sector,11336,2271.8292,13381.109199999999
Belarus,Focal Points,State Border Committee,113591.46,2016/1379,Land Borders Sector,9876,2271.8292,11950.3092
Belarus,Jupiter,State Border Committee,113591.46,2011/220/,Land Borders Sector,9338.75,2271.8292,11423.8042
Belarus,Focal Points,State Border Committee,113591.46,2015/679,Land Borders Sector,8945,2271.8292,11037.9292
Belarus,Human Resources,State Border Committee,113591.46,2019/199,Field Deployment Unit,8767.58,2271.8292,10864.057600000002
Belarus,Focal Points,State Border Committee,113591.46,2010/662/,Land Borders Sector,5557.65,2271.8292,7718.3261999999995
Belarus,Focal Points,State Border Committee,113591.46,2015/754,Air Border Sector,4241,2271.8292,6428.0092
Belarus,Human Resources,State Border Committee,113591.46,2018/265,Operational Response Division,4060.65,2271.8292,6251.2662
Belgium,2023/CFP/POST/03,International Returns & Reintegration Assistance (NGO),61701883.51,2024/144,European Centre for Returns,16962842,1234037.6702,17857622.8302
Belgium,2023/CFP/POST/03,Caritas International Belgium (NGO),61701883.51,2024/146,European Centre for Returns,6397575,1234037.6702,7503661.1702
Belgium,2023/CFP/POST/01,International Returns & Reintegration Assistance,61701883.51,2023/167,European Centre for Returns,6332100,1234037.6702,7439495.6702
Belgium,2023/CFP/POST/01,Caritas International Belgium (NGO),61701883.51,2023/176,European Centre for Returns,5468240,1234037.6702,6592912.870200001
Belgium,Triton,Belgian Defence Staff Operations and Training Departement,61701883.51,2015/418,Sea Border Sector,1504988,1234037.6702,2708925.9102
Belgium,2022/CFP/POST/01,Caritas International Belgium (NGO),61701883.51,2022/124,European Centre for Returns,1500005,1234037.6702,2704042.5702
Belgium,2017/RSU/01,Department of Federal Immigration (Dienst Vreemdelingenzaken),61701883.51,2018/192,European Centre for Returns,1133837,1234037.6702,2345197.9302000003
Belgium,2022/CFP/POST/01,International Returns & Reintegration Assistance,61701883.51,2022/129,European Centre for Returns,1062440,1234037.6702,2275228.8702
Belgium,Human Resources,Federal Police,61701883.51,2024/149,Deployment Management Division,933363,1234037.6702,2148733.4102000003
Belgium,FOA,Department of Federal Immigration (Dienst Vreemdelingenzaken),61701883.51,2018/46,Return Support Unit,890489,1234037.6702,2106716.8902000003
Belgium,Human Resources,Federal Police,61701883.51,2019/16,Field Deployment Unit,784038,1234037.6702,2002394.9102
Belgium,Human Resources,Federal Police,61701883.51,2023/222,Deployment Management Division,726940.8,1234037.6702,1946439.6542000002
Belgium,Technical Equipment & Human Resources,Federal Police,61701883.51,2023/105,Deployment Management Division,648837,1234037.6702,1869897.9302
Belgium,FOA,Department of Federal Immigration (Dienst Vreemdelingenzaken),61701883.51,2019/4,European Centre for Returns,621816,1234037.6702,1843417.3502000002
